group_key,group_name,company_name,websites,wko_url,states_seen,addresses,process_fit_class,process_fit_reason,size_class,size_confidence,stage3_scope,management,owners,ultimate_owner,ownership_structure,ownership_type,primary_dm,primary_dm_roles,owner_confidence,owner_source_urls,owner_review_note
AREALIS Liegenschaftsmanagement GmbH,AREALIS Liegenschaftsmanagement GmbH,AREALIS Liegenschaftsmanagement GmbH,http://www.arealis.at/ | http://www.arealis.at/,https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Aspernbrückengasse 2 1020 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,SIE BRAUCHEN HILFE [Partner]; Schadensmeldung AKTUELLES TIPPS [Partner]; WIE KANN MAN SICH [Partner]; VOR EINEM EINBRUCH SCHÜTZEN [Partner]; Michael Widschwendter [Geschäftsführung]; KONTAKT Facebook Pinterest Cookie-Einstellungen [Geschäftsführung]; Vienna Insurance Group [Management],A- Deutsch English Eigentümer (); Asset Management Baumanagement Facility (); Management Gewährleistungsmanagement Mieter Technische (); Verwaltung Kaufmännische Verwaltung Downloads (); Presse Karriere Über (); Eigentümer Asset Management Bauman (); Eigentümer Asset Management Baumanagement (); Facility Management Gewährleistungsmanagement Mieter (); Technische Verwaltung Kaufmännische Verwaltung (); Downloads News (),werdenden Temperaturen steigt auch; aller Einbrüche ereignen sich,"Public sources identify material individual shareholders: werdenden Temperaturen steigt auch 40.0%, aller Einbrüche ereignen sich 40.0%.",PARTNER_OWNED,werdenden Temperaturen steigt auch; aller Einbrüche ereignen sich,Owner/Gesellschafter; Owner/Gesellschafter,HIGH,https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/unternehmen/ | https://www.arealis.at/unternehmen/ | https://www.arealis.at/unternehmen/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/ | https://www.arealis.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
FLE GmbH,FLE GmbH,FLE GmbH,,https://firmen.wko.at/fle-gmbh/wien/?firmaid=7dfc7864-809d-4186-b383-5ae15c289bd3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Freyung 4/12 1010 Wien,ADD_TO_SALES_POOL,licensed Immobilienverwalter with Immobilienmanagement and portfolio administration,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Immobilienverwaltung Mag. Alois Rosenberger GmbH,Immobilienverwaltung Mag. Alois Rosenberger GmbH,Immobilienverwaltung Mag. Alois Rosenberger GmbH,https://www.iv-ro.at/ | https://www.iv-ro.at/,https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Berggasse 31 1090 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Blick Damit Sie [Partner]; Kundenservice Wir [Partner]; Ihr Anliegen [Partner]; Entdecken Sie [Partner]; Ihre Immobilie [Management]; Blog Alle Informationen [Partner]; Ihre Objekte [Management]; Jahren Erfahrung [Partner]; Ihre Anliegen [Partner]; Ihr Mehrwert [Partner],Innen Wir (); Ihr Objekt (); Entdecken Sie (); Zum Kundenportal Schadensfor (); Lesen Sie (); Kundenservice Kundenportal Schadensformular FAQ (); Alle Rechte (); Jahre Erfahrung Tochterfirmen Zentreal (); Katharina Zach (); Im Jahr (),Innen Wir; Ihr Objekt; Entdecken Sie; Zum Kundenportal Schadensfor,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Innen Wir; Ihr Objekt,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/unternehmen/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/ | https://iv-ro.at/unternehmen/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
OM Objektmanagement GmbH,OM Objektmanagement GmbH,OM Objektmanagement GmbH,,https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=876f338d-ac6c-492f-955a-75f189c79885&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg | wien,Rainerstraße 30 5020 Salzburg | Am Belvedere 1 1100 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Stadt Wien - Wiener Wohnen Kundenservice GmbH,Stadt Wien - Wiener Wohnen Kundenservice GmbH,Stadt Wien - Wiener Wohnen Kundenservice GmbH,,https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=6d3a9567-4ce0-428f-8f49-1cf77a313b02&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Medwedweg 14Obj. 5 1110 Wien | Rosa-Fischer-Gasse 2 1030 Wien | Medwedweg 16Obj. 4 1110 Wien,ADD_TO_SALES_POOL,very large housing customer-service/property operation with rent and operating-cost accounting,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
teamneunzehn group,Wohnfit Hausverwaltungs GmbH,Wohnfit Hausverwaltungs GmbH,,https://firmen.wko.at/wohnfit-hausverwaltungs-gmbh/wien/?firmaid=6589f8fb-70b0-49d0-8bf5-9938014d8527&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Handelskai 94-96/10. OG 1200 Wien,PRIMARY_CORE,existing agent-first core target,B_CORE_30_PLUS_GROUP,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
at home FM Services GmbH,at home FM Services GmbH,at home FM Services GmbH,,https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Hernalser Gürtel 1 1170 Wien,ADD_TO_SALES_POOL,facility management / recurring building operations and back-office workflows,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
GBG Gebäude- und Baumanagement Graz GmbH,GBG Gebäude- und Baumanagement Graz GmbH,GBG Gebäude- und Baumanagement Graz GmbH,http://www.gbg.graz.at/ | http://www.gbg.graz.at/,https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,steiermark,Neutorgasse 57 8010 Graz,ADD_TO_SALES_POOL,large building-management operator with technical and administrative property processes,E_ADJACENT_30_PLUS,high,MAIN,GF Mag [Geschäftsführung]; Günter Hirner [Geschäftsführung]; Harry Schiffer Anfertigung [Partner]; Maßmöbeln Aufbau [Partner]; Ort Einbau [Management]; Türen Lackierarbeiten Möbel [Management],Datenschutz KAM Organigramm (); GBG Eigentümer (); GBG Weitere Links Quicklinks (); Weitere Websites (),Datenschutz KAM Organigramm; GBG Eigentümer; GBG Weitere Links Quicklinks; Weitere Websites,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Datenschutz KAM Organigramm; GBG Eigentümer,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.gbg.graz.at/cms/beitrag/10336122/9344104/ | https://www.gbg.graz.at/cms/beitrag/10336122/9344104/ | https://www.gbg.graz.at/cms/beitrag/10442605/9605551/Leistungen_Team_Werkstaetten.html | https://www.gbg.graz.at/cms/beitrag/10442605/9605551/Leistungen_Team_Werkstaetten.html | https://www.gbg.graz.at/cms/beitrag/10442605/9605551/Leistungen_Team_Werkstaetten.html | https://www.gbg.graz.at/cms/beitrag/10442605/9605551/Leistungen_Team_Werkstaetten.html | https://www.gbg.graz.at/cms/beitrag/10336122/9344104/ | https://www.gbg.graz.at/cms/beitrag/10336122/9344104/ | https://www.gbg.graz.at/cms/beitrag/10336122/9344104/ | https://www.gbg.graz.at/cms/beitrag/10336122/9344104/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Ing. Werner Wilhelm Bayer,Ing. Werner Wilhelm Bayer,Ing. Werner Wilhelm Bayer,http://www.svbayer.at/ | http://www.svbayer.at/,https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,burgenland,Nr. 2 7435 Holzschlag,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Baumeister Ing [Geschäftsführer]; Sekretariat Iris Radakovits Buchhaltung [Geschäftsführer]; Melanie Breinsberger Sekretariat [Geschäftsführer]; Sekretariat Iris Radakovits Buch [Geschäftsführer]; Gebiet Bau [Geschäftsführung]; Im Rahmen [Geschäftsführer],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Baumeister Ing; Gebiet Bau; Im Rahmen,Geschäftsführer; Geschäftsführung; Geschäftsführer,MEDIUM_HIGH,https://www.svbayer.at/ueber-uns | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/ueber-uns,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
PMV Immobilien Management GmbH,PMV Immobilien Management GmbH,PMV Immobilien Management GmbH,,https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten | niederösterreich | wien,"Liebermannstraße, F 05/Top 102 2345 Brunn am Gebirge | Bahnhofstraße 16 9800 Spittal/Drau | Arsenal 1/VI 1030 Wien | Paulanergasse 15 1040 Wien",PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Supernova Invest GmbH,Supernova Invest GmbH,Supernova Invest GmbH,,https://firmen.wko.at/supernova-invest-gmbh/steiermark/?firmaid=67cb3908-ab37-401e-bacf-b2226a9e2757&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,steiermark,Conrad-von-Hötzendorf-Straße 99 8010 Graz,ADD_TO_SALES_POOL,active asset and centre management; commercial/technical management and tenant workflows,E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
