no	company_name	group_name	group_key	website	wko_url	process_fit_class	size_class
15	Stadt Wien - Wiener Wohnen Kundenservice GmbH	Stadt Wien - Wiener Wohnen Kundenservice GmbH	Stadt Wien - Wiener Wohnen Kundenservice GmbH		https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=6d3a9567-4ce0-428f-8f49-1cf77a313b02&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
16	Wohnfit Hausverwaltungs GmbH	Wohnfit Hausverwaltungs GmbH	teamneunzehn group		https://firmen.wko.at/wohnfit-hausverwaltungs-gmbh/wien/?firmaid=6589f8fb-70b0-49d0-8bf5-9938014d8527&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	B_CORE_30_PLUS_GROUP
17	at home FM Services GmbH	at home FM Services GmbH	at home FM Services GmbH		https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
18	GBG Gebäude- und Baumanagement Graz GmbH	GBG Gebäude- und Baumanagement Graz GmbH	GBG Gebäude- und Baumanagement Graz GmbH	http://www.gbg.graz.at/	https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
19	Ing. Werner Wilhelm Bayer	Ing. Werner Wilhelm Bayer	Ing. Werner Wilhelm Bayer	http://www.svbayer.at/	https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
20	PMV Immobilien Management GmbH	PMV Immobilien Management GmbH	PMV Immobilien Management GmbH		https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
21	Supernova Invest GmbH	Supernova Invest GmbH	Supernova Invest GmbH		https://firmen.wko.at/supernova-invest-gmbh/steiermark/?firmaid=67cb3908-ab37-401e-bacf-b2226a9e2757&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
22	Zurich Immobilien Liegenschaftsverwaltungs-GesmbH	Zurich Immobilien Liegenschaftsverwaltungs-GesmbH	Zurich Immobilien Liegenschaftsverwaltungs-GesmbH		https://firmen.wko.at/zurich-immobilien-liegenschaftsverwaltungs-gesmbh/wien/?firmaid=d8edbf56-e59f-44ef-9ac7-3ecc6e1d917a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
23	AI Immobilienverwertung GmbH.	AI Immobilienverwertung GmbH.	AI Immobilienverwertung GmbH.	http://www.apk.at/aiig	https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
24	Dr. Martin Schober Immobilienverwaltung GmbH	Dr. Martin Schober Immobilienverwaltung GmbH	Dr. Martin Schober Immobilienverwaltung GmbH		https://firmen.wko.at/dr-martin-schober-immobilienverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=42161173-caf0-44f5-96e1-8e79f03c87d6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
25	Immobilien Verwaltung Klagenfurt GmbH	Immobilien Verwaltung Klagenfurt GmbH	Immobilien Verwaltung Klagenfurt GmbH	https://www.klagenfurt-wohnen.at/	https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%c3%a4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
26	Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.	Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.	Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.	http://www.hallas.at/	https://firmen.wko.at/ludwig-hallas-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=1488ee5c-9ebe-4391-a73f-50b34e432d8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
27	Salzburg Wohnbau GmbH	Salzburg Wohnbau GmbH	Salzburg Wohnbau GmbH	http://www.salzburg-wohnbau.at/	https://firmen.wko.at/salzburg-wohnbau-gmbh-immobilientreuh%c3%a4nder-immobilienmakler-immobilienverwalter/salzburg/?firmaid=73b2127c-dd25-4908-a82e-82bf680f9849&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
28	WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.	WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.	WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.	https://wevig.at/	https://firmen.wko.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=382f262c-0390-48ea-a925-d110875546f3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
29	Apleona Real Estate AT GmbH	Apleona Real Estate AT GmbH	Apleona Real Estate AT GmbH	https://www.realestate.apleona.at/	https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
30	Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH	Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH	Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH		https://firmen.wko.at/drgerlich-cohausverwaltung-und-facility-management-gmbh/salzburg/?firmaid=219f42a8-a4f3-4f4e-9690-4e26dc00712f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
31	Immobilientreuhand Kluger GmbH	Immobilientreuhand Kluger GmbH	Immobilientreuhand Kluger GmbH		https://firmen.wko.at/immobilientreuhand-kluger-gmbh/wien/?firmaid=085657f5-9f16-4690-923d-20497f4158bc&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
32	NV Immobilien GmbH	NV Immobilien GmbH	NV Immobilien GmbH		https://firmen.wko.at/nv-immobilien-gmbh/nieder%c3%b6sterreich/?firmaid=af42e25e-cdfc-4328-8df2-c011a4c322f2&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
33	SES Center Management GmbH	SES Center Management GmbH	SES Center Management GmbH		https://firmen.wko.at/ses-center-management-gmbh/salzburg/?firmaid=79f71352-b685-432e-bc8b-21f56895e524&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
34	Wohnbau 2000 Gesellschaft mbH	Wohnbau 2000 Gesellschaft mbH	Wohnbau 2000 Gesellschaft mbH	http://www.wohnbau2000.at/	https://firmen.wko.at/wohnbau-2000-gesellschaft-mbh-immobilien-bautr%c3%84ger-makler-verwalter/ober%c3%b6sterreich/?firmaid=0371acbe-5cc3-4c87-911b-496bbeed12b2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
35	BOE Gebäudemanagement Gesellschaft m.b.H.	BOE Gebäudemanagement Gesellschaft m.b.H.	BOE Gebäudemanagement Gesellschaft m.b.H.	http://www.boe-parking.at/	https://firmen.wko.at/boe-geb%c3%a4udemanagement-gesellschaft-mbh/tirol/?firmaid=4cef397c-cbbe-45bc-8d3b-21ca36fae81b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
36	GSA Wohnbauträger GmbH	GSA Wohnbauträger GmbH	GSA Wohnbauträger GmbH		https://firmen.wko.at/gsa-wohnbautr%c3%a4ger-gmbh/ober%c3%b6sterreich/?firmaid=9d65930d-0479-4028-9f68-2edde4a97a33&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
37	ista Österreich GmbH	ista Österreich GmbH	ista Österreich GmbH	http://www.ista.at/	https://firmen.wko.at/ista-%c3%96sterreich-gmbh/wien/?firmaid=213ad5af-0add-4e26-9f75-44e52383e686&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
38	PRISMA Zentrum für Standort- und Regionalentwicklung GmbH	PRISMA Zentrum für Standort- und Regionalentwicklung GmbH	PRISMA Zentrum für Standort- und Regionalentwicklung GmbH	https://www.prisma-zentrum.com/	https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-regionalentwicklung-gmbh/salzburg/?firmaid=c4259ce0-2340-4dbd-bdf9-6cf297ee7b3d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
39	Unibail-Rodamco Austria Verwaltungs GmbH	Unibail-Rodamco Austria Verwaltungs GmbH	Unibail-Rodamco Austria Verwaltungs GmbH		https://firmen.wko.at/unibail-rodamco-austria-verwaltungs-gmbh/nieder%c3%b6sterreich/?firmaid=558419c0-dc6b-4c90-b866-81e136186aa6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
40	be real Immobilienmanagement GmbH	be real Immobilienmanagement GmbH	be real Immobilienmanagement GmbH	http://www.bereal-immobilien.at/	https://firmen.wko.at/be-real-immobilienmanagement-gmbh/wien/?firmaid=0db5736d-8b4a-41cc-acd4-611f22e60540&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
41	GRAWE Immo AG	GRAWE Immo AG	GRAWE IMMO AG	http://www.gwimmo.at/	https://firmen.wko.at/grawe-immo-ag/steiermark/?firmaid=3e9afebc-bcab-453c-807d-6ede8fd40f47&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
42	International Campus Austria GmbH	International Campus Austria GmbH	International Campus Austria GmbH		https://firmen.wko.at/international-campus-austria-gmbh/wien/?firmaid=09505220-ff99-4ca6-843c-4dbfdcd07ada&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
43	Porsche Immobilien Gesellschaft m.b.H.	Porsche Immobilien Gesellschaft m.b.H.	Porsche Immobilien Gesellschaft m.b.H.		https://firmen.wko.at/porsche-immobilien-gesellschaft-mbh/salzburg/?firmaid=3aca3e73-9ff6-46d0-8b65-21435521cb21&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
44	Ulreich VerwaltungsGmbH	Ulreich VerwaltungsGmbH	Ulreich VerwaltungsGmbH		https://firmen.wko.at/ulreich-verwaltungsgmbh/wien/?firmaid=e0e7f760-3864-4381-884e-983d57c858c1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
45	ÖBB-Immobilienmanagement Gesellschaft mbH	ÖBB-Immobilienmanagement Gesellschaft mbH	ÖBB-Immobilienmanagement Gesellschaft mbH		https://firmen.wko.at/%c3%96bb-immobilienmanagement-gesellschaft-mbh/salzburg/?firmaid=dbe320f6-197f-468e-a099-01772f442235&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
46	Alpen Real Immobilien GmbH	Alpen Real Immobilien GmbH	Alpen Real Immobilien GmbH		https://firmen.wko.at/alpen-real-immobilien-gmbh/salzburg/?firmaid=9850b2d6-ba5c-4095-b8df-2b52f86737cf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
47	Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG	Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG	Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG		https://firmen.wko.at/dr-peter-dirnbacher-immobilientreuhand-gmbh-und-co-kg/wien/?firmaid=3fb133e5-3502-4017-9c5e-2fad723cd6a1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
48	Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.	Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.	Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.		https://firmen.wko.at/immobilienkanzlei-mag-wolf-dietrich-schneeweiss-eu/wien/?firmaid=bf8a27a4-170f-47d6-a58d-fd3966bdfeea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
49	McArthurGlen Management Gesellschaft m.b.H.	McArthurGlen Management Gesellschaft m.b.H.	McArthurGlen Management Gesellschaft m.b.H.		https://firmen.wko.at/mcarthurglen-management-gesellschaft-mbh/salzburg/?firmaid=c68fab59-adde-430d-b054-1eb93956904f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
50	SERIA Immobilien & Treuhand GmbH	SERIA Immobilien & Treuhand GmbH	SERIA Immobilien & Treuhand GmbH	http://www.seria.at/	https://firmen.wko.at/seria-immobilien-und-treuhand-gmbh-hausverwaltung-vermittlung-verkauf/steiermark/?firmaid=0e2d9d35-5d13-4736-b993-a3a09946b0a6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
51	Woge Realitäten Gesellschaft m.b.H.	Woge Realitäten Gesellschaft m.b.H.	Woge Realitäten Gesellschaft m.b.H.	https://www.hausverwaltungwoge.at/	https://firmen.wko.at/woge-realit%c3%a4ten-gesellschaft-mbh/wien/?firmaid=b1f62a6e-5c47-4782-851a-112c0dab2456&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
52	CBRE GmbH	CBRE GmbH	CBRE GmbH	http://www.cbre.at/	https://firmen.wko.at/cbre-gmbh-cbre-gmbh/wien/?firmaid=f9385336-8856-4a6b-b913-0574cec1db0a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
53	Haus & Grund Immobilien Management GmbH	Haus & Grund Immobilien Management GmbH	Haus & Grund Immobilien Management GmbH		https://firmen.wko.at/haus-und-grund-immobilien-management-gmbh/salzburg/?firmaid=d103a1fd-e6b7-4e9c-98bc-63bf61bb7e87&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
54	KAPPACHER-SELINA Hausverwaltung GmbH	KAPPACHER-SELINA Hausverwaltung GmbH	SELINA/Kappacher group	https://www.kappacher-selina.at/	https://firmen.wko.at/kappacher-selina-hausverwaltung-gmbh-immobilientreuh%c3%a4nder/salzburg/?firmaid=5415d9e1-c8a8-4f86-ac2a-bf21d780840a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
55	Realverwaltung GmbH	Realverwaltung GmbH	Realverwaltung GmbH	http://stefan.rutter@rutter.at/	https://firmen.wko.at/realverwaltung-gmbh/k%c3%a4rnten/?firmaid=4f8bab4e-76b5-4c93-a9d7-3190d7d88a6f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
56	WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.	WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.	WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.		https://firmen.wko.at/wariwoda-und-richter-immobilientreuhandgesellschaft-mbh/wien/?firmaid=559ebf25-eaf7-475b-9606-a01fda645de0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
57	AREV Immobilien Gesellschaft m.b.H.	AREV Immobilien Gesellschaft m.b.H.	AREV Immobilien Gesellschaft m.b.H.	http://www.arev.at/	https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=c161f677-5e7a-4720-945d-e4475d198301&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
58	Franz Kramas Gebäudeverwaltung G.m.b.H.	Franz Kramas Gebäudeverwaltung G.m.b.H.	Franz Kramas Gebäudeverwaltung G.m.b.H.	http://www.kramas.at/	https://firmen.wko.at/franz-kramas-geb%c3%a4udeverwaltung-gmbh/wien/?firmaid=cbd09d2d-cff7-4a30-8a18-11710631c757&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	C_CORE_20_PLUS_RANGE
59	IMMOcontract Real Estate Management GmbH	IMMOcontract Real Estate Management GmbH	IMMOcontract Real Estate Management GmbH	http://www.donath.at/	https://firmen.wko.at/immocontract-real-estate-management-gmbh/steiermark/?firmaid=dbe2a200-b7a0-42d4-86c9-c84c06edd055&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
60	Palladio Immobilien GmbH	Palladio Immobilien GmbH	Palladio Immobilien GmbH	http://www.palladio-immobilien.at/	https://firmen.wko.at/palladio-immobilien-gmbh/wien/?firmaid=6f77e8b8-4109-46d6-ac85-12ad559c2ce4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
61	Stiller & Hohla Immobilientreuhänder GmbH	Stiller & Hohla Immobilientreuhänder GmbH	Stiller & Hohla Immobilientreuhänder GmbH	http://www.stiller-hohla.at/	https://firmen.wko.at/stiller-und-hohla-immobilientreuh%c3%a4nder-gmbh/salzburg/?firmaid=7a1bd960-03ae-4c71-a887-9adeda32eef0&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
62	WSE Wiener Standortentwicklung GmbH	WSE Wiener Standortentwicklung GmbH	WSE Wiener Standortentwicklung GmbH		https://firmen.wko.at/wse-wiener-standortentwicklung-gmbh/wien/?firmaid=9e4cd29e-fc6c-43c2-afca-24c24f3a43b3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	ADD_TO_SALES_POOL	E_ADJACENT_30_PLUS
63	Brichard Immobilien GmbH	Brichard Immobilien GmbH	Brichard Immobilien GmbH	http://www.brichard.at/	https://firmen.wko.at/brichard-immobilien-gmbh/wien/?firmaid=ddcbf14e-575a-457e-a7ac-3ba72a9cabb5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	A_CORE_30_PLUS_DIRECT
64	Gutwerk Immobilien Treuhand GmbH	Gutwerk Immobilien Treuhand GmbH	Gutwerk Immobilien Treuhand GmbH		https://firmen.wko.at/gutwerk-immobilien-treuhand-gmbh/wien/?firmaid=e98c9dfe-41b4-4b02-820a-17cf04779d16&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter	PRIMARY_CORE	D_CORE_RECALL_11_30
