no,company,main_phones,main_emails,websites
36,TFG Transfracht Internationale Gesellschaft für kombinierten Güterverkehr mbH,+49 69 9548 0,info@transfracht.com,
37,Trans-o-flex ThermoMed Austria GmbH,+43 1 866 77 0,office@tof.at,
38,TRANSDANUBIA Speditionsgesellschaft m.b.H.,+43 732 770 500,office@transdanubia.at,
39,Transped Europe GmbH,+43 5332 210 0,office@transped.at,
40,Transporte Schneckenreiter GmbH,+43 7242 296 0,office@schneckenreiter.com,
41,VEGA International Car-Transport and Logistic-Trading Gesellschaft m.b.H.,+43 662 452 100,office@vega-international.at,
42,Weiss Walter,+43 316 281 200,office@weiss-walter.at,
43,E. Rossik Transport & Logistics GmbH,+43 2622 730 0,office@rossik.com,
44,DSV Road Austria AG,+43 1 605 28 0,info@at.dsv.com,
45,Treu Speditionsgesellschaft m.b.H.,+43 1 616 44 44,office@treu-spedition.at,
46,BGO Logistik & Spedition GmbH,+43 7229 600 0,office@bgo.at,
47,Kapeller Internationale Spedition GmbH,+43 512 346 800,office@kapeller.com,
48,DIZZBO GmbH,+43 720 515 121,office@dizzbo.com,
49,I.L.G. Innovative Logistics Group GmbH,+43 662 420 420,office@ilg-logistics.com,
50,JERICH Austria GmbH,+43 316 4000 0,office@jerich.com,
51,Kerschner Transporte GmbH,+43 2754 6300,office@kerschner.at,
52,Josef Poscharnegg GmbH,03455 6011-100,office@poscharnegg.at,http://www.poscharnegg.at/
53,INNIGHT EXPRESS AUSTRIA GmbH,+43 2236 677 30,office@innight.at,
54,Paul Rudolf Gesellschaft m.b.H.,+43 316 671 200,office@rudolf.at,
55,SWIETELSKY Baugesellschaft m.b.H.,+43 732 6971 0,office@swietelsky.at,
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,+43 7722 811 0,office@ssr.at,
57,Tirolia Spedition Ges.m.b.H.,+43 512 332 200,office@tirolia-spedition.at,
58,TRA Logistik GmbH,+43 7229 221 00,office@tra-logistik.at,
59,UNITCARGO Speditionsges.m.b.H.,+43 1 707 77 00,office@unitcargo.at,
60,W. Riedel Silo-Transportgesellschaft m.b.H.,+43 2236 677 50,office@riedel-silo.at,
61,Neuninger Logistik Service GmbH,+43 7242 211 600,office@neuninger.at,
62,Condor - Speditions -, Transportgesellschaft m.b.H. + Co.,+43 662 420 300,office@condor-spedition.at,
63,Franz Exenberger GmbH,+43 5332 735 00,office@exenberger.at,
64,ACS Logistics GmbH & Co KG,+43 662 450 500,office@acs-logistics.at,
65,C.H. Robinson Austria GmbH,+43 1 253 1000,vienna@chrobinson.com,
66,CEVA Air & Ocean Austria GmbH,+43 1 7007 0,info.at@cevalogistics.com,
67,Ceva Logistics Austria GmbH,+43 2236 677 70,info.at@cevalogistics.com,
68,DHL Freight - DHL Logistics (Austria) GmbH,+43 1 7007 0,info.at@dhl.com,
69,Hadolt Transport und Logistik GmbH,+43 316 243 000,office@hadolt.at,
70,Hapag-Lloyd (Austria) GmbH,+43 1 587 04 00,vienna@hlag.com,
71,Hellmann Worldwide Logistics GmbH,+43 1 707 60 0,info@hellmann.com,
72,Hermes Logistik GmbH & Co KG,+43 2236 677 90,info@hermes-logistik.at,
73,Hofmann & Neffe GmbH,+43 732 341 341,office@hofmann-neffe.at,
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,+43 1 769 03 00,vienna@hoyer-group.com,
75,LAGRAN Lager- und Transport Ges.m.b.H.,+43 2236 677 10,office@lagran.at,
76,Müller Transporte Gesellschaft m.b.H.,+43 2236 677 20,office@muellertransporte.at,
77,KUNSTTRANS Spedition GmbH,+43 1 748 55 00,office@kunsttrans.at,
78,L.T.W.-Transportgesellschaft mbH & Co KG,+43 7242 350 0,office@ltw.at,
79,Maillog Richter & Weiner Ges.m.b.H.,+43 1 698 77 00,office@maillog.at,
80,MALCAMPO Transporte GmbH,+43 7229 614 00,office@malcampo.at,
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,+43 316 290 400,office@platzer-transporte.at,
82,R & W Internationale Speditionsgesellschaft m.b.H.,+43 2236 677 60,office@rw-spedition.at,
83,R & W SPEDITION-LOGISTIC GMBH,+43 2236 677 60,office@rw-spedition.at,
84,ROLAND Internationale Spedition GmbH,+43 732 774 800,office@rolsped.com,
85,Schneckenreither Internationale Spedition GmbH,+43 7229 615 00,office@schneckenreither.com,
86,Spedition Böntner GmbH,+43 7242 350 500,office@boentner.at,
87,Spedition Engel Mayr GmbH,+43 7229 615 10,office@engelmayr.at,
88,Spedition Sobolak Internationale Transporte Ges.m.b.H.,+43 2236 677 80,office@sobolak.at,
89,Spedition Lang GesmbH,+43 2236 677 85,office@spedition-lang.at,
90,Spedition MURNIG Kommanditgesellschaft,+43 463 540 00,office@murnig.at,
91,STARK Internationale Transporte Gesellschaft m.b.H.,+43 512 580 000,office@stark-transporte.at,
92,SUXESS LOGISTIC GmbH,+43 2236 677 95,office@suxess-logistic.at,
93,UPS SCS (Austria) Logistic GmbH,+43 1 599 14 0,info@ups.com,
94,VOGTRANS Speditions- und Verpackungsgesellschaft m.b.H.,+43 732 770 200,office@vogtrans.at,
95,Wolfsgruber Logistik GmbH,+43 316 290 500,office@wolfsgruber.net,
96,Zugvogel Speditions GmbH,+43 512 580 100,office@zugvogel.at,
97,Rhenus Logistics Austria GmbH,+43 2236 677 00,info.at@rhenus.com,
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,+43 662 4090 0,office@lagermax.com,
99,Augustin Quehenberger Group GmbH,+43 662 468 60,office@quehenberger.com,
100,LOG-IN Logistik GmbH,+43 662 468 60,office@quehenberger.com,
101,Quehenberger Air + Ocean GmbH,+43 662 468 60,office@quehenberger.com,
102,Quehenberger Logistics GmbH,+43 662 468 60,office@quehenberger.com,
103,Deufol Austria GmbH,+43 2236 677 01,info.at@deufol.com,
104,Hillebrand Gori Austria GmbH,+43 1 707 70 0,info@hillebrandgori.com,
105,Hödlmayr High & Heavy GmbH,+43 7243 500 0,info@hoedlmayr.com,
106,TEK TRANSPORT s.r.o.,+43 2236 677 02,office@tektransport.eu,
107,REICHHART Logistik Austria GmbH,+43 2236 677 03,office@reichhart.eu,
108,Schachinger Logistik GmbH,+43 7242 486 0,office@schachinger.com,
109,G. Englmayer Transport GmbH,+43 5 7773 0,office@englmayer.at,
110,Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,+43 5 7755 0,office@gw-world.com,
111,Gebrüder Weiss Transport Logistik GmbH,+43 5 7755 0,office@gw-world.com,
112,SAW International GmbH,+43 7229 615 00,office@saw-international.at,
113,Wattaul Air Cargo Gesellschaft m.b.H.,+43 2236 677 04,office@wattaul.at,
114,Innofreight Speditions GmbH,+43 316 400 500,office@innofreight.com,
115,Nippon Express Europe GmbH,+43 2236 677 05,office@nipponexpress.com,
116,Hödlmayr Rail Logistics GmbH,+43 7243 500 0,info@hoedlmayr.com,
117,EUROTRANS Handelsgesellschaft m.b.H.,+43 662 450 700,office@eurotrans.at,
118,BÖNTNER Holding GmbH,+43 7242 350 500,office@boentner.at,
