no,company,primary_dm,management,owners,websites,wko_url
11,Quick Service Logistics GmbH,Markus Bappert; Nina Meyer; Florian Entrich,Markus Bappert; Nina Meyer; Florian Entrich,Meyer Quick Service Logistics Verwaltungs GmbH,,https://firmen.wko.at/quick-service-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=15b122aa-0f61-49c9-b1a1-24fe6d9daf7b&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
12,Raben Logistics Austria GmbH,Ewald Raben; Wojciech Mialik,Ewald Raben; Wojciech Mateusz Mialik,Raben Group N.V.,,https://firmen.wko.at/raben-logistics-austria-gmbh/burgenland/?firmaid=43e84c6a-f649-45be-be26-637503f40f83&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
13,Sovereign Speed Austria GmbH,Leo Then,Leo Then,Sovereign Speed Germany GmbH,http://www.sovereignspeed.com/,https://firmen.wko.at/sovereign-speed-austria-gmbh/nieder%c3%b6sterreich/?firmaid=70a0eb56-24fa-41dd-9e75-bba94c39807f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
14,Nothegger Transport Logistik GmbH,Karl Nothegger,Karl Nothegger,Karl Nothegger; Nothegger Holding GmbH,http://www.nothegger.at/,https://firmen.wko.at/nothegger-transport-logistik-gmbh/ober%c3%b6sterreich/?firmaid=dd94b639-ac8d-4a19-937a-635cd3640abc&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
15,All Fresh Logistics GmbH,Reinhold Diess,Reinhold Diess,Reinhold Diess,,https://firmen.wko.at/all-fresh-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=632acebd-08e2-42d8-b9e4-d4e7f24e42c9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
16,Berger Logistik GmbH,Tobias Ibrahim; Matthias Synal,Tobias Ibrahim; Matthias Synal,Berger Transport GmbH; Red Bull GmbH,,https://firmen.wko.at/berger-logistik-gmbh/tirol/?firmaid=55ce58a3-4f17-4b38-ab18-525848eb4df8&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
17,cargo-partner GmbH,Martin Schenzel,Martin Schenzel,Cargo-Partner Holdings GmbH,http://www.cargo-partner.com/,https://firmen.wko.at/cargo-partner-gmbh/nieder%c3%b6sterreich/?firmaid=765618f5-08e1-4094-a4b5-c2e36f33f430&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
18,DACHSER-Austria Gesellschaft m.b.H.,Alfred Koblmüller; Michael Rauhofer,"Alfred Koblmüller, MBA, MIB; Michael Rauhofer",DACHSER SE,,https://firmen.wko.at/dachser-austria-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=46d7c424-40ed-4e24-83ed-46c1e4b27e41&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
19,DHL Global Forwarding (Austria) GmbH,Christoph Wahl; Thomas Ziegler,Christoph Martin Wahl; Mag. (FH) Thomas Ziegler,DHL Global Forwarding International Holdings B.V.,http://www.dhl-freight.at/ | http://www.dhl.at/ | http://www.logistics.dhl/at-de | https://www.dhl.com/at-de/home/fracht.html,https://firmen.wko.at/dhl-global-forwarding-austria-gmbh-internationale-spedition/k%c3%a4rnten/?firmaid=4c8d5cfa-9fea-4e8d-b931-ea66e15d4700&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
20,Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,Katharina König,Katharina König,Ownership not resolved in free public sources,,https://firmen.wko.at/dipl-kfm-g%c3%bcnther-k%c3%b6nig-transportgesellschaft-mbh/burgenland/?firmaid=8b32f60f-660a-4890-b684-0276f72780a8&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
21,FedEx Express Austria GmbH,Stefan Dries; Sven Kische; Charlotte Laureyssens,Stefan Günter Dries; Sven Kische; Charlotte Elisabeth M. Laureyssens,FedEx Express International B.V.,,https://firmen.wko.at/fedex-express-austria-gmbh/ober%c3%b6sterreich/?firmaid=e797d4b9-1134-4e4c-8fe0-e34117b0cbd2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
22,Fercam Austria GmbH,Hannes Baumgartner; Christian Jarnig,Hannes Baumgartner; Christian Jarnig,FERCAM SB SRL,,https://firmen.wko.at/fercam-austria-gmbh/k%c3%a4rnten/?firmaid=1c58f4cc-15e0-46f1-83ea-e017b371bdea&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
23,Fluckinger Transport GmbH,Andreas Fluckinger,Andreas Fluckinger,Fluckinger Holding GmbH,,https://firmen.wko.at/fluckinger-transport-gmbh/tirol/?firmaid=d0cb09b4-bf35-45ce-90c3-162dbcb30a9b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
24,Friedrich Göbhart Gesellschaft m.b.H.,Lukas Herzog; Gerhard Prossinger,Lukas Herzog; Gerhard Prossinger,ZEPTA Vermögensverwaltungs GmbH,,https://firmen.wko.at/friedrich-g%c3%b6bhart-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=f173e086-15c4-4648-9262-2113ca3423e6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
25,Fritz Mayer Internationale Spedition & Transport GmbH,Friedrich Mayer; Peter Mayer,Friedrich Mayer; Peter Mayer,Friedrich Mayer; Peter Mayer,,https://firmen.wko.at/fritz-mayer-internationale-spedition-und-transport-gmbh/steiermark/?firmaid=c846ef3a-9035-42f2-8e15-2bebe1ed0636&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
26,GLS Austria GmbH,Christian Schöninger; Moritz Eichhöfer,Christian Schöninger; Moritz Dietrich Martin Eichhöfer,General Logistics Systems Germany GmbH & Co. OHG,,https://firmen.wko.at/gls-austria-gmbh/ober%c3%b6sterreich/?firmaid=3e2a8d84-f76f-4b2b-92b1-e8db66472129&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
27,Global Express Austria GmbH,Rolf Hadolt; Felix Hadolt; Stefanie Sachiko Hadolt-Reimers,Rolf Hadolt; Felix Hadolt,Rolf Hadolt; Stefanie Sachiko Hadolt-Reimers; Felix Hadolt,,https://firmen.wko.at/global-express-austria-gmbh/steiermark/?firmaid=2e54e0f0-d4a2-4523-bbf8-78d9bfdadfb9&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
28,Hödlmayr Logistics GmbH,Helmut Zwirner; Markus Formann; Stefan Pargfrieder,Mag. Helmut Zwirner; Mag. Markus Formann; Mag. Stefan Pargfrieder,Hödlmayr International GmbH,,https://firmen.wko.at/h%c3%b6dlmayr-logistics-gmbh/ober%c3%b6sterreich/?firmaid=282d54ec-d4f0-45a0-82a6-6cb46f2a0a4d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
29,Ontime Logistics Speditions GmbH,Sonja Schneckenreither; Thomas Dobusch,"Sonja Schneckenreither, BSc; Thomas Dietmar Dobusch",SAW-Beteiligungs GmbH,,https://firmen.wko.at/ontime-logistics-speditions-gmbh/ober%c3%b6sterreich/?firmaid=fb12037c-f64f-4b75-96c9-080394a59666&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
30,Rudolph Logistik Österreich GmbH,Georg Weiß; Christoph Maas; Christoph Glatzl,"Georg Weiß; Christoph Maas; Christoph Glatzl, BA, MSc",ANCLA Logistik GmbH,,https://firmen.wko.at/rudolph-logistik-%c3%b6sterreich-gmbh/ober%c3%b6sterreich/?firmaid=7f0b8fc5-0540-4947-b702-47a1e4c5a3d0&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
31,Nagel Austria GmbH,Johannes Winterleitner; Markus Raffeiner,Johannes Winterleitner; Markus Raffeiner,Nagel-Group Logistics SE,,https://firmen.wko.at/nagel-austria-gmbh/nieder%c3%b6sterreich/?firmaid=7e192fcf-6f00-4a1c-b904-5ba979e1439a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
32,NEUFRA Speditions Gesellschaft m.b.H.,Wolfgang Hast; Sandra Hast; Peter Reindl,Wolfgang Hast; Sandra Hast; Peter Reindl,NEUFRA Speditionsgesellschaft mbH (Germany),,https://firmen.wko.at/neufra-speditions-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=c0f4a07c-988d-452c-b3ac-2445f6596ef5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
33,Petschl Werkstätten Betriebs GmbH,Nikolaus Glisic; Wolfgang Aigner,Wolfgang Aigner (GF of managing GmbH),Nikolaus Glisic; PETSCHL Österreich GmbH,,https://firmen.wko.at/petschl-werkst%c3%a4tten-betriebs-gmbh/ober%c3%b6sterreich/?firmaid=fc81c607-cf3c-43bf-bf79-a53fc439a8a6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
34,SETG Salzburger Eisenbahn TransportLogistik GmbH,Gunther Pitterka,Gunther Rudolf Pitterka; Christoph Böhm,Gunther Pitterka,,https://firmen.wko.at/setg-salzburger-eisenbahn-transportlogistik-gmbh/salzburg/?firmaid=5e5278fe-9968-4bd5-9fb2-3f2dc38ea955&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
35,Schachinger Logistik Holding GmbH,Maximilian Schachinger; Günther Gfrerrer; Ehrenfried Werderits; Philipp Pracser,Günther Gfrerrer; Ehrenfried Werderits; Philipp Pracser,Schachinger group / Maximilian Schachinger ultimate control,,https://firmen.wko.at/schachinger-logistik-holding-gmbh/ober%c3%b6sterreich/?firmaid=395b74cf-1966-467f-b7b7-dda1f1f55346&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
36,TFG Transfracht Internationale Gesellschaft für kombinierten Güterverkehr mbH,Frank Erschkat; Thomas Hesse; Sören Kaminsky; Rebecca Leitner (Austria),Frank Erschkat; Thomas Hesse; Sören Kaminsky,DB Cargo AG,,https://firmen.wko.at/tfg-transfracht-internationale-gesellschaft-f%c3%bcr-kombinierten-g%c3%bcterverkehr-mbh/wien/?firmaid=20e6fb02-d249-448e-9868-1e909b268f70&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
37,Trans-o-flex ThermoMed Austria GmbH,Eugen Günther; Thomas Handlos; Michael Löckener,Eugen Günther; Thomas Handlos; Michael Löckener,trans-o-flex ThermoMed GmbH,,https://firmen.wko.at/trans-o-flex-thermomed-austria-gmbh/wien/?firmaid=e70204bc-0513-4747-9aad-081640d4cf22&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
38,TRANSDANUBIA Speditionsgesellschaft m.b.H.,Andreas Scherbaum; Friedrich Simlinger; Günter Lehner,Andreas Scherbaum; Friedrich Simlinger; Günter Lehner,TRANSDANUBIA Holding GmbH,,https://firmen.wko.at/transdanubia-speditionsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=b05fbab4-b048-4da5-aa2d-5c3f97def401&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
39,Transped Europe GmbH,Thomas Schnaiter,Thomas Schnaiter,Transped Holding GmbH; Markus Auer GmbH,,https://firmen.wko.at/transped-europe-gmbh/tirol/?firmaid=e09f2c3b-1647-4b5f-97fb-6104906775d3&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
40,Transporte Schneckenreiter GmbH,Dieter Schneckenreiter,Dieter Schneckenreiter,UCS Beteiligungen GmbH,,https://firmen.wko.at/transporte-schneckenreiter-gmbh/ober%c3%b6sterreich/?firmaid=597082ab-1fd2-4a03-8ef7-a536bd9b1f49&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
41,VEGA International Car-Transport and Logistic-Trading Gesellschaft m.b.H.,Franz Blum; Wolfgang Werner; Peter Blum; Thomas Mackinger,Franz Blum; Wolfgang Werner; Peter Blum; Thomas Mackinger,Franz Blum; Wolfgang Werner,,https://firmen.wko.at/vega-international-car-transport-and-logistic-trading-gesellschaft-mbh/salzburg/?firmaid=d08eb180-263f-4173-8ab3-48cca53f2146&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
42,Weiss Walter,Johann Luxbauer,Johann Luxbauer (Vorstand),Luxbauer Holding GmbH,,https://firmen.wko.at/weiss-walter/steiermark/?firmaid=439ad3bd-f4c4-4148-b321-2f2a02fe8879&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
43,E. Rossik Transport & Logistics GmbH,Erwin Rossik; Mladenco-Vladimir Rossik,Erwin Rossik; Mladenco-Vladimir Rossik,Mladenco-Vladimir Rossik; Rossik Holding GmbH; Lukas Dolezal,,https://firmen.wko.at/e-rossik-transport-und-logistics-gmbh-spedition-und-transport/nieder%c3%b6sterreich/?firmaid=59cf87fe-a1bb-4e85-a687-ed0bf5420ab0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
44,DSV Road Austria AG,Nico Puhl,Nico Puhl (Vorstand),DSV Road Holding A/S,,https://firmen.wko.at/dsv-road-austria-ag/burgenland/?firmaid=71de767f-ed1d-4e02-9364-19bc7b7ab2ac&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
45,Treu Speditionsgesellschaft m.b.H.,Alexander Müller,Alexander Müller; Bernd Kofler,Alexander Müller,,https://firmen.wko.at/treu-speditionsgesellschaft-mbh/wien/?firmaid=1b53ba61-ef71-4ec5-8426-466ed97ac285&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
46,BGO Logistik & Spedition GmbH,Peter Morawetz; Mario Helfenschneider,DI Peter Morawetz; Mario Helfenschneider,BGO Holding GmbH,,https://firmen.wko.at/bgo-logistik-spedition-gmbh/ober%c3%b6sterreich/?firmaid=9e31a888-e60a-49ff-a76f-c7d45dbeee87&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
47,Kapeller Internationale Spedition GmbH,Thomas Hafner,Thomas Hafner,Schneider & Cie. AG; Thomas Hafner; Thomas Zangl,,https://firmen.wko.at/kapeller-internationale-spedition-gmbh/tirol/?firmaid=b07e5b48-490e-48db-a9d7-cfef05af9da7&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
48,DIZZBO GmbH,Peter Baumgartlinger; Robert Köbrunner,Peter Baumgartlinger; Mag. Robert Köbrunner,Current shareholders not established from free Austrian sources,,https://firmen.wko.at/dizzbo-gmbh/ober%c3%b6sterreich/?firmaid=6c2e1052-cef7-4c6d-a103-4d7e5a079098&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
49,I.L.G. Innovative Logistics Group GmbH,Peter Neuhuber; Wolfgang Klepatsch,Peter Neuhuber; Wolfgang Klepatsch,Wolfgang Klepatsch; Fr. Meyer’s Sohn KG; Rupert Schenz; PNP Immobilien GmbH,,https://firmen.wko.at/ilg-innovative-logistics-group-gmbh/salzburg/?firmaid=cdb4ae6a-40a8-45bb-8b7d-b0f7520f3a32&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
50,JERICH Austria GmbH,Herbert Friedrich Jerich,Herbert Friedrich Jerich,Jerich Privatstiftung; Herbert Jerich,,https://firmen.wko.at/jerich-austria-gmbh/steiermark/?firmaid=b7f15057-edca-46f6-adcb-e13dcd00b04a&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
51,Kerschner Transporte GmbH,Andreas Kerschner,Mag. Andreas Kerschner,Noerpel SE,,https://firmen.wko.at/kerschner-transporte-gmbh/nieder%c3%b6sterreich/?firmaid=402b87cf-0a25-4b20-b4cf-462af1344d6a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
52,Josef Poscharnegg GmbH,Sandra Poscharnegg; Sabine Poscharnegg; Ulrike Poscharnegg-Kriebernegg,Sandra Poscharnegg; Herbert Moser; Richard Cvörnjek,"PH Holding GmbH; ultimate: Sandra, Sabine, Ulrike Poscharnegg-Kriebernegg",http://www.poscharnegg.at/,https://firmen.wko.at/josef-poscharnegg-gmbh/steiermark/?firmaid=1f10ce0f-48a9-4e53-a0e5-85a6045d75ad&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
53,INNIGHT EXPRESS AUSTRIA GmbH,Barbara Dragosits,Barbara Dragosits,Innight Express Management GmbH,,https://firmen.wko.at/innight-express-austria-gmbh/nieder%c3%b6sterreich/?firmaid=4094e2f6-c3da-4e12-b51d-d16c4beaa260&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
54,Paul Rudolf Gesellschaft m.b.H.,Paul Rudolf Bierbaumer; Katharina Haller,"Paul Rudolf Bierbaumer; Katharina Anna Haller, MA",Rudolf Privatstiftung; Paul Rudolf; Katharina Haller,,https://firmen.wko.at/paul-rudolf-gesellschaft-mbh/steiermark/?firmaid=21d7bbfd-1c8a-4bc0-95d4-99d3d7593d42&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
55,SWIETELSKY Baugesellschaft m.b.H.,Karl Kirchberger; Matthias Schauer,Mag. Karl Kirchberger; Matthias Schauer,Swietelsky AG,,https://firmen.wko.at/swietelsky-baugesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=51f59e88-7897-4f68-b11c-0db010151f6d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,Adolf Winkelmeier; Rüdiger Pressler,Adolf Anton Winkelmeier; Mag. (FH) Rüdiger Pressler,M.Preymesser Beteiligungs GmbH; AMAG service GmbH,,https://firmen.wko.at/speditionsservice-ranshofen-gesellschaftmbh/ober%c3%b6sterreich/?firmaid=2a861155-cc49-4f2f-98d6-ceeaedeba073&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
57,Tirolia Spedition Ges.m.b.H.,Michael Lukasser,Ing. Michael Lukasser,Tirolia Holding GmbH; Michael Lukasser direct,,https://firmen.wko.at/tirolia-spedition-gesmbh/tirol/?firmaid=1f76a3b1-86dc-4b1b-a51a-2ad09621b0ff&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
58,TRA Logistik GmbH,Rupert Trawöger; Artur Hovhannisyan,Rupert Trawöger; Artur Hovhannisyan,TRA Holding GmbH,,https://firmen.wko.at/tra-logistik-gmbh/ober%c3%b6sterreich/?firmaid=a7625625-ed76-4ea3-a865-f16cfe1ab83a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
59,UNITCARGO Speditionsges.m.b.H.,Davor Sertic,Davor Sertic,Davor Sertic,,https://firmen.wko.at/unitcargo-speditionsgesmbh/wien/?firmaid=cf6f7ac6-0f26-4cc0-9bd2-54e9c1a8d4e3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
60,W. Riedel Silo-Transportgesellschaft m.b.H.,Christian Soos; Robert Mausser; Alexander Waldmüller,DI Christian Soos; Robert Mausser; Ing. Alexander Waldmüller,SR-Silotransport GmbH; Immo Immobilientreuhand; Manfred Adam,,https://firmen.wko.at/w-riedel-silo-transportgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=2f8b823b-33a2-4e65-b063-a8d0243fb7c7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
61,Neuninger Logistik Service GmbH,Jürgen Neuninger,Jürgen Neuninger,Jürgen Neuninger; Brigitte Neuninger,,https://firmen.wko.at/neuninger-logistik-service-gmbh/ober%c3%b6sterreich/?firmaid=58d0db6a-31cb-4b55-ad72-49614fd45364&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
62,"Condor - Speditions -, Transportgesellschaft m.b.H. + Co.",Andreas Gfrerer; Ursula Gfrerer; Marion Handlos,Mag. Andreas Gfrerer,Andreas Gfrerer; Ursula Gfrerer; Marion Handlos,,https://firmen.wko.at/condor-speditions-transportgesellschaft-mbh-co/salzburg/?firmaid=0c7adfa0-2546-48dc-83a7-b9cabb54198c&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
63,Franz Exenberger GmbH,Alexander Poindl,Alexander Poindl,Alexander Poindl,,https://firmen.wko.at/franz-exenberger-gmbh/tirol/?firmaid=ef2b0ec9-ea35-45d0-8147-7f3ab47fac85&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
64,ACS Logistics GmbH & Co KG,Thomas Sticht; Gerald Kleeberger; Ulrich Hartwig,Thomas Sticht; Gerald Kleeberger; Ulrich Hartwig,ACS Holding GmbH,,https://firmen.wko.at/acs-logistics-gmbh-co-kg/salzburg/?firmaid=d462cfbf-29f6-4cfe-9304-c3c4c5ef1497&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
65,C.H. Robinson Austria GmbH,Roeland Steigerwald; Bastiaan Bleeker; Christopher Gerst,Roeland Johannes Anthonius Steigerwald; Bastiaan Bleeker; Christopher Edward Gerst,C.H. Robinson group,,https://firmen.wko.at/ch-robinson-austria-gmbh/wien/?firmaid=f051f4a4-e7db-4ca3-9e62-86ff434d6408&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
66,CEVA Air & Ocean Austria GmbH,Peter Püringer; Jörg Peter; Vincent Malhaire,Peter Püringer; Jörg Frederik Peter; Vincent Malhaire,CEVA Air & Ocean Austria GmbH,,https://firmen.wko.at/ceva-air-ocean-austria-gmbh/wien/?firmaid=6e1c0427-f714-4ec8-ab0b-4ed70790199f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
67,Ceva Logistics Austria GmbH,Norbert Baumann; Roman Vašš,Norbert Baumann; Roman Vašš,Normeston Group Cyprus Limited,,https://firmen.wko.at/ceva-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=16a3b56f-8057-459b-a187-ec1309802e21&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
68,DHL Freight - DHL Logistics (Austria) GmbH,Michael Rolle; Katrin Hölter,Michael Rolle; Katrin Hölter,Deutsche Post Beteiligungen Holding GmbH,,https://firmen.wko.at/dhl-logistics-austria-gmbh/wien/?firmaid=7d37b15f-1314-4328-8be7-e4e82296602a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
