company,company_status,best_person_status,decision_makers,direct_named_contacts,fallback_only_people,no_route_people
INNIGHT EXPRESS AUSTRIA GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Innofreight Speditions GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,2,0,0
JERICH Austria GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Josef Poscharnegg GmbH,DIRECT_COVERED,B_DIRECT_PHONE,3,1,2,0
KUNSTTRANS Spedition GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Kapeller Internationale Spedition GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,1,1,0,0
Kerschner Transporte GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Kühne + Nagel Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
L.T.W.-Transportgesellschaft mbH & Co KG,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
LAGRAN Lager- und Transport Ges.m.b.H.,DIRECT_COVERED,A_PUBLIC_MOBILE,4,2,2,0
LOG-IN Logistik GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Lagermax Lagerhaus und Speditions Aktiengesellschaft,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Lagermax Logistics Austria GmbH,DIRECT_COVERED,B_DIRECT_PHONE,3,1,2,0
Logistik Service GmbH,DIRECT_COVERED,B_DIRECT_PHONE,2,1,1,0
MALCAMPO Transporte GmbH,DIRECT_COVERED,B_DIRECT_PHONE,2,1,1,0
Maillog Richter & Weiner Ges.m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Müller Transporte Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
NEUFRA Speditions Gesellschaft m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,3,1,2,0
Nagel Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Neuninger Logistik Service GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,1,1,0,0
Nippon Express Europe GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
Nothegger Transport Logistik GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Ontime Logistics Speditions GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Paul Rudolf Gesellschaft m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,2,1,1,0
Petschl Werkstätten Betriebs GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,1,1,0
Quehenberger Air + Ocean GmbH,DIRECT_COVERED,B_DIRECT_PHONE,3,1,2,0
Quehenberger Logistics GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Quick Service Logistics GmbH,NO_PUBLIC_ROUTE,F_NO_PUBLIC_DIRECT_CONTACT_FOUND,3,0,0,3
R & W Internationale Speditionsgesellschaft m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,3,3,0,0
R & W SPEDITION-LOGISTIC GMBH,DIRECT_COVERED,B_DIRECT_PHONE,3,3,0,0
REICHHART Logistik Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
ROLAND Internationale Spedition GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,2,0,0
Raben Logistics Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Rhenus Logistics Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Rudolph Logistik Österreich GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
SAW International GmbH,DIRECT_COVERED,B_DIRECT_PHONE,2,1,1,0
SETG Salzburger Eisenbahn TransportLogistik GmbH,DIRECT_COVERED,D_NAMED_MANAGEMENT_LINE,1,1,0,0
STARK Internationale Transporte Gesellschaft m.b.H.,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,1,1,0,0
SUXESS LOGISTIC GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
SWIETELSKY Baugesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Schachinger Logistik GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,4,0,4,0
Schachinger Logistik Holding GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,4,0,4,0
Schneckenreither Internationale Spedition GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
Sovereign Speed Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Spedition Böntner GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,1,1,0,0
Spedition Engel Mayr GmbH,DIRECT_COVERED,A_PUBLIC_MOBILE,2,1,1,0
Spedition Lang GesmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,1,1,0,0
Spedition MURNIG Kommanditgesellschaft,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Spedition Sobolak Internationale Transporte Ges.m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,2,2,0,0
Speditionsservice Ranshofen Gesellschaftm.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,2,0,2,0
TEK TRANSPORT s.r.o.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
TFG Transfracht Internationale Gesellschaft für kombinierten Güterverkehr mbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,4,1,3,0
TRA Logistik GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,1,1,0
TRANSDANUBIA Speditionsgesellschaft m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,3,3,0,0
Tirolia Spedition Ges.m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Trans-o-flex ThermoMed Austria GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,3,0,3,0
Transped Europe GmbH,DIRECT_COVERED,B_DIRECT_PHONE,1,1,0,0
Transporte Schneckenreiter GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Treu Speditionsgesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
UNITCARGO Speditionsges.m.b.H.,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,1,1,0,0
UPS SCS (Austria) Logistic GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
VEGA International Car-Transport and Logistic-Trading Gesellschaft m.b.H.,FALLBACK_ONLY,E_CENTRAL_FALLBACK,4,0,4,0
VOGTRANS Speditions- und Verpackungsgesellschaft m.b.H.,DIRECT_COVERED,B_DIRECT_PHONE,2,1,1,0
W. Riedel Silo-Transportgesellschaft m.b.H.,DIRECT_COVERED,A_PUBLIC_MOBILE,3,3,0,0
Wattaul Air Cargo Gesellschaft m.b.H.,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,2,0,0
Weiss Walter,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
Wolfsgruber Logistik GmbH,DIRECT_COVERED,C_DIRECT_EMAIL_ONLY,2,2,0,0
Zugvogel Speditions GmbH,DIRECT_COVERED,D_NAMED_MANAGEMENT_LINE,2,2,0,0
cargo-partner GmbH,FALLBACK_ONLY,E_CENTRAL_FALLBACK,1,0,1,0
