no,company_name,stage3_scope,primary_dm,primary_dm_role,direct_phone,phone_type,phone_verified,phone_source_url,personal_email,email_type,email_verified,email_source_url,secondary_phone,secondary_email,fallback_company_phone,fallback_company_email,website,contact_summary,contact_confidence,research_notes,stage3_owner_summary,stage3_source_urls,research_complete,manual_reviewed,checked_source_count,checked_source_urls,machine_selected_sources
11,AREALIS Liegenschaftsmanagement GmbH,MAIN,Michael Widschwendter; Ivana Krenstetter,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+435035028600,office@arealis.at,http://www.arealis.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 8 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Fultererpark corporate parent | Senioren Residenz Fultererpark Errichtungs- und Verwaltungs GmbH,https://www.evi.gv.at/f/270405f | https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,8,https://www.arealis.at/ | https://www.arealis.at/en/management-of-the-new-ikea-store/ | https://www.arealis.at/impressum/ | https://www.arealis.at/mieter/downloads/ | https://www.arealis.at/wp-content/uploads/2021/08/Meldezettel.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Einzugsermaechtigung-IBAN_BIC.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Schluesselbestellung.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Anleitung_Wohnungswechsel.pdf,
12,FLE GmbH,MAIN,Gilles Etrillard; Alexander Klafsky,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Shareholder consortium | La Financiere Patrimoniale d'Investissement SAS; GHEM Investments S.a.r.l.; Hector Kilcada GmbH; Pyrénées Partners Société civile,https://www.evi.gv.at/f/296776k | https://firmen.wko.at/fle-gmbh/wien/?firmaid=7dfc7864-809d-4186-b383-5ae15c289bd3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
13,Immobilienverwaltung Mag. Alois Rosenberger GmbH,MAIN,Alois Rosenberger,Owner / Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+4313324298,none,https://www.iv-ro.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 3 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Alois Rosenberger | Alois Rosenberger,https://www.iv-ro.at/ | https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,3,https://iv-ro.at/ | https://iv-ro.at/kontakt/ | https://iv-ro.at/impressum/,
14,OM Objektmanagement GmbH,MAIN,Renate Tomaschek; Petra Antoni,Geschäftsführerinnen,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Erste Group Bank AG | Erste Group Bank AG,https://www.evi.gv.at/f/67715g | https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=876f338d-ac6c-492f-955a-75f189c79885&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
15,Stadt Wien - Wiener Wohnen Kundenservice GmbH,MAIN,Angelika Flatz; Marcel Kremmer,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,City of Vienna | Stadt Wien,https://www.evi.gv.at/f/223828i | https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=6d3a9567-4ce0-428f-8f49-1cf77a313b02&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
16,Wohnfit Hausverwaltungs GmbH,MAIN,Sargon Gecer; Kresimir Azdajic,Gesellschafter / Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Owner-managers plus teamneunzehn group | Sargon Gecer; Kresimir Azdajic; teamneunzehn.at Hausverwaltung GmbH,https://www.evi.gv.at/f/580626m | https://firmen.wko.at/wohnfit-hausverwaltungs-gmbh/wien/?firmaid=6589f8fb-70b0-49d0-8bf5-9938014d8527&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
17,at home FM Services GmbH,MAIN,Alexander Hießböck; Thomas Fischmann,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,at home group | at home Immobilien-GmbH,https://www.evi.gv.at/f/500149p | https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
18,GBG Gebäude- und Baumanagement Graz GmbH,MAIN,Günter Hirner,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,http://www.gbg.graz.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 1 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,City of Graz | Stadt Graz; Holding Graz – Kommunale Dienstleistungen GmbH,https://www.gbg.graz.at/ | https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,1,https://www.gbg.graz.at/,
19,Ing. Werner Wilhelm Bayer,MAIN,Werner Bayer,Inhaber,none,NONE,no,,klaus.bayer@svbayer.at,A_PERSONAL_VERIFIED,yes,https://www.svbayer.at/ueber-uns,,,+43335232660337,office@svbayer.at,http://www.svbayer.at/,Werner Bayer: A_PERSONAL_VERIFIED klaus.bayer@svbayer.at,HIGH,Machine discovery checked 4 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Ing Werner Wilhelm Bayer | Ing Werner Wilhelm Bayer,https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979 | https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,4,https://www.svbayer.at/ | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/kontakt | https://www.svbayer.at/impressum,https://www.svbayer.at/ueber-uns
20,PMV Immobilien Management GmbH,MAIN,Florian Hörmann,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,PMV Holding / IMV-GIM group context | PMV Holding GmbH,https://www.evi.gv.at/f/332655z | https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
21,Supernova Invest GmbH,MAIN,Markus Pinggera; Petra Michelatsch,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Supernova / Sunrise group | Sunrise Holding GmbH,https://www.evi.gv.at/f/423086k | https://firmen.wko.at/supernova-invest-gmbh/steiermark/?firmaid=67cb3908-ab37-401e-bacf-b2226a9e2757&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
22,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,MAIN,Petra Fröstl; Maximilian Knoblechner,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Zurich Insurance Group | Zürich Versicherungs-Aktiengesellschaft,https://www.zurich.at/ | https://firmen.wko.at/zurich-immobilien-liegenschaftsverwaltungs-gesmbh/wien/?firmaid=d8edbf56-e59f-44ef-9ac7-3ecc6e1d917a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
23,AI Immobilienverwertung GmbH.,MAIN,Eva Baumann; Michael Bujatti,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,http://www.apk.at/aiig,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 11 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,APK group | APK Versicherung AG,https://www.evi.gv.at/f/47499b | https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,11,https://www.apk.at/aiig | https://www.apk.at/team | https://www.apk.at/ueber-uns | https://www.apk.at/%C3%BCber-uns | https://www.apk.at/management | https://www.apk.at/geschaeftsfuehrung | https://www.apk.at/gesch%C3%A4ftsf%C3%BChrung | https://www.apk.at/kontakt | https://www.apk.at/contact | https://www.apk.at/presse | https://www.apk.at/downloads,
24,Dr. Martin Schober Immobilienverwaltung GmbH,MAIN,Martin Schober,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,MASCH Verwaltungs GmbH (Dr Schober is GF but only minority shareholder of parent) | MASCH Verwaltungs GmbH,https://www.evi.gv.at/f/524478t | https://firmen.wko.at/dr-martin-schober-immobilienverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=42161173-caf0-44f5-96e1-8e79f03c87d6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
25,Immobilien Verwaltung Klagenfurt GmbH,MAIN,Gerhard Scheucher,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+434635373320,none,https://www.klagenfurt-wohnen.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 6 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,City of Klagenfurt | Landeshauptstadt Klagenfurt am Wörthersee,https://www.klagenfurt.at/stadtverwaltung/budget-finanzen/staedtische-beteiligungen | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%c3%a4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,6,https://www.klagenfurt-wohnen.at/ | https://www.klagenfurt-wohnen.at/kontakt | https://www.klagenfurt-wohnen.at/impressum | https://www.klagenfurt-wohnen.at/downloads | https://www.klagenfurt-wohnen.at/fileadmin/user_upload/Klagenfurt_Wohnen/02_Services/Downloads/WB_Aushang_Information_Netz.pdf | https://www.klagenfurt-wohnen.at/fileadmin/klagenfurt-wohnen/Formulare/WB_Formular_Kuendigung_Geschaeftslokalmietvertrag.pdf,
26,"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",MAIN,Alexander Schlechta; Martin Fischer,Majority owner; Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+431521380,office@hallas.at,http://www.hallas.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 2 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Alexander Schlechta | Alexander Schlechta; Martin Fischer; Karl Fischer,https://www.evi.gv.at/f/92132p | https://firmen.wko.at/ludwig-hallas-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=1488ee5c-9ebe-4391-a73f-50b34e432d8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,2,https://www.hallas.at/ | https://www.hallas.at/impressum/,
27,Salzburg Wohnbau GmbH,MAIN,Georg Grundbichler; Thomas Maierhofer,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+4366220660,office@salzburg-wohnbau.at,http://www.salzburg-wohnbau.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 5 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Current shareholder group | BAUSPARERHEIM gemeinnützige Wohnungsgenossenschaft; Mag Walter Haas; Sandra Hasenauer; Ing Manfred Sampl,https://www.evi.gv.at/f/212888x | https://firmen.wko.at/salzburg-wohnbau-gmbh-immobilientreuh%c3%a4nder-immobilienmakler-immobilienverwalter/salzburg/?firmaid=73b2127c-dd25-4908-a82e-82bf680f9849&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,5,https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/team/ | https://www.salzburg-wohnbau.at/impressum/ | https://www.salzburg-wohnbau.at/pressegespraech-2020/ | https://www.salzburg-wohnbau.at/downloads/,
28,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,MAIN,Robert Zier; Bernhard Raffelsberger,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+4314860608,office@wevig.at,https://wevig.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 8 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Familienwohnbau group / institutional housing owners | Familienwohnbau gemeinnützige Bau- und Siedlungsgesellschaft m.b.H.; Familienwohnbau Niederösterreich gemeinnützige Wohnbau GmbH; Gesellschaft zur Förderung ökosozialer und familiengerechter Wohnungen GmbH,https://www.firmenabc.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-ge_EuUt | https://firmen.wko.at/wevig-wohnungseigentumsverwaltungs-und-immobilientreuhand-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=382f262c-0390-48ea-a925-d110875546f3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,8,https://www.wevig.at/ | https://www.wevig.at/team/ | https://www.wevig.at/impressum/ | https://www.wevig.at/downloads/ | https://www.wevig.at/wp-content/uploads/2023/01/SEPA-Einzugsermaechtigung_neu.pdf | https://www.wevig.at/wp-content/uploads/2023/01/Vollmacht-fuer-Hausversammlung.pdf | https://www.wevig.at/wp-content/uploads/2023/01/Aenderung_Versandadresse.pdf | https://www.wevig.at/wp-content/uploads/2023/01/Antrag-Schluesselbestaetigung.pdf,
29,Apleona Real Estate AT GmbH,MAIN,Julia Rahner; Michael Bucher,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,https://www.realestate.apleona.at/,NO_DIRECT_CONTACT_FOUND in machine pass; manual/agent verification required,MEDIUM,Machine discovery checked 0 fetched public sources plus exact-name searches/PDF discovery. Snippet-only evidence is not treated as verified. Manual review pending.,Apleona group | Apleona Real Estate GmbH,https://www.realestate.apleona.at/ | https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,machine_only,no,0,,
