no,company_name,stage3_scope,primary_dm,primary_dm_role,direct_phone,phone_type,phone_verified,phone_source_url,personal_email,email_type,email_verified,email_source_url,secondary_phone,secondary_email,fallback_company_phone,fallback_company_email,website,contact_summary,contact_confidence,research_notes,stage3_owner_summary,stage3_source_urls,research_complete,manual_reviewed,checked_source_count,checked_source_urls,machine_selected_sources
11,AREALIS Liegenschaftsmanagement GmbH,MAIN,Michael Widschwendter; Ivana Krenstetter,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+435035028600,office@arealis.at,http://www.arealis.at/,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Fultererpark corporate parent | Senioren Residenz Fultererpark Errichtungs- und Verwaltungs GmbH,https://www.evi.gv.at/f/270405f | https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,8,https://www.arealis.at/ | https://www.arealis.at/en/management-of-the-new-ikea-store/ | https://www.arealis.at/impressum/ | https://www.arealis.at/mieter/downloads/ | https://www.arealis.at/wp-content/uploads/2021/08/Meldezettel.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Einzugsermaechtigung-IBAN_BIC.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Schluesselbestellung.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Anleitung_Wohnungswechsel.pdf,
12,FLE GmbH,MAIN,Gilles Etrillard; Alexander Klafsky,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Shareholder consortium | La Financiere Patrimoniale d'Investissement SAS; GHEM Investments S.a.r.l.; Hector Kilcada GmbH; Pyrénées Partners Société civile,https://www.evi.gv.at/f/296776k | https://firmen.wko.at/fle-gmbh/wien/?firmaid=7dfc7864-809d-4186-b383-5ae15c289bd3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,,
13,Immobilienverwaltung Mag. Alois Rosenberger GmbH,MAIN,Alois Rosenberger,Owner / Geschäftsführer,+436765227103,A_MOBILE_PUBLIC,yes,https://firmen.wko.at/alois-rosenberger/,rosenberger@aon.at,A_PERSONAL_VERIFIED,yes,https://firmen.wko.at/alois-rosenberger/,+43 1 3324298 [C_PERSON_BOUND_OFFICE],,+4313324298,none,https://www.iv-ro.at/,A_MOBILE_PUBLIC: +436765227103; A_PERSONAL_VERIFIED: rosenberger@aon.at; fallback saved,HIGH,"WKO public business listing explicitly lists Mag. Alois Rosenberger with public business mobile +43 676 5227103, office phone and personal business email rosenberger@aon.at. Mobile is promoted to primary contact according to Stage-4 priority; office line is secondary.",Alois Rosenberger | Alois Rosenberger,https://www.iv-ro.at/ | https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,3,https://iv-ro.at/ | https://iv-ro.at/kontakt/ | https://iv-ro.at/impressum/ | https://firmen.wko.at/alois-rosenberger/,
14,OM Objektmanagement GmbH,MAIN,Renate Tomaschek; Petra Antoni,Geschäftsführerinnen,+435010013020,B_DIRECT_DIAL,yes,https://www.sparkasse.at/sgruppe/wir-ueber-uns/verbundpartner,none,NONE,no,,Petra Antoni: +43 50100 18121 [B_DIRECT_DIAL],,none,none,,B_DIRECT_DIAL: +435010013020,HIGH,Sparkassengruppe official partner page explicitly publishes individual DWs for both OM managing directors.,Erste Group Bank AG | Erste Group Bank AG,https://www.evi.gv.at/f/67715g | https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=876f338d-ac6c-492f-955a-75f189c79885&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,https://www.sparkasse.at/sgruppe/wir-ueber-uns/verbundpartner,
15,Stadt Wien - Wiener Wohnen Kundenservice GmbH,MAIN,Angelika Flatz; Marcel Kremmer,Geschäftsführer,+435757575,C_PERSON_BOUND_OFFICE,yes,https://www.fma.or.at/netzwerk/vorstand/,marcel.kremmer@wrwks.at,A_PERSONAL_VERIFIED,yes,https://www.fma.or.at/netzwerk/vorstand/,,,none,none,,C_PERSON_BOUND_OFFICE: +435757575; A_PERSONAL_VERIFIED: marcel.kremmer@wrwks.at,HIGH,"Facility Management Austria board page explicitly lists Marcel Kremmer, Wiener Wohnen Kundenservice, with business email and phone.",City of Vienna | Stadt Wien,https://www.evi.gv.at/f/223828i | https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=6d3a9567-4ce0-428f-8f49-1cf77a313b02&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,https://www.fma.or.at/netzwerk/vorstand/,
16,Wohnfit Hausverwaltungs GmbH,MAIN,Sargon Gecer; Kresimir Azdajic,Gesellschafter / Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Owner-managers plus teamneunzehn group | Sargon Gecer; Kresimir Azdajic; teamneunzehn.at Hausverwaltung GmbH,https://www.evi.gv.at/f/580626m | https://firmen.wko.at/wohnfit-hausverwaltungs-gmbh/wien/?firmaid=6589f8fb-70b0-49d0-8bf5-9938014d8527&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,,
17,at home FM Services GmbH,MAIN,Alexander Hießböck; Thomas Fischmann,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,at home group | at home Immobilien-GmbH,https://www.evi.gv.at/f/500149p | https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,,
18,GBG Gebäude- und Baumanagement Graz GmbH,MAIN,Günter Hirner,Geschäftsführer,+43664608728600,A_MOBILE_PUBLIC,yes,https://www.gbg.graz.at/cms/beitrag/10331496/9344104/GBG_Gebaeude_und_Baumanagement_Uebersicht.html,guenter.hirner@gbg.graz.at,A_PERSONAL_VERIFIED,yes,https://www.gbg.graz.at/cms/beitrag/10331496/9344104/GBG_Gebaeude_und_Baumanagement_Uebersicht.html,,,none,none,http://www.gbg.graz.at/,A_MOBILE_PUBLIC: +43664608728600; A_PERSONAL_VERIFIED: guenter.hirner@gbg.graz.at,HIGH,Official GBG page explicitly publishes Günter Hirner mobile and personal business email.,City of Graz | Stadt Graz; Holding Graz – Kommunale Dienstleistungen GmbH,https://www.gbg.graz.at/ | https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,1,https://www.gbg.graz.at/ | https://www.gbg.graz.at/cms/beitrag/10331496/9344104/GBG_Gebaeude_und_Baumanagement_Uebersicht.html,
19,Ing. Werner Wilhelm Bayer,MAIN,Werner Bayer,Inhaber,none,NONE,no,,none,NONE,no,https://www.svbayer.at/ueber-uns,,,+43335232660337,office@svbayer.at,http://www.svbayer.at/,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Ing Werner Wilhelm Bayer | Ing Werner Wilhelm Bayer,https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979 | https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,4,https://www.svbayer.at/ | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/kontakt | https://www.svbayer.at/impressum,https://www.svbayer.at/ueber-uns
20,PMV Immobilien Management GmbH,MAIN,Florian Hörmann,Geschäftsführer,none,NONE,no,,f.hoermann@pmv.at,A_PERSONAL_VERIFIED,yes,https://pmv.at/ueber-uns/,,,none,none,,A_PERSONAL_VERIFIED: f.hoermann@pmv.at,HIGH,Official PMV management page explicitly publishes Florian Hörmann as Geschäftsführer with f.hoermann@pmv.at; EVI confirms him as current PMV Geschäftsführer since 27.04.2026. The IMV-group address is not used as the PMV row source of truth.,PMV Holding / IMV-GIM group context | PMV Holding GmbH,https://www.evi.gv.at/f/332655z | https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,https://pmv.at/ueber-uns/ | https://www.evi.gv.at/f/332655z,
21,Supernova Invest GmbH,MAIN,Markus Pinggera; Petra Michelatsch,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Supernova / Sunrise group | Sunrise Holding GmbH,https://www.evi.gv.at/f/423086k | https://firmen.wko.at/supernova-invest-gmbh/steiermark/?firmaid=67cb3908-ab37-401e-bacf-b2226a9e2757&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,,
22,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,MAIN,Petra Fröstl; Maximilian Knoblechner,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,,NO_DIRECT_CONTACT_FOUND,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Zurich Insurance Group | Zürich Versicherungs-Aktiengesellschaft,https://www.zurich.at/ | https://firmen.wko.at/zurich-immobilien-liegenschaftsverwaltungs-gesmbh/wien/?firmaid=d8edbf56-e59f-44ef-9ac7-3ecc6e1d917a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,,
23,AI Immobilienverwertung GmbH.,MAIN,Eva Baumann; Michael Bujatti,Geschäftsführer,none,NONE,no,,none,NONE,no,,,,none,none,http://www.apk.at/aiig,NO_DIRECT_CONTACT_FOUND,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,APK group | APK Versicherung AG,https://www.evi.gv.at/f/47499b | https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,11,https://www.apk.at/aiig | https://www.apk.at/team | https://www.apk.at/ueber-uns | https://www.apk.at/%C3%BCber-uns | https://www.apk.at/management | https://www.apk.at/geschaeftsfuehrung | https://www.apk.at/gesch%C3%A4ftsf%C3%BChrung | https://www.apk.at/kontakt | https://www.apk.at/contact | https://www.apk.at/presse | https://www.apk.at/downloads,
24,Dr. Martin Schober Immobilienverwaltung GmbH,MAIN,Martin Schober,Geschäftsführer,+4326222322862,D_MANAGEMENT_LINE,yes,https://schober.at/dr-martin-schober/,m.schober@schober.at,A_PERSONAL_VERIFIED,yes,https://schober.at/dr-martin-schober/,,,none,none,,D_MANAGEMENT_LINE: +4326222322862; A_PERSONAL_VERIFIED: m.schober@schober.at,HIGH,Martin Schober official professional page explicitly publishes personal business email and his secretariat DW.,MASCH Verwaltungs GmbH (Dr Schober is GF but only minority shareholder of parent) | MASCH Verwaltungs GmbH,https://www.evi.gv.at/f/524478t | https://firmen.wko.at/dr-martin-schober-immobilienverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=42161173-caf0-44f5-96e1-8e79f03c87d6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,0,https://schober.at/dr-martin-schober/,
25,Immobilien Verwaltung Klagenfurt GmbH,MAIN,Gerhard Scheucher,Geschäftsführer,+434635373320,C_PERSON_BOUND_OFFICE,yes,https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e,gerhard.scheucher@klagenfurt.at,A_PERSONAL_VERIFIED,yes,https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e,,,+434635373320,none,https://www.klagenfurt-wohnen.at/,C_PERSON_BOUND_OFFICE: +434635373320; A_PERSONAL_VERIFIED: gerhard.scheucher@klagenfurt.at; fallback saved,HIGH,WKO public company listing publishes Gerhard Scheucher business email; company line retained as explicit person/company-bound office contact.,City of Klagenfurt | Landeshauptstadt Klagenfurt am Wörthersee,https://www.klagenfurt.at/stadtverwaltung/budget-finanzen/staedtische-beteiligungen | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%c3%a4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,6,https://www.klagenfurt-wohnen.at/ | https://www.klagenfurt-wohnen.at/kontakt | https://www.klagenfurt-wohnen.at/impressum | https://www.klagenfurt-wohnen.at/downloads | https://www.klagenfurt-wohnen.at/fileadmin/user_upload/Klagenfurt_Wohnen/02_Services/Downloads/WB_Aushang_Information_Netz.pdf | https://www.klagenfurt-wohnen.at/fileadmin/klagenfurt-wohnen/Formulare/WB_Formular_Kuendigung_Geschaeftslokalmietvertrag.pdf | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e,
26,"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",MAIN,Alexander Schlechta; Martin Fischer,Majority owner; Geschäftsführer,none,NONE,no,,none,NONE,no,,,,+431521380,office@hallas.at,http://www.hallas.at/,NO_DIRECT_CONTACT_FOUND; fallback saved,MEDIUM,Agent/manual review completed: official-domain machine crawl plus exact Primary-DM/company public-web research; no verified direct person contact found. Best machine company fallback is retained where available. Central numbers are not direct; generic emails remain fallback.,Alexander Schlechta | Alexander Schlechta; Martin Fischer; Karl Fischer,https://www.evi.gv.at/f/92132p | https://firmen.wko.at/ludwig-hallas-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=1488ee5c-9ebe-4391-a73f-50b34e432d8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,yes,yes,2,https://www.hallas.at/ | https://www.hallas.at/impressum/,
