no	company_name	stage3_scope	management	immediate_owners	ownership_pct	ultimate_control	ownership_type	primary_dm	primary_dm_role	primary_dm_reason	curated_source_url	confidence	review_note
82	KIBB Immobilien GmbH	MAIN	Thomas Auböck	Pro Familia Privatstiftung; Felicius Immobilien GmbH; KOPUS Immobilien GmbH; Auböck Invest GmbH	Current free EVI does not show percentages	Four-owner current shareholder structure	MIXED	Thomas Auböck	Geschäftsführer	Current GF; older 60/40 data intentionally rejected after 2026 shareholder changes	https://www.kibb.at/	HIGH	Uses current four-shareholder registry state; no stale percentages
83	REIWAG Facility Services GmbH	MAIN	Viktor Wagner; Thomas Dittrich	Viktor Wagner; VIWAG Privatstiftung	Not publicly shown in free EVI	Viktor Wagner / VIWAG Privatstiftung	FOUNDATION_CONTROL	Viktor Wagner	Geschäftsführer / Gesellschafter	Named individual shareholder and operating GF alongside family/control foundation	https://www.reiwag.com/	HIGH	Current public registry research
84	Weinberger Biletti Immobilien GmbH	MAIN	Marko Weinberger; Angelika Weinberger	Marko Weinberger	100% sole shareholder	Marko Weinberger	INDIVIDUAL_FAMILY_CONTROL	Marko Weinberger	Owner / Geschäftsführer	Sole shareholder and current GF	https://www.weinberger-biletti.at/	HIGH	Current public registry research
85	ARWAG Immobilientreuhand Gesellschaft m.b.H.	MAIN	Michael Schmidl; Michaela Reiter-Benesch	ARWAG Holding AG	100% sole shareholder	Wien Holding 63.03% plus Erste, Fonds für temporäres Wohnen and Wiener Städtische in ARWAG Holding	PUBLIC_STATE	Michael Schmidl; Michaela Reiter-Benesch	Geschäftsführer	City-controlled holding but operating company decisions sit with current GFs	https://www.arwag.at/Impressum	HIGH	Current holding ownership publicly disclosed
86	Frieda Rustler Gebäudeverwaltung GmbH & Co KG	MAIN	DI Martin Troger MBA; Mag Roman Urban	Frieda Rustler Gebäudeverwaltung GmbH (general partner); Dr Peter Rustler; Ing Michael Moshammer; Wegerer Beteiligung GmbH; MMTroger Beteiligung GmbH	KG interests not expressed here as equity percentages	Rustler partner/family group	PARTNER_OWNED	Martin Troger	Managing Partner	Official Rustler site explicitly identifies Martin Troger as Managing Partner of the target company	https://www.evi.gv.at/f/30159b | https://www.evi.gv.at/f/349375m | https://rustler.eu/kontakt/management/	HIGH	Current 2026 ownership changes included
87	IMV Immobilien Management GmbH	MAIN	Wolfgang Macho; Markus Woratschek; Florian Hörmann	Wolfgang Macho; GIM-Beteiligungsholding GmbH	Direct percentages not fully shown in free registry	Wolfgang Macho has material/control position in GIM/IMV group	INDIVIDUAL_FAMILY_CONTROL	Wolfgang Macho	Owner / Geschäftsführer	Named shareholder, current GF and publicly documented group-control figure	https://imv.co.at/uber-uns/	HIGH	Official group source used for control context
88	PFG Liegenschaftsbewirtschaftungs GmbH & Co KG	MAIN	Mag Klaus Wiltschnigg; Dkfm Markus Gratz (GFs of general partner)	PFG Liegenschaftsbewirtschaftungs GmbH (general partner); Wüstenrot Versicherungs AG; PFG Holding GmbH	KG partner interests not equivalent to GmbH equity; general partner itself: MAP-WSV 54.11%, DV Immoholding 20.53%, ERGO 9.29%, Wüstenrot 8.93%, McArthurGlen 7.14%	MAP-WSV-led institutional ownership consortium	CORPORATE_GROUP	Klaus Wiltschnigg; Markus Gratz	Geschäftsführer of managing general partner	No individual controller; current managing-GmbH GFs are actionable decision makers	https://www.evi.gv.at/f/248931a | https://www.firmenabc.at/pfg-liegenschaftsbewirtschaftungs-gmbh_KWwV	HIGH	Detailed general-partner equity resolved
89	STRABAG Property and Facility Services GmbH	MAIN	Stefan Babsch; Matthias Plattner	STRABAG AG	100% sole shareholder	STRABAG SE group	CORPORATE_GROUP	Stefan Babsch; Matthias Plattner	Geschäftsführer	Large corporate group; Austrian operating-company management is first outreach	https://www.strabag-pfs.com/	HIGH	Current public registry/corporate research
90	ZIMA Objektmanagement GmbH	MAIN	Alexander Nußbaumer; Nicole Hanser	ZIMA Wohn- und Projektmanagement GmbH; Nicole Hanser	Not publicly shown in free EVI	ZIMA group / Nicole Hanser	MIXED	Alexander Nußbaumer; Nicole Hanser	Geschäftsführer; Gesellschafterin/Geschäftsführerin	Local executives, with Hanser also direct shareholder	https://www.zima.at/	HIGH	Current public registry research
91	APCOA Austria GmbH	SECONDARY	Caroline Aichholzer-Lang; Katrin Teichert	APCOA Deutschland GmbH	100% sole shareholder	APCOA Group	CORPORATE_GROUP	Caroline Aichholzer-Lang; Katrin Teichert	Geschäftsführerinnen	International group ownership; Austria management is actionable	https://www.evi.gv.at/f/249499k	HIGH	Current public Firmenbuch
92	Erste Group Immorent GmbH	SECONDARY	Andreja Triller Tonin; Wolfgang Hausner	Erste Group Bank AG	100% sole shareholder	Erste Group Bank AG	CORPORATE_GROUP	Andreja Triller Tonin; Wolfgang Hausner	Geschäftsführer	Bank-owned company; current local GFs are operational decision layer	https://www.erstegroupimmorent.com/	HIGH	Current public registry/corporate research
93	Salinen Immobilien Gesellschaft m.b.H.	SECONDARY	Peter Untersperger; Kurt Thomanek; Andreas Hentschel	Österreichische Salinen AG	100% sole shareholder	Salinen group; parent shareholder structure led by AIC Androsch International Management Consulting 41.25% and Invest Holding 41.25%, plus Mitarbeiter-Privatstiftung 10% and minorities	CORPORATE_GROUP	Peter Untersperger; Kurt Thomanek	Geschäftsführer	Fragmented parent ownership; operating-company GFs are practical outreach targets	https://www.salinen.com/de/impressum/	HIGH	Parent structure publicly disclosed
94	Bank Austria Real Invest Asset Management GmbH	SECONDARY	Reinhold Jaretz; Harald Heinzl	Bank Austria Real Invest Immobilien-Management GmbH	100% sole shareholder	UniCredit Bank Austria / UniCredit group	CORPORATE_GROUP	Reinhold Jaretz; Harald Heinzl	Geschäftsführer	Bank-group ownership; local asset-management GFs are actionable	https://www.realinvest.at/ueber-uns-unternehmensinfos.jsp	HIGH	Current public company information
95	Reinberg & Partner Immobilienberatung GmbH	SECONDARY	Michael Reinberg; Wolfgang Fessl; Isabella Reinberg	Michael Reinberg; Wolfgang Fessl; Isabella Reinberg; Isabel Liebl; SB108 Invest GmbH	Michael Reinberg 0.20%; Wolfgang Fessl 39%; Isabella Reinberg 33.60%; Isabel Liebl 2%; SB108 Invest 25.20%	Wolfgang Fessl and Isabella Reinberg are largest individual owners	PARTNER_OWNED	Wolfgang Fessl; Isabella Reinberg	Major shareholders / Geschäftsführer	Largest operating individual owners; neither alone controls >50%	https://www.reinberg-partner.at/	HIGH	Exact current percentages established in public FirmenABC/registry research
96	UBM Development AG	SECONDARY	Thomas G. Winkler (CEO); Patric Thate; Martina Maly-Gärtner; Peter Schaller	Public-company shareholder base	Syndicate IGO Industries + Strauss 38.8%; IGO Industries 7%; Jochen Dickinger 5%; free float 49.2%	Public shareholder structure	PUBLIC_COMPANY	Thomas G. Winkler	CEO / Vorstand	No controlling individual; CEO is appropriate strategic outreach target	https://www.ubm-development.com/de/impressum/	HIGH	Current Vorstand and shareholder structure publicly disclosed
97	WEGRAZ Gesellschaft für Stadterneuerung und Assanierung m.b.H.	SECONDARY	Dieter Johs	Austria Handel & Treuhand GmbH; Töpfl Privatstiftung	Austria Handel & Treuhand 99%; Töpfl Privatstiftung 1%	Töpfl Privatstiftung (Austria Handel & Treuhand is itself 100% foundation-owned)	FOUNDATION_CONTROL	Dieter Johs	Geschäftsführer	Ultimate foundation ownership; local operating GF is first outreach layer	http://www.wegraz.at/	HIGH	Two-level ownership chain resolved
98	Wohnraumwerk Bauträger- und Projektentwicklungs GmbH	SECONDARY	Maximilian Hinkel; Hannes Haas	MH3 Beteiligungs GmbH; WRW Holding GmbH	MH3 35.89%; WRW Holding 64.11%	WRW/Haas-Hinkel group; WRW Holding owned by EOLIX and MH3, while MH3 is EOLIX 63.44% / Hannes Haas 36.56%	MIXED	Hannes Haas; Maximilian Hinkel	Geschäftsführer / indirect owner-management	Both run target and holding layers; Hannes has verified indirect personal participation	https://www.firmenabc.at/wohnraumwerk-bautraeger-und-projektentwicklungs-gmbh_MjZJ | https://www.evi.gv.at/f/581325s | https://firmenmonitor.com/firma/mh3-beteiligungs-gmbh-532593a	HIGH	Ownership chain resolved sufficiently for outreach
99	Oberbank Infrastruktur Management GmbH	SECONDARY	Michael Peichl; Johanna Breuer-Wagner	Oberbank AG	100% sole shareholder	Oberbank AG	CORPORATE_GROUP	Michael Peichl; Johanna Breuer-Wagner	Geschäftsführer	Bank-owned company; local GFs are operational decision layer	https://www.oberbank.at/	HIGH	Current public registry research
