no,company,person,owners,central_phone,central_email,websites,wko_url
18,DACHSER-Austria Gesellschaft m.b.H.,Alfred Koblmüller,DACHSER SE,+43 5 9000 0,info.austria@dachser.com,,https://firmen.wko.at/dachser-austria-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=46d7c424-40ed-4e24-83ed-46c1e4b27e41&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
19,DHL Global Forwarding (Austria) GmbH,Thomas Ziegler,DHL Global Forwarding International Holdings B.V.,+43 1 7007-0,info.at@dhl.com,http://www.dhl-freight.at/ | http://www.dhl.at/ | http://www.logistics.dhl/at-de | https://www.dhl.com/at-de/home/fracht.html,https://firmen.wko.at/dhl-global-forwarding-austria-gmbh-internationale-spedition/k%c3%a4rnten/?firmaid=4c8d5cfa-9fea-4e8d-b931-ea66e15d4700&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
20,Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,Katharina König,Ownership not resolved in free public sources,+43 2612 42550,office@koenig-transporte.at,,https://firmen.wko.at/dipl-kfm-g%c3%bcnther-k%c3%b6nig-transportgesellschaft-mbh/burgenland/?firmaid=8b32f60f-660a-4890-b684-0276f72780a8&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
21,FedEx Express Austria GmbH,Stefan Dries,FedEx Express International B.V.,+43 800 123 800,at@fedex.com,,https://firmen.wko.at/fedex-express-austria-gmbh/ober%c3%b6sterreich/?firmaid=e797d4b9-1134-4e4c-8fe0-e34117b0cbd2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
22,Fercam Austria GmbH,Hannes Baumgartner,FERCAM SB SRL,+43 1 616 73 70,info.at@fercam.com,,https://firmen.wko.at/fercam-austria-gmbh/k%c3%a4rnten/?firmaid=1c58f4cc-15e0-46f1-83ea-e017b371bdea&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
24,Friedrich Göbhart Gesellschaft m.b.H.,Lukas Herzog,ZEPTA Vermögensverwaltungs GmbH,+43 2236 62400,office@goebhart.at,,https://firmen.wko.at/friedrich-g%c3%b6bhart-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=f173e086-15c4-4648-9262-2113ca3423e6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
26,GLS Austria GmbH,Christian Schöninger,General Logistics Systems Germany GmbH & Co. OHG,+43 5 9876 1000,office@gls-austria.com,,https://firmen.wko.at/gls-austria-gmbh/ober%c3%b6sterreich/?firmaid=3e2a8d84-f76f-4b2b-92b1-e8db66472129&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
27,Global Express Austria GmbH,Stefanie Sachiko Hadolt-Reimers,Rolf Hadolt; Stefanie Sachiko Hadolt-Reimers; Felix Hadolt,+43 316 252 0,office@global-express.at,,https://firmen.wko.at/global-express-austria-gmbh/steiermark/?firmaid=2e54e0f0-d4a2-4523-bbf8-78d9bfdadfb9&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
28,Hödlmayr Logistics GmbH,Markus Formann,Hödlmayr International GmbH,+43 7243 500 0,info@hoedlmayr.com,,https://firmen.wko.at/h%c3%b6dlmayr-logistics-gmbh/ober%c3%b6sterreich/?firmaid=282d54ec-d4f0-45a0-82a6-6cb46f2a0a4d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
29,Ontime Logistics Speditions GmbH,Sonja Schneckenreither,SAW-Beteiligungs GmbH,+43 7229 93080,office@ontime-logistics.com,,https://firmen.wko.at/ontime-logistics-speditions-gmbh/ober%c3%b6sterreich/?firmaid=fb12037c-f64f-4b75-96c9-080394a59666&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
30,Rudolph Logistik Österreich GmbH,Georg Weiß,ANCLA Logistik GmbH,+43 7229 841 40,office.austria@rudolph-log.com,,https://firmen.wko.at/rudolph-logistik-%c3%b6sterreich-gmbh/ober%c3%b6sterreich/?firmaid=7f0b8fc5-0540-4947-b702-47a1e4c5a3d0&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
31,Nagel Austria GmbH,Johannes Winterleitner,Nagel-Group Logistics SE,+43 2236 6030,info.at@nagel-group.com,,https://firmen.wko.at/nagel-austria-gmbh/nieder%c3%b6sterreich/?firmaid=7e192fcf-6f00-4a1c-b904-5ba979e1439a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
32,NEUFRA Speditions Gesellschaft m.b.H.,Wolfgang Hast,NEUFRA Speditionsgesellschaft mbH (Germany),+43 2236 677 40,office@neufra.at,,https://firmen.wko.at/neufra-speditions-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=c0f4a07c-988d-452c-b3ac-2445f6596ef5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
33,Petschl Werkstätten Betriebs GmbH,Wolfgang Aigner,Nikolaus Glisic; PETSCHL Österreich GmbH,+43 7225 884 0,office@petschl.at,,https://firmen.wko.at/petschl-werkst%c3%a4tten-betriebs-gmbh/ober%c3%b6sterreich/?firmaid=fc81c607-cf3c-43bf-bf79-a53fc439a8a6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
35,Schachinger Logistik Holding GmbH,Günther Gfrerrer,Schachinger group / Maximilian Schachinger ultimate control,+43 7242 486 0,office@schachinger.com,,https://firmen.wko.at/schachinger-logistik-holding-gmbh/ober%c3%b6sterreich/?firmaid=395b74cf-1966-467f-b7b7-dda1f1f55346&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
37,Trans-o-flex ThermoMed Austria GmbH,Eugen Günther,trans-o-flex ThermoMed GmbH,+43 1 866 77 0,office@tof.at,,https://firmen.wko.at/trans-o-flex-thermomed-austria-gmbh/wien/?firmaid=e70204bc-0513-4747-9aad-081640d4cf22&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
40,Transporte Schneckenreiter GmbH,Dieter Schneckenreiter,UCS Beteiligungen GmbH,+43 7242 296 0,office@schneckenreiter.com,,https://firmen.wko.at/transporte-schneckenreiter-gmbh/ober%c3%b6sterreich/?firmaid=597082ab-1fd2-4a03-8ef7-a536bd9b1f49&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
42,Weiss Walter,Johann Luxbauer,Luxbauer Holding GmbH,+43 316 281 200,office@weiss-walter.at,,https://firmen.wko.at/weiss-walter/steiermark/?firmaid=439ad3bd-f4c4-4148-b321-2f2a02fe8879&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
44,DSV Road Austria AG,Nico Puhl,DSV Road Holding A/S,+43 1 605 28 0,info@at.dsv.com,,https://firmen.wko.at/dsv-road-austria-ag/burgenland/?firmaid=71de767f-ed1d-4e02-9364-19bc7b7ab2ac&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
45,Treu Speditionsgesellschaft m.b.H.,Alexander Müller,Alexander Müller,+43 1 616 44 44,office@treu-spedition.at,,https://firmen.wko.at/treu-speditionsgesellschaft-mbh/wien/?firmaid=1b53ba61-ef71-4ec5-8426-466ed97ac285&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
46,BGO Logistik & Spedition GmbH,Peter Morawetz,BGO Holding GmbH,+43 7229 600 0,office@bgo.at,,https://firmen.wko.at/bgo-logistik-spedition-gmbh/ober%c3%b6sterreich/?firmaid=9e31a888-e60a-49ff-a76f-c7d45dbeee87&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
47,Kapeller Internationale Spedition GmbH,Thomas Hafner,Schneider & Cie. AG; Thomas Hafner; Thomas Zangl,+43 512 346 800,office@kapeller.com,,https://firmen.wko.at/kapeller-internationale-spedition-gmbh/tirol/?firmaid=b07e5b48-490e-48db-a9d7-cfef05af9da7&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
48,DIZZBO GmbH,Peter Baumgartlinger,Current shareholders not established from free Austrian sources,+43 720 515 121,office@dizzbo.com,,https://firmen.wko.at/dizzbo-gmbh/ober%c3%b6sterreich/?firmaid=6c2e1052-cef7-4c6d-a103-4d7e5a079098&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
49,I.L.G. Innovative Logistics Group GmbH,Wolfgang Klepatsch,Wolfgang Klepatsch; Fr. Meyer’s Sohn KG; Rupert Schenz; PNP Immobilien GmbH,+43 662 420 420,office@ilg-logistics.com,,https://firmen.wko.at/ilg-innovative-logistics-group-gmbh/salzburg/?firmaid=cdb4ae6a-40a8-45bb-8b7d-b0f7520f3a32&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
51,Kerschner Transporte GmbH,Andreas Kerschner,Noerpel SE,+43 2754 6300,office@kerschner.at,,https://firmen.wko.at/kerschner-transporte-gmbh/nieder%c3%b6sterreich/?firmaid=402b87cf-0a25-4b20-b4cf-462af1344d6a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
53,INNIGHT EXPRESS AUSTRIA GmbH,Barbara Dragosits,Innight Express Management GmbH,+43 2236 677 30,office@innight.at,,https://firmen.wko.at/innight-express-austria-gmbh/nieder%c3%b6sterreich/?firmaid=4094e2f6-c3da-4e12-b51d-d16c4beaa260&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
54,Paul Rudolf Gesellschaft m.b.H.,Paul Rudolf Bierbaumer,Rudolf Privatstiftung; Paul Rudolf; Katharina Haller,+43 316 671 200,office@rudolf.at,,https://firmen.wko.at/paul-rudolf-gesellschaft-mbh/steiermark/?firmaid=21d7bbfd-1c8a-4bc0-95d4-99d3d7593d42&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,Adolf Winkelmeier,M.Preymesser Beteiligungs GmbH; AMAG service GmbH,+43 7722 811 0,office@ssr.at,,https://firmen.wko.at/speditionsservice-ranshofen-gesellschaftmbh/ober%c3%b6sterreich/?firmaid=2a861155-cc49-4f2f-98d6-ceeaedeba073&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
58,TRA Logistik GmbH,Rupert Trawöger,TRA Holding GmbH,+43 7229 221 00,office@tra-logistik.at,,https://firmen.wko.at/tra-logistik-gmbh/ober%c3%b6sterreich/?firmaid=a7625625-ed76-4ea3-a865-f16cfe1ab83a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
61,Neuninger Logistik Service GmbH,Jürgen Neuninger,Jürgen Neuninger; Brigitte Neuninger,+43 7242 211 600,office@neuninger.at,,https://firmen.wko.at/neuninger-logistik-service-gmbh/ober%c3%b6sterreich/?firmaid=58d0db6a-31cb-4b55-ad72-49614fd45364&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
62,Condor - Speditions -,Transportgesellschaft m.b.H. + Co.,Mag. Andreas Gfrerer,Transportgesellschaft m.b.H. + Co.,+43 662 420 300,Andreas Gfrerer; Ursula Gfrerer; Marion Handlos,
63,Franz Exenberger GmbH,Alexander Poindl,Alexander Poindl,+43 5332 735 00,office@exenberger.at,,https://firmen.wko.at/franz-exenberger-gmbh/tirol/?firmaid=ef2b0ec9-ea35-45d0-8147-7f3ab47fac85&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
65,C.H. Robinson Austria GmbH,Roeland Steigerwald,C.H. Robinson group,+43 1 253 1000,vienna@chrobinson.com,,https://firmen.wko.at/ch-robinson-austria-gmbh/wien/?firmaid=f051f4a4-e7db-4ca3-9e62-86ff434d6408&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
66,CEVA Air & Ocean Austria GmbH,Peter Püringer,CEVA Air & Ocean Austria GmbH,+43 1 7007 0,info.at@cevalogistics.com,,https://firmen.wko.at/ceva-air-ocean-austria-gmbh/wien/?firmaid=6e1c0427-f714-4ec8-ab0b-4ed70790199f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
67,Ceva Logistics Austria GmbH,Norbert Baumann,Normeston Group Cyprus Limited,+43 2236 677 70,info.at@cevalogistics.com,,https://firmen.wko.at/ceva-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=16a3b56f-8057-459b-a187-ec1309802e21&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
68,DHL Freight - DHL Logistics (Austria) GmbH,Michael Rolle,Deutsche Post Beteiligungen Holding GmbH,+43 1 7007 0,info.at@dhl.com,,https://firmen.wko.at/dhl-logistics-austria-gmbh/wien/?firmaid=7d37b15f-1314-4328-8be7-e4e82296602a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
69,Hadolt Transport und Logistik GmbH,Katharina Hadolt,Katharina Hadolt,+43 316 243 000,office@hadolt.at,,https://firmen.wko.at/hadolt-transport-und-logistik-gmbh/steiermark/?firmaid=297bd4bb-7d49-4fdc-aa3b-ff85467e2ec7&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
71,Hellmann Worldwide Logistics GmbH,Piotr Zaleski,Hellmann Worldwide Logistics Limited,+43 1 707 60 0,info@hellmann.com,,https://firmen.wko.at/hellmann-worldwide-logistics-gmbh/wien/?firmaid=55404adf-0124-460d-a9cd-4c9aebd2f005&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
72,Hermes Logistik GmbH & Co KG,Philip Weiskopf,Hermes Zweite Beteiligungs-Verwaltungsgesellschaft mbH,+43 2236 677 90,info@hermes-logistik.at,,https://firmen.wko.at/hermes-logistik-gmbh-co-kg/nieder%c3%b6sterreich/?firmaid=241bc94e-a953-45ae-a1e5-70b59a2957bb&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
73,Hofmann & Neffe GmbH,Peter Hofmann,Hofmann Immobilien und Logistik GmbH,+43 732 341 341,office@hofmann-neffe.at,,https://firmen.wko.at/hofmann-neffe-gmbh/ober%c3%b6sterreich/?firmaid=9c6d397a-3c0a-4887-ad70-d931ebd12fef&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,Axel Remplewski,Hoyer GmbH Internationale Fachspedition,+43 1 769 03 00,vienna@hoyer-group.com,,https://firmen.wko.at/hoyer-austria-internationale-fachspedition-gesellschaft-mbh/wien/?firmaid=5a3d44e6-57cd-4994-a02b-9b3ed6472865&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
75,LAGRAN Lager- und Transport Ges.m.b.H.,Manfred Auer,LAGRAN Verwaltungs GmbH; Siegfried Schöffauer; Karin Schöffauer; Franz Feldgrill; others,+43 2236 677 10,office@lagran.at,,https://firmen.wko.at/lagran-lager-und-transport-gesmbh/nieder%c3%b6sterreich/?firmaid=438f3f5d-304d-4c5c-8f8f-b71a2eeffaf1&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
76,Müller Transporte Gesellschaft m.b.H.,Volker Auer,Lagermax Logistics Austria GmbH,+43 2236 677 20,office@muellertransporte.at,,https://firmen.wko.at/m%c3%bcller-transporte-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=e004b2d4-a8b1-4e1d-8ea0-cfcba29c80f7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
78,L.T.W.-Transportgesellschaft mbH & Co KG,Elisabeth Leitner,Elisabeth Leitner; Wenzel Holding GmbH,+43 7242 350 0,office@ltw.at,,https://firmen.wko.at/ltw-transportgesellschaft-mbh-co-kg/ober%c3%b6sterreich/?firmaid=3be5dac4-e28d-4796-b36f-28ed05655499&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
80,MALCAMPO Transporte GmbH,Martin Cancola,Cancola Management Consulting GmbH; Martin Cancola direct,+43 7229 614 00,office@malcampo.at,,https://firmen.wko.at/malcampo-transporte-gmbh/ober%c3%b6sterreich/?firmaid=3054cc91-4db0-4b88-817b-00b2ef928cbb&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,Markus Rolf Platzer,Markus Rolf Platzer; Markus Platzer,+43 316 290 400,office@platzer-transporte.at,,https://firmen.wko.at/platzer-co-internationale-transporte-gesellschaft-mbh/steiermark/?firmaid=81b1a23e-02f3-45dd-a971-92974ca0bf09&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
85,Schneckenreither Internationale Spedition GmbH,Gerhard Gschwendtner,SAW-Holding GmbH; Gerhard Roithner,+43 7229 615 00,office@schneckenreither.com,,https://firmen.wko.at/schneckenreither-internationale-spedition-gmbh/ober%c3%b6sterreich/?firmaid=6c51d5f5-2de8-43c3-834b-7be334d1f30f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
86,Spedition Böntner GmbH,Karl Böntner,BÖNTNER Holding GmbH,+43 7242 350 500,office@boentner.at,,https://firmen.wko.at/spedition-b%c3%b6ntner-gmbh/ober%c3%b6sterreich/?firmaid=6f8f4c14-453b-49ea-aa57-9179f97bc80d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
87,Spedition Engel Mayr GmbH,Valentin Peklar,VITAIRA AcquiCo 01 Austria GmbH,+43 7229 615 10,office@engelmayr.at,,https://firmen.wko.at/spedition-engel-mayr-gmbh/ober%c3%b6sterreich/?firmaid=f08647cb-4461-4970-9004-948181c53cfa&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
89,Spedition Lang GesmbH,Karin Lang,Karin Lang,+43 2236 677 85,office@spedition-lang.at,,https://firmen.wko.at/spedition-lang-gesmbh/nieder%c3%b6sterreich/?firmaid=72a5f9d1-34ad-4b6c-b559-cb3a209ff673&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
90,Spedition MURNIG Kommanditgesellschaft,Brigitte Elke Murnig,Brigitte Elke Murnig (Komplementärin); Dr. Florian Walther (Kommanditist),+43 463 540 00,office@murnig.at,,https://firmen.wko.at/spedition-murnig-kommanditgesellschaft/k%c3%a4rnten/?firmaid=7a577184-64c8-4bbb-9700-c4d4d44ff932&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
92,SUXESS LOGISTIC GmbH,Zsuzsanna Schenk,Zsuzsanna Schenk; HMG Holding GmbH,+43 2236 677 95,office@suxess-logistic.at,,https://firmen.wko.at/suxess-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=1729194c-80e5-4712-bb78-d010d73915a9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
93,UPS SCS (Austria) Logistic GmbH,Susanne Klingler-Werner,UPS Logistics Group International B.V.,+43 1 599 14 0,info@ups.com,,https://firmen.wko.at/ups-scs-austria-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=2b88929d-0807-42d1-af6b-8a99010cfca3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
94,VOGTRANS Speditions- und Verpackungsgesellschaft m.b.H.,Andreas Pirschl,VOG Einfuhr und Großhandel AG,+43 732 770 200,office@vogtrans.at,,https://firmen.wko.at/vogtrans-speditions-und-verpackungsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=b67934ad-b01d-4f6c-95e6-3ee5356c4ac9&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
97,Rhenus Logistics Austria GmbH,Patrick Schäffer,Rhenus Beteiligungs GmbH,+43 2236 677 00,info.at@rhenus.com,,https://firmen.wko.at/rhenus-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=8346cd46-4cff-41db-bb2e-af8303e76e69&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,Thomas Baumgartner,Baumgartner Privatstiftung; Urs Meister; Alexander Friesz; Michou Friesz; Anja Rabitsch; Ingrid Friesz-Meraner; others,+43 662 4090 0,office@lagermax.com,,https://firmen.wko.at/lagermax-lagerhaus-und-speditions-aktiengesellschaft/salzburg/?firmaid=b3849ccd-8cf0-4ee1-8ce5-152ae5cacbaf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
99,Augustin Quehenberger Group GmbH,Robert Hartmann,AUGUSTIN QUEHENBERGER GROUP GMBH,+43 662 468 60,office@quehenberger.com,,https://firmen.wko.at/augustin-quehenberger-group-gmbh/salzburg/?firmaid=4bd31527-8a5e-4fed-9789-645fdf73c116&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
101,Quehenberger Air + Ocean GmbH,Rodolphe Schoettel,AUGUSTIN QUEHENBERGER GROUP GMBH,+43 662 468 60,office@quehenberger.com,,https://firmen.wko.at/quehenberger-air-ocean-gmbh/salzburg/?firmaid=33b45da4-137b-475d-9a99-59f5ac815b7a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
102,Quehenberger Logistics GmbH,Christian Fürstaller,AUGUSTIN QUEHENBERGER GROUP GMBH,+43 662 468 60,office@quehenberger.com,,https://firmen.wko.at/quehenberger-logistics-gmbh/salzburg/?firmaid=5a305101-c492-4b36-bd6a-66ccccfe7b7b&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
103,Deufol Austria GmbH,Johannes Rieder,Deufol Austria Management GmbH,+43 2236 677 01,info.at@deufol.com,,https://firmen.wko.at/deufol-austria-gmbh/nieder%c3%b6sterreich/?firmaid=ea903386-e913-4fbc-8106-1e6644f352ab&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
104,Hillebrand Gori Austria GmbH,Mehmet Kalkan,Hillebrand Gori Group GmbH,+43 1 707 70 0,info@hillebrandgori.com,,https://firmen.wko.at/hillebrand-gori-austria-gmbh/wien/?firmaid=7694249b-927d-4928-b60c-56d2db58105c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
105,Hödlmayr High & Heavy GmbH,Helmut Zwirner,Hödlmayr International GmbH,+43 7243 500 0,info@hoedlmayr.com,,https://firmen.wko.at/h%c3%b6dlmayr-high-heavy-gmbh/ober%c3%b6sterreich/?firmaid=56fa2dc4-1478-4351-93aa-a2d99461510f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
