rule_id,action,match_regex,canonical_group_name,employee_low,employee_high,verdict,source_url,reason,required
DOWN_HUBER_STODOLAK,DOWNGRADE_UNRESOLVED,"(?i)^Huber & Stodolak-Tengg Wirtschaftsprüfungs- und Steuerberatungsgesellschaft m\.b\.H\.$",,,,,,Search-derived 3000 headcount was an unrelated false match,1
DOWN_HAYDN,DOWNGRADE_UNRESOLVED,"(?i)^Haydn Steuerberatung GmbH & Co KG$",,,,,https://www.haydn.st/die-kanzlei/ueber-uns,The 500 figure belongs to the Treuhand-Union network of 26 firms and not Haydn itself,1
DOWN_TU_OOE,DOWNGRADE_UNRESOLVED,"(?i)^TREUHAND-UNION OÖ Wirtschaftstreuhand- Steuerberatung GmbH$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_TU_KLAGENFURT,DOWNGRADE_UNRESOLVED,"(?i)^TREUHAND UNION KLAGENFURT Wirtschaftstreuhand und Steuerberatungs GmbH & Co KG$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_TU_TIROL,DOWNGRADE_UNRESOLVED,"(?i)^Treuhand-Union Tirol Steuerberatung GmbH$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_LEHNER_TU,DOWNGRADE_UNRESOLVED,"(?i)^Lehner & Partner Wirtschaftsprüfungs- und Steuerberatungsgesellschaft mbH$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_RG_TU,DOWNGRADE_UNRESOLVED,"(?i)^RG Steuerberatungs GmbH$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_ADLERSPITZ_TU,DOWNGRADE_UNRESOLVED,"(?i)^Adlerspitz Steuerberatung GmbH$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_CD_TU,DOWNGRADE_UNRESOLVED,"(?i)^CD Steuerberatung GmbH$",,,,,https://www.treuhand-union.com/de/karriere,The 400 figure is network-wide and not entity-specific,1
DOWN_SOLIDARIS,DOWNGRADE_UNRESOLVED,"(?i)^SOLIDARIS Wirtschaftsprüfungsgesellschaft m\.b\.H\.$",,,,,,The 300 figure was not safely attributable to the Austrian entity,1
DOWN_GSP,DOWNGRADE_UNRESOLVED,"(?i)^gsp Steuerberatung GmbH$",,,,,https://www.countit.at/,The 200 figure came from COUNT IT and is not gsp headcount,1
DOWN_BBW,DOWNGRADE_UNRESOLVED,"(?i)^BBW Wirtschaftsprüfungs- und Steuerberatungsgesellschaft mbH$",,,,,https://www.steuer-service.at/impressum/,The old 50 signal came from another firm's site and is not BBW employee evidence,1
DOWN_ESW,DOWNGRADE_UNRESOLVED,"(?i)^ESW Steuerberatung GmbH & Co KG$",,,,,https://www.esw-steuerberatung.at/leistungen/,The 80 figure on ESW's site explicitly refers to neXt audit and not ESW,1
DOWN_HEISSENBERGER,DOWNGRADE_UNRESOLVED,"(?i)^Heissenberger Steuerberatungs GmbH$",,,,,https://www.heissenberger.co.at/at/kanzlei/pfeilgrau_netzwerk/index.html,The 60 figure explicitly refers to the three-firm Pfeilgrau network and not Heissenberger alone,1
DOWN_GIWO,DOWNGRADE_UNRESOLVED,"(?i)^GIWO Steuerberatung GmbH$",,,,,https://www.steuerservice.at/kanzlei/,The old 30 signal was content from a different Steuer & Service group page; ownership linkage must be handled separately,1
DOWN_MEDMANAGEMENT,DOWNGRADE_UNRESOLVED,"(?i)^MEDmanagement Wirtschaftstreuhandgesellschaft mbH\.$",,,,,https://www.steuerservice.at/kanzlei/,The old 30 signal was content from a different Steuer & Service group page,1
DOWN_S4B,DOWNGRADE_UNRESOLVED,"(?i)^S4B Steuerberatung GmbH$",,,,,,The old 90 signal mixed murtax and ECA group content and is not safe entity headcount,1
KAPA_BELOW20,SET_BELOW_20,"(?i)^KAPA Wirtschaftsprüfungs- und SteuerberatungsGmbH$",KAPA Wirtschaftsprüfungs- und SteuerberatungsGmbH,13,13,BELOW_20,https://www.steuerberater-villach.com/,Current official team is around 13 named people; prior 141 was crawler duplication,1
