company_name,priority,recall_score,standort_count,states_seen,website,email,phone,profile_url,recall_reason
PFG Liegenschaftsbewirtschaftungs GmbH & Co KG,P2,8,2,Salzburg | Wien,,,,https://firmen.wko.at/pfg-liegenschaftsbewirtschaftungs-gmbh-und-co-kg/salzburg/?firmaid=da2e2048-753c-418b-9f1b-12cba705c073&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
Realkanzlei Ferdinand König Gesellschaft m.b.H.,P2,8,2,Niederösterreich | Wien,http://www.koenigimmobilien.at/,office@koenigimmobilien.at,+43 1 470 03 33,https://firmen.wko.at/realkanzlei-ferdinand-k%c3%b6nig-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=60e304eb-54aa-4dde-adb0-799cf4328994&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Steinkogler Immobilientreuhand GmbH,P2,8,2,Oberösterreich | Tirol,http://www.steinkogler-verwaltungen.at/,office@steinkogler-verwaltungen.at,+43 7672 22 67 0,https://firmen.wko.at/steinkogler-immobilientreuhand-gmbh/ober%c3%b6sterreich/?firmaid=e76b5714-0241-4f55-969a-8772cebe1fc1&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Terra Immobilien Gesellschaft m.b.H.,P2,8,2,Tirol | Wien,http://www.terrainternational.at/,office@terrainternational.at,+43 1 535 68 88,https://firmen.wko.at/terra-immobilien-gesellschaft-mbh/tirol/?firmaid=a0c7f513-619e-48d9-a65e-bb18a90b229d&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
UBM Development AG,P2,8,2,Tirol | Wien,http://www.ubm.at/,office@ubm-development.com,+43 1 626 62 45,https://firmen.wko.at/ubm-development-ag/tirol/?firmaid=e8b4b262-14bc-4605-b812-c05c73d91fd3&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Unibail-Rodamco Austria Verwaltungs GmbH,P2,8,2,Niederösterreich | Wien,,,,https://firmen.wko.at/unibail-rodamco-austria-verwaltungs-gmbh/nieder%c3%b6sterreich/?firmaid=460b87a0-83ea-4d1e-87e8-25b70745255a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; scale/management keyword
Viviamo Immobilien GmbH,P2,8,2,Oberösterreich | Wien,http://www.viviamo.at/,office@viviamo.at,+43 732 99 00 62,https://firmen.wko.at/viviamo-immobilien-gmbh/ober%c3%b6sterreich/?firmaid=9053fc92-6999-4334-8ca0-ac9a23517d82&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
Zirm Immobilien GmbH,P2,8,2,Steiermark | Tirol,https://www.zirm-immo.net/,office@zirm-immo.net,+43 316 82 07 30,https://firmen.wko.at/zirm-immobilien-gmbh/steiermark/?firmaid=e7350bb8-c681-460f-96da-f33d0784ccf6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,2 WKO Standorte; multi-Bundesland; official website
APCOA Austria GmbH,P3,7,1,Wien,http://www.apcoa.at/,,+43 1 717 16-0,https://firmen.wko.at/apcoa-austria-gmbh/wien/?firmaid=c9f86de5-7380-41c6-b43b-08d902f1f8f6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
Apleona Real Estate AT GmbH,P3,7,1,Wien,https://www.realestate.apleona.at/,office.realestate.at@apleona.com,+43 5 072 00,https://firmen.wko.at/apleona-real-estate-at-gmbh/wien/?firmaid=0c7fae37-ce34-4376-be1a-e8458a034c13&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; scale/management keyword; group/enterprise signal
CBRE GmbH,P3,7,1,Wien,http://www.cbre.at/,patrizia.roegelsperger@cbre.com,+43 1 533 40 80,https://firmen.wko.at/cbre-gmbh/wien/?firmaid=f9385336-8856-4a6b-b913-0574cec1db0a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
EHL Immobilien Management GmbH,P3,7,1,Wien,http://www.ehl.at/,office@ehl.at,+43 1 512 76 90,https://firmen.wko.at/ehl-immobilien-management-gmbh/wien/?firmaid=5c30f1e3-acde-4a34-9135-5f8d7b35c04f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; scale/management keyword
GRAWE IMMO AG,P3,7,1,Steiermark,https://www.grawe-immo.at/,office@grawe-immo.at,+43 316 8089 0,https://firmen.wko.at/grawe-immo-ag/steiermark/?firmaid=5e13c4f0-1871-4024-8bbe-c7c68ad5e5cd&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
ÖRAG Immobilien Vermittlung GmbH,P3,7,1,Wien,http://www.oerag.at/,office@oerag.at,+43 1 534 73 0,https://firmen.wko.at/%c3%b6rag-immobilien-vermittlung-gmbh/wien/?firmaid=3ca6208a-beaf-4aca-8af1-c9227d6aab6d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
ÖRAG Liegenschaftsverwaltung Gesellschaft m.b.H.,P3,7,1,Wien,http://www.oerag.at/,office@oerag.at,+43 1 534 73 0,https://firmen.wko.at/%c3%b6rag-liegenschaftsverwaltung-gesellschaft-mbh/wien/?firmaid=ac6a6cfe-ad8f-4428-987f-54651ca49ca4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; scale/management keyword; group/enterprise signal
BUWOG Facility Management GmbH,P3,6,1,Wien,http://www.buwog.at/,office@buwog.at,+43 1 87828-0,https://firmen.wko.at/buwog-facility-management-gmbh/wien/?firmaid=966b5f66-d0f5-42af-af48-d0e6cc8fd981&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; scale/management keyword; group/enterprise signal
BIG Operations GmbH,P3,6,1,Wien,http://www.big.at/,office@big.at,+43 5 0244-0,https://firmen.wko.at/big-operations-gmbh/wien/?firmaid=8b3a0b73-4c31-4f04-832a-2b3e44feee3e&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
IG Immobilien Management GmbH,P3,6,1,Wien,http://www.ig-immobilien.com/,office@ig-immobilien.com,+43 1 532 01 40,https://firmen.wko.at/ig-immobilien-management-gmbh/wien/?firmaid=ee38a9c9-8a39-4dd8-a649-ac54cdf7815a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; scale/management keyword
IMMOFINANZ AG,P3,6,1,Wien,http://www.immofinanz.com/,office@immofinanz.com,+43 1 880 90,https://firmen.wko.at/immofinanz-ag/wien/?firmaid=9f6f8c3b-ef2d-49c5-ae49-aa1cb8de6f53&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
KONE Aktiengesellschaft,P3,6,1,Wien,http://www.kone.at/,austria@kone.com,+43 1 811 77-0,https://firmen.wko.at/kone-aktiengesellschaft/wien/?firmaid=b14a9995-6b8e-4978-b576-85778b4e8c77&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
PORR Bau GmbH,P3,6,1,Wien,http://www.porr.at/,office@porr.at,+43 50 626-0,https://firmen.wko.at/porr-bau-gmbh/wien/?firmaid=5d039272-8d0c-424f-a052-c65da8808333&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
STRABAG BRVZ GmbH,P3,6,1,Wien,http://www.strabag.com/,info@strabag.com,+43 1 22422-0,https://firmen.wko.at/strabag-brvz-gmbh/wien/?firmaid=3bc7ef6f-ab30-4024-8af1-a1d28be50575&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
VAMED Standortentwicklung und Engineering GmbH,P3,6,1,Wien,http://www.vamed.com/,office@vamed.com,+43 1 60127-0,https://firmen.wko.at/vamed-standortentwicklung-und-engineering-gmbh/wien/?firmaid=646acb68-1b0a-4e5c-9358-7fe74f784ab0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; group/enterprise signal
Wohnservice Wien Ges.m.b.H.,P3,6,1,Wien,http://www.wohnservice-wien.at/,office@wohnservice-wien.at,+43 1 24503-0,https://firmen.wko.at/wohnservice-wien-gesmbh/wien/?firmaid=3e834068-afaa-4bef-97a8-7d60ed691721&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,official website; scale/management keyword; group/enterprise signal
