no,company_name,group_name,group_key,stage3_scope,process_fit_class,size_class,management,immediate_owners,ownership_pct,ultimate_control,ownership_type,primary_dm,primary_dm_role,confidence,source_urls,review_status
15,Stadt Wien - Wiener Wohnen Kundenservice GmbH,Stadt Wien - Wiener Wohnen Kundenservice GmbH,Stadt Wien - Wiener Wohnen Kundenservice GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
16,Wohnfit Hausverwaltungs GmbH,Wohnfit Hausverwaltungs GmbH,teamneunzehn group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
17,at home FM Services GmbH,at home FM Services GmbH,at home FM Services GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
18,GBG Gebäude- und Baumanagement Graz GmbH,GBG Gebäude- und Baumanagement Graz GmbH,GBG Gebäude- und Baumanagement Graz GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
19,Ing. Werner Wilhelm Bayer,Ing. Werner Wilhelm Bayer,Ing. Werner Wilhelm Bayer,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
20,PMV Immobilien Management GmbH,PMV Immobilien Management GmbH,PMV Immobilien Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
21,Supernova Invest GmbH,Supernova Invest GmbH,Supernova Invest GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
22,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
23,AI Immobilienverwertung GmbH.,AI Immobilienverwertung GmbH.,AI Immobilienverwertung GmbH.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
24,Dr. Martin Schober Immobilienverwaltung GmbH,Dr. Martin Schober Immobilienverwaltung GmbH,Dr. Martin Schober Immobilienverwaltung GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
25,Immobilien Verwaltung Klagenfurt GmbH,Immobilien Verwaltung Klagenfurt GmbH,Immobilien Verwaltung Klagenfurt GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Gerhard SCHEUCHER MBA Abteilung [Geschäftsführer/Management]; Domplatz Paulitschgasse [Geschäftsführer/Management],,,,UNRESOLVED,Gerhard SCHEUCHER MBA Abteilung; Domplatz Paulitschgasse,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.klagenfurt-wohnen.at/unternehmen/ueber-uns,MANUAL_REVIEW
26,"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.","Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.","Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Hausbetreuung Buchhaltung Büroadministration Konsulenten [Geschäftsführer/Management]; Klaus Rektorik Prokurist Ing [Geschäftsführer/Management],,,,UNRESOLVED,Hausbetreuung Buchhaltung Büroadministration Konsulenten; Klaus Rektorik Prokurist Ing,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.hallas.at/,MANUAL_REVIEW
27,Salzburg Wohnbau GmbH,Salzburg Wohnbau GmbH,Salzburg Wohnbau GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
28,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Mag. Bernhard Raffelsberger Tel [Geschäftsführer/Management]; DI Robert Zier [Geschäftsführer/Management],,,,UNRESOLVED,Mag. Bernhard Raffelsberger Tel; DI Robert Zier,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.wevig.at/team/ | https://www.wevig.at/impressum/,MANUAL_REVIEW
29,Apleona Real Estate AT GmbH,Apleona Real Estate AT GmbH,Apleona Real Estate AT GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
30,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
31,Immobilientreuhand Kluger GmbH,Immobilientreuhand Kluger GmbH,Immobilientreuhand Kluger GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
32,NV Immobilien GmbH,NV Immobilien GmbH,NV Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
33,SES Center Management GmbH,SES Center Management GmbH,SES Center Management GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
34,Wohnbau 2000 Gesellschaft mbH,Wohnbau 2000 Gesellschaft mbH,Wohnbau 2000 Gesellschaft mbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
35,BOE Gebäudemanagement Gesellschaft m.b.H.,BOE Gebäudemanagement Gesellschaft m.b.H.,BOE Gebäudemanagement Gesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
36,GSA Wohnbauträger GmbH,GSA Wohnbauträger GmbH,GSA Wohnbauträger GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
37,ista Österreich GmbH,ista Österreich GmbH,ista Österreich GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
38,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
39,Unibail-Rodamco Austria Verwaltungs GmbH,Unibail-Rodamco Austria Verwaltungs GmbH,Unibail-Rodamco Austria Verwaltungs GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
40,be real Immobilienmanagement GmbH,be real Immobilienmanagement GmbH,be real Immobilienmanagement GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
41,GRAWE Immo AG,GRAWE Immo AG,GRAWE IMMO AG,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
42,International Campus Austria GmbH,International Campus Austria GmbH,International Campus Austria GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
43,Porsche Immobilien Gesellschaft m.b.H.,Porsche Immobilien Gesellschaft m.b.H.,Porsche Immobilien Gesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
44,Ulreich VerwaltungsGmbH,Ulreich VerwaltungsGmbH,Ulreich VerwaltungsGmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
45,ÖBB-Immobilienmanagement Gesellschaft mbH,ÖBB-Immobilienmanagement Gesellschaft mbH,ÖBB-Immobilienmanagement Gesellschaft mbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
46,Alpen Real Immobilien GmbH,Alpen Real Immobilien GmbH,Alpen Real Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
47,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
48,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss .,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss .=100.0%,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss .,INDIVIDUAL_FAMILY_CONTROL,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss .,Owner/Gesellschafter,MEDIUM_HIGH,,MANUAL_REVIEW
49,McArthurGlen Management Gesellschaft m.b.H.,McArthurGlen Management Gesellschaft m.b.H.,McArthurGlen Management Gesellschaft m.b.H.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
50,SERIA Immobilien & Treuhand GmbH,SERIA Immobilien & Treuhand GmbH,SERIA Immobilien & Treuhand GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
51,Woge Realitäten Gesellschaft m.b.H.,Woge Realitäten Gesellschaft m.b.H.,Woge Realitäten Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
52,CBRE GmbH,CBRE GmbH,CBRE GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Mag. Lukas Schwarz Salomie Robinson [Geschäftsführer/Management]; Mag. Lukas Schwarz Geschäftsführer [Geschäftsführer/Management],,,,UNRESOLVED,Mag. Lukas Schwarz Salomie Robinson; Mag. Lukas Schwarz Geschäftsführer,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.cbre.at/ueber-uns/impressum,MANUAL_REVIEW
53,Haus & Grund Immobilien Management GmbH,Haus & Grund Immobilien Management GmbH,Haus & Grund Immobilien Management GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
54,KAPPACHER-SELINA Hausverwaltung GmbH,KAPPACHER-SELINA Hausverwaltung GmbH,SELINA/Kappacher group,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Berthold Rindfleisch Bundesstraße [Geschäftsführer/Management],,,,UNRESOLVED,Berthold Rindfleisch Bundesstraße,Geschäftsführer/Management,MEDIUM_HIGH,https://www.kappacher-selina.at/de/impressum.html,MANUAL_REVIEW
55,Realverwaltung GmbH,Realverwaltung GmbH,Realverwaltung GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
56,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
57,AREV Immobilien Gesellschaft m.b.H.,AREV Immobilien Gesellschaft m.b.H.,AREV Immobilien Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
58,Franz Kramas Gebäudeverwaltung G.m.b.H.,Franz Kramas Gebäudeverwaltung G.m.b.H.,Franz Kramas Gebäudeverwaltung G.m.b.H.,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Mag. Karl Wiesflecker [Geschäftsführer/Management],,,,UNRESOLVED,Mag. Karl Wiesflecker,Geschäftsführer/Management,MEDIUM_HIGH,https://www.kramas.at/,MANUAL_REVIEW
59,IMMOcontract Real Estate Management GmbH,IMMOcontract Real Estate Management GmbH,IMMOcontract Real Estate Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
60,Palladio Immobilien GmbH,Palladio Immobilien GmbH,Palladio Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Herr Ing [Geschäftsführer/Management],,,,UNRESOLVED,Herr Ing,Geschäftsführer/Management,MEDIUM_HIGH,https://www.palladio-immobilien.at/impressum/,MANUAL_REVIEW
61,Stiller & Hohla Immobilientreuhänder GmbH,Stiller & Hohla Immobilientreuhänder GmbH,Stiller & Hohla Immobilientreuhänder GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,KommR Franz Stiller Leo [Geschäftsführer/Management]; Mag. Helmuth Kollmann Geschäftsführer Mag [Geschäftsführer/Management]; Mag. Markus Bähr [Geschäftsführer/Management]; Dr. Berndt Kretschmer Prokurist Michael [Geschäftsführer/Management],,,,UNRESOLVED,KommR Franz Stiller Leo; Mag. Helmuth Kollmann Geschäftsführer Mag,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://stiller-hohla.at/team/,MANUAL_REVIEW
62,WSE Wiener Standortentwicklung GmbH,WSE Wiener Standortentwicklung GmbH,WSE Wiener Standortentwicklung GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
63,Brichard Immobilien GmbH,Brichard Immobilien GmbH,Brichard Immobilien GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
64,Gutwerk Immobilien Treuhand GmbH,Gutwerk Immobilien Treuhand GmbH,Gutwerk Immobilien Treuhand GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
65,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
66,Pusta & Partner HausverwaltungsGmbH,Pusta & Partner HausverwaltungsGmbH,Pusta & Partner HausverwaltungsGmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
67,Venta Immobilien Service GmbH,Venta Immobilien Service GmbH,Venta Immobilien Service GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
68,"""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.","""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.","""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.",MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
69,COLLIERS Immobilienverwaltung GmbH,COLLIERS Immobilienverwaltung GmbH,Colliers Austria,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Research News Empfohlener Artikel [Geschäftsführer/Management]; Research News Erfahren Sie [Geschäftsführer/Management]; Thomas Belina [Geschäftsführer/Management],,,,UNRESOLVED,Research News Empfohlener Artikel; Research News Erfahren Sie,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.colliers.com/de-at/dienstleistungen/property-management-services,MANUAL_REVIEW
70,IG Immobilien Management GmbH,IG Immobilien Management GmbH,IG Immobilien Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
71,Leitgöb Hausverwaltung GmbH,Leitgöb Hausverwaltung GmbH,Leitgöb Wohnbau group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
72,RES Immobilienverwaltung GmbH,RES Immobilienverwaltung GmbH,RES Immobilienverwaltung GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
73,Weinberger Biletti Immobilien Graz GmbH,Weinberger Biletti Immobilien Graz GmbH,Weinberger Biletti Immobilien Graz GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
74,"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.","""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.","""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
75,convival Immobilien GmbH,convival Immobilien GmbH,convival Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
76,Immobilien Treuhand Hanke & Bodner KG,Immobilien Treuhand Hanke & Bodner KG,Immobilien Treuhand Hanke & Bodner KG,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
77,LIM-MANAGEMENT GmbH,LIM-MANAGEMENT GmbH,LIM group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
78,Sabo+Mandl & Tomaschek Immobilien GmbH,Sabo+Mandl & Tomaschek Immobilien GmbH,Sabo+Mandl & Tomaschek Immobilien GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
79,WESIAK Gesellschaft m.b.H.,WESIAK Gesellschaft m.b.H.,WESIAK group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Mag. Timur Jelinek [Geschäftsführer/Management],,,,UNRESOLVED,Mag. Timur Jelinek,Geschäftsführer/Management,MEDIUM_HIGH,https://www.wesiak.com/impressum,MANUAL_REVIEW
80,CBRE GWS Austria GmbH,CBRE GWS Austria GmbH,CBRE GWS Austria GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
81,HÖS Heimat Österreich Service GesmbH,HÖS Heimat Österreich Service GesmbH,HÖS Heimat Österreich Service GesmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
82,KIBB Immobilien GmbH,KIBB Immobilien GmbH,KIBB Immobilien GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
83,REIWAG Facility Services GmbH,REIWAG Facility Services GmbH,REIWAG Facility Services GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
84,Weinberger Biletti Immobilien GmbH,Weinberger Biletti Immobilien GmbH,Weinberger Biletti Immobilien GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
85,ARWAG Immobilientreuhand Gesellschaft m.b.H.,ARWAG Immobilientreuhand Gesellschaft m.b.H.,ARWAG group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Die ARWAG-Vorstandsdirektoren [Geschäftsführer/Management]; Thomas Drozda Christian Raab [Geschäftsführer/Management]; Vorstandsdirektor Mag [Geschäftsführer/Management],,,,UNRESOLVED,Die ARWAG-Vorstandsdirektoren; Thomas Drozda Christian Raab,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.arwag.at/ueber-uns/ | https://www.arwag.at/impressum/,MANUAL_REVIEW
86,Frieda Rustler Gebäudeverwaltung GmbH & Co KG,Frieda Rustler Gebäudeverwaltung GmbH & Co KG,Rustler group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Frieda Rustler Gebäudeverwaltung GmbH [Geschäftsführer/Management]; Rustler Facility Management Lehnergasse [Geschäftsführer/Management]; Rustler Facility Management Rustler [Geschäftsführer/Management],,,,UNRESOLVED,Frieda Rustler Gebäudeverwaltung GmbH; Rustler Facility Management Lehnergasse,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://rustler.eu/wohnungseigentum-wohnungsmanagement/ | https://rustler.eu/facility-management/,MANUAL_REVIEW
87,IMV Immobilien Management GmbH,IMV Immobilien Management GmbH,IMV Immobilien Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
88,PFG Liegenschaftsbewirtschaftungs GmbH &Co KG,PFG Liegenschaftsbewirtschaftungs GmbH &Co KG,PFG Liegenschaftsbewirtschaftungs GmbH & Co KG,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
89,STRABAG Property and Facility Services GmbH,STRABAG Property and Facility Services GmbH,STRABAG Property and Facility Services GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,STRABAG PFS Gruppe [Geschäftsführer/Management]; STRABAG PFS Österreich Ihr [Geschäftsführer/Management],,,,UNRESOLVED,STRABAG PFS Gruppe; STRABAG PFS Österreich Ihr,Geschäftsführer/Management; Geschäftsführer/Management,MEDIUM_HIGH,https://www.strabag-pfs.com/at/ueber-uns-at/management-at,MANUAL_REVIEW
90,ZIMA Objektmanagement GmbH,ZIMA Objektmanagement GmbH,ZIMA group,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,,,,,UNRESOLVED,,,LOW,,MANUAL_REVIEW
