firmaid,company_name,business_label,street,postal_code,city,address,phones,email,all_emails,website,all_websites,states_seen,wko_state_record_count,profile_url
c4259ce0-2340-4dbd-bdf9-6cf297ee7b3d,"""PRISMA"" Zentrum für Standort- und Regionalentwicklung GmbH",,Strubergasse 26,5020,Salzburg,Strubergasse 26 5020 Salzburg,,,,,,salzburg,1,https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-regionalentwicklung-gmbh/salzburg/?firmaid=c4259ce0-2340-4dbd-bdf9-6cf297ee7b3d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
a06bb089-0a09-4f99-9c0d-4b13c7d2db3d,"""PRISMA"" Zentrum für Standort- und Stadtentwicklung GmbH",www.prisma-zentrum.com,Mariannengasse 10,1090,Wien,Mariannengasse 10 1090 Wien,01/512%2007%2009,prisma.wien@prisma-zentrum.com,prisma.wien@prisma-zentrum.com,http://www.prisma-zentrum.com/,http://www.prisma-zentrum.com/,wien,1,https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-stadtentwicklung-gmbh/wien/?firmaid=a06bb089-0a09-4f99-9c0d-4b13c7d2db3d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
0c727f40-e9da-41ee-820e-66791a8f9a7d,"""Rottenmanner Bauträgergesellschaft"" Gesellschaft m.b.H.",,Westrandsiedlung 312,8786,Rottenmann,Westrandsiedlung 312 8786 Rottenmann,036142445-0,office@rottenmanner.at,office@rottenmanner.at,,,steiermark,1,https://firmen.wko.at/%22rottenmanner-bautr%c3%a4gergesellschaft%22-gesellschaft-mbh/steiermark/?firmaid=0c727f40-e9da-41ee-820e-66791a8f9a7d&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
9e0689af-07be-4f22-bb8e-d56273df8722,"""smart home"" bauconsulting GmbH",,Wolfurterstraße 15,6923,Lauterach,Wolfurterstraße 15 6923 Lauterach,,,,,,vorarlberg,1,https://firmen.wko.at/%22smart-home%22-bauconsulting-gmbh/vorarlberg/?firmaid=9e0689af-07be-4f22-bb8e-d56273df8722&standortid=8&standortname=vorarlberg%20%28bundesland%29&suchbegriff=immobilienverwalter
b2450bb4-0094-46e6-9a3e-d068ed331d4b,"""Trend"" Bauträger GesmbH",www.trend-bt.at,Pestalozzistraße 12,9500,Villach,Pestalozzistraße 12 9500 Villach,+43%204242%20271%2013%200,office@trend-bt.at,office@trend-bt.at,http://www.trend-bt.at/,http://www.trend-bt.at/,kärnten,1,https://firmen.wko.at/%22trend%22-bautr%c3%a4ger-gesmbh/k%c3%a4rnten/?firmaid=b2450bb4-0094-46e6-9a3e-d068ed331d4b&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
153e5b4f-47bf-4c3e-82b5-453c655bcf30,'STADTENTWICKLUNGSFONDS KORNEUBURG',,Hauptplatz 1,2100,Korneuburg,Hauptplatz 1 2100 Korneuburg,,immofonds@korneuburg.gv.at,immofonds@korneuburg.gv.at,,,niederösterreich,1,https://firmen.wko.at/%27stadtentwicklungsfonds-korneuburg%27/nieder%c3%b6sterreich/?firmaid=153e5b4f-47bf-4c3e-82b5-453c655bcf30&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
96b4bf5e-62c4-40c9-ba09-5dc6a9fbbcd5,111 gröbl wohnpark gösting entwicklungs gmbh,,Anton-Kleinoscheg-Straße 66a,8051,Graz,Anton-Kleinoscheg-Straße 66a 8051 Graz,,,,,,steiermark,1,https://firmen.wko.at/111-gr%c3%b6bl-wohnpark-g%c3%b6sting-entwicklungs-gmbh/steiermark/?firmaid=96b4bf5e-62c4-40c9-ba09-5dc6a9fbbcd5&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
d028173c-71fb-4901-a955-074e3ba29dc5,1140 Wien Grundstücks- und Vermögensverwaltung GmbH,Viktor Lang-Straße 10/4,,1140,Wien Grundstücks- und Vermögensverwaltung GmbH,1140 Wien Grundstücks- und Vermögensverwaltung GmbH,,,,,,niederösterreich,1,https://firmen.wko.at/1140-wien-grundst%c3%bccks-und-verm%c3%b6gensverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=d028173c-71fb-4901-a955-074e3ba29dc5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
6325ad6b-3fdf-4431-a175-13b3a269d1e8,3fach Immobilien OG,,Steinbruchstraße 32,1160,Wien,Steinbruchstraße 32 1160 Wien,,,,,,wien,1,https://firmen.wko.at/3fach-immobilien-og/wien/?firmaid=6325ad6b-3fdf-4431-a175-13b3a269d1e8&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
95a5fa97-a8ca-48fb-9f69-7fc01237a732,9022 Projektmanagement GmbH,Waidmannsdorfer Straße 84,,9022,Projektmanagement GmbH,9022 Projektmanagement GmbH,,,,,,kärnten,1,https://firmen.wko.at/9022-projektmanagement-gmbh/k%c3%a4rnten/?firmaid=95a5fa97-a8ca-48fb-9f69-7fc01237a732&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
707fa7e9-6bad-4a76-a9e7-b07ed8077f95,A & K FALLY Immobilienbesitz & Verwaltung GmbH,Immobilienverwaltung,Amalienstraße 19,1130,Wien,Amalienstraße 19 1130 Wien,+43%201%20876%2039%2031,hausverwaltung.fally@gmail.com,hausverwaltung.fally@gmail.com,http://www.fally.co.at/,http://www.fally.co.at/,wien,1,https://firmen.wko.at/a-und-k-fally-immobilienbesitz-und-verwaltung-gmbh-immobilienverwaltung/wien/?firmaid=707fa7e9-6bad-4a76-a9e7-b07ed8077f95&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
fbd78c41-34e0-4f01-96e3-f7354b83c656,A-Quadrat Immobilien GmbH,http://www.a2-immo.at,Kasmanhuber Straße 3,9500,Villach,Kasmanhuber Straße 3 9500 Villach,042408488,office@a2-immo.at,office@a2-immo.at,http://www.a2-immo.at/,http://www.a2-immo.at/,kärnten,1,https://firmen.wko.at/a-quadrat-immobilien-gmbh/k%c3%a4rnten/?firmaid=fbd78c41-34e0-4f01-96e3-f7354b83c656&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
742ec8fe-ba10-448a-b4a5-14175ccd0a48,A. Brandstetter & Co. KG.,verwaltung@braunimmobilien.at,Hietzinger Hauptstraße 34B/6,1130,Wien,Hietzinger Hauptstraße 34B/6 1130 Wien,01/876%2098%2059-0,%20verwaltung@braunimmobilien.at,%20verwaltung@braunimmobilien.at,,,wien,1,https://firmen.wko.at/a-brandstetter-und-co-kg/wien/?firmaid=742ec8fe-ba10-448a-b4a5-14175ccd0a48&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
409df50b-0022-4db2-b80a-20a2f9d0851b,A1 Telekom Austria Aktiengesellschaft,1 Zertifikat,Lassallestraße 9,1020,Wien,Lassallestraße 9 1020 Wien,,,,,,wien,1,https://firmen.wko.at/a1-telekom-austria-aktiengesellschaft/wien/?firmaid=409df50b-0022-4db2-b80a-20a2f9d0851b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
1b49f1a9-5ef6-4916-864d-70ffff6a82d6,A1REAL GmbH,http://www.a1real.at,Immobilienmakler Immobilienverwalter,0732,272 500,Immobilienmakler Immobilienverwalter 0732 272 500,0732%20272%20500,office@a1real.at,office@a1real.at,http://www.a1real.at/,http://www.a1real.at/,oberösterreich,1,https://firmen.wko.at/a1real-gmbh-immobilienmakler-immobilienverwalter/ober%c3%b6sterreich/?firmaid=1b49f1a9-5ef6-4916-864d-70ffff6a82d6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
e5554c93-0c28-4922-b27f-05092a652539,ABM Real Estate GmbH,,Conrad-von-Hötzendorf-Straße 99,8010,Graz,Conrad-von-Hötzendorf-Straße 99 8010 Graz,,,,,,steiermark,1,https://firmen.wko.at/abm-real-estate-gmbh/steiermark/?firmaid=e5554c93-0c28-4922-b27f-05092a652539&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
f126d2be-c36f-486e-8446-5db688b4317e,"ABW - SCHUSTER Allgemeine Bauträger, Wohnungseigentum & Immobilienverwaltung Nfg. GmbH & Co KG",,Josefstädter Straße 44,1080,Wien,Josefstädter Straße 44 1080 Wien,,,,,,wien,1,https://firmen.wko.at/abw-schuster-allgemeine-bautr%c3%a4ger-wohnungseigentum-und-immobilienverwaltung-nfg-gmbh-und-co-kg/wien/?firmaid=f126d2be-c36f-486e-8446-5db688b4317e&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
01551775-1088-431f-b534-6dcda7cad8de,ACASA Immobilienmanagement GmbH,,Karfreitstraße 4,9020,Klagenfurt am Wörthersee,Karfreitstraße 4 9020 Klagenfurt am Wörthersee,,,,,,kärnten,1,https://firmen.wko.at/acasa-immobilienmanagement-gmbh/k%c3%a4rnten/?firmaid=01551775-1088-431f-b534-6dcda7cad8de&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
df0e07f7-b2dd-4d7e-a295-d71f0febb06f,ADJOKAT Hausverwaltungs GmbH,,Tenschertstraße 12 (Betrieb),1230,Wien,Tenschertstraße 12 (Betrieb) 1230 Wien,,,,,,wien,1,https://firmen.wko.at/adjokat-hausverwaltungs-gmbh/wien/?firmaid=df0e07f7-b2dd-4d7e-a295-d71f0febb06f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
42904962-bad7-4286-81e9-df0a0d40f9f5,Aedis Hausverwaltung GmbH,,Kreuzgasse (Hernals und Währing) 40,1180,Wien,Kreuzgasse (Hernals und Währing) 40 1180 Wien,,,,,,wien,1,https://firmen.wko.at/aedis-hausverwaltung-gmbh/wien/?firmaid=42904962-bad7-4286-81e9-df0a0d40f9f5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
14502ae1-63d2-4523-8209-b51fd20d3672,AGImmobilien GmbH,,Klostergasse 15,2340,Mödling,Klostergasse 15 2340 Mödling,,,,,,niederösterreich,1,https://firmen.wko.at/agimmobilien-gmbh/nieder%c3%b6sterreich/?firmaid=14502ae1-63d2-4523-8209-b51fd20d3672&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
f4ccbded-fd97-4013-a3bb-53dbfca965b0,Agnes Kratochwil,,Edelhofgasse 1,1180,Wien,Edelhofgasse 1 1180 Wien,,,,,,wien,1,https://firmen.wko.at/agnes-kratochwil/wien/?firmaid=f4ccbded-fd97-4013-a3bb-53dbfca965b0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
00028044-cbb5-4440-ade4-91a3071f1566,Agoreal Immobilien GmbH,,Wiesingerstraße 8/23,1010,Wien,Wiesingerstraße 8/23 1010 Wien,01/512%2020%2000-0,agoreal@aon.at,agoreal@aon.at,,,wien,1,https://firmen.wko.at/agoreal-immobilien-gmbh/wien/?firmaid=00028044-cbb5-4440-ade4-91a3071f1566&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
b5bcb7bf-e2f6-47eb-ab86-de955087c202,AHCM Immobilienmanagement KG,,Hochlandstraße 23,5162,Obertrum am See,Hochlandstraße 23 5162 Obertrum am See,,,,,,salzburg,1,https://firmen.wko.at/ahcm-immobilienmanagement-kg/salzburg/?firmaid=b5bcb7bf-e2f6-47eb-ab86-de955087c202&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
b9e282a7-7512-4d00-a8f8-0a1409dd9d83,AI Alpenraum Immobilien GmbH,,Weingarten 16,6122,Fritzens,Weingarten 16 6122 Fritzens,,,,,,tirol,1,https://firmen.wko.at/ai-alpenraum-immobilien-gmbh/tirol/?firmaid=b9e282a7-7512-4d00-a8f8-0a1409dd9d83&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
29660948-0048-400f-b18d-1f709830583a,AI Immobilienverwertung GmbH.,www.apk.at/aiig,Thomas-Klestil-Platz 13,1030,Wien,Thomas-Klestil-Platz 13 1030 Wien,0732/65%2085%2031%2060,aiig.immobilien@voestalpine.com,aiig.immobilien@voestalpine.com,http://www.apk.at/aiig,http://www.apk.at/aiig,wien,1,https://firmen.wko.at/ai-immobilienverwertung-gmbh/wien/?firmaid=29660948-0048-400f-b18d-1f709830583a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
d8d355d2-e516-4ab3-90e2-2d6ba243cc0c,AI Immobilienverwertung GmbH.,,Stahlstraße 2-4,4020,Linz,Stahlstraße 2-4 4020 Linz,+43%20(0732)%206585-3169,aiig.immobilien@voest.co.at,aiig.immobilien@voest.co.at,,,oberösterreich,1,https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
cda1677d-cbc0-45ae-98c4-6cc47eec1589,AICO Service GmbH,,Johann-Offner-Straße 1,9400,Wolfsberg,Johann-Offner-Straße 1 9400 Wolfsberg,,,,,,kärnten,1,https://firmen.wko.at/aico-service-gmbh/k%c3%a4rnten/?firmaid=cda1677d-cbc0-45ae-98c4-6cc47eec1589&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
a48fbc8f-85a8-454d-b244-c52cf4c63b64,Aigner Hausverwaltung GmbH,,Sonnenweg 3,4820,Bad Ischl,Sonnenweg 3 4820 Bad Ischl,,,,,,oberösterreich,1,https://firmen.wko.at/aigner-hausverwaltung-gmbh/ober%c3%b6sterreich/?firmaid=a48fbc8f-85a8-454d-b244-c52cf4c63b64&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
5ce60322-2f9d-4d9f-b56f-10b10b388afc,AJAS - Immo GmbH,,Kalkofenweg 6,6840,Götzis,Kalkofenweg 6 6840 Götzis,,,,,,vorarlberg,1,https://firmen.wko.at/ajas-immo-gmbh/vorarlberg/?firmaid=5ce60322-2f9d-4d9f-b56f-10b10b388afc&standortid=8&standortname=vorarlberg%20%28bundesland%29&suchbegriff=immobilienverwalter
cf97c4bc-44cb-4e49-84b2-afa3d734130e,Albin Schwarz,,Hofgasse 8,8010,Graz,Hofgasse 8 8010 Graz,,,,,,steiermark,1,https://firmen.wko.at/albin-schwarz/steiermark/?firmaid=cf97c4bc-44cb-4e49-84b2-afa3d734130e&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
5500e6a1-8796-426e-a608-d11efb113a4d,Alexander Georg Frieders,aktuell ruhend gemeldet,Hörlgasse 18/6,1090,Wien,Hörlgasse 18/6 1090 Wien,,,,,,wien,1,https://firmen.wko.at/alexander-georg-frieders/wien/?firmaid=5500e6a1-8796-426e-a608-d11efb113a4d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
49d87944-0362-41ad-8d00-c2c24c783da8,Alexander Michael Vollmann,,Meytensgasse 16/5,1130,Wien,Meytensgasse 16/5 1130 Wien,,,,,,wien,1,https://firmen.wko.at/alexander-michael-vollmann/wien/?firmaid=49d87944-0362-41ad-8d00-c2c24c783da8&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
26665eff-d512-444b-90cb-317fd16c7ef5,Alfons Metzger Hausverwaltung Immobilien Management GmbH,,Gumpendorfer Straße 72,1060,Wien,Gumpendorfer Straße 72 1060 Wien,,,,,,wien,1,https://firmen.wko.at/alfons-metzger-hausverwaltung-immobilien-management-gmbh/wien/?firmaid=26665eff-d512-444b-90cb-317fd16c7ef5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
e82af938-7cb4-42eb-a066-0643f8f6c039,Alfred Herbert Fritz,Alfred H. Fritz Immobilien,Feldgasse (Josefstadt) 3,1080,Wien,Feldgasse (Josefstadt) 3 1080 Wien,(+43-1)%20890%2050%2000,office@fritz-immobilien.at,office@fritz-immobilien.at,http://www.fritz-immobilien.at/,http://www.fritz-immobilien.at/,wien,1,https://firmen.wko.at/alfred-herbert-fritz-alfred-h-fritz-immobilien/wien/?firmaid=e82af938-7cb4-42eb-a066-0643f8f6c039&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
204a2358-cfd9-497f-a006-d3a96701f072,Alfred Matejka Immobilienverwaltung Gesellschaft m.b.H.,,Getreidemarkt 14,1010,Wien,Getreidemarkt 14 1010 Wien,,,,,,wien,1,https://firmen.wko.at/alfred-matejka-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=204a2358-cfd9-497f-a006-d3a96701f072&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
c05027eb-3987-4922-94bd-68153edf98c6,Alfred Xaver Kiesling,Immobilien,Migschitzgasse 9,1230,Wien,Migschitzgasse 9 1230 Wien,06641645458,alfred@kiesling-immobilien.at,alfred@kiesling-immobilien.at,http://www.kiesling-immobilien.at/,http://www.kiesling-immobilien.at/,wien,1,https://firmen.wko.at/alfred-xaver-kiesling-immobilien/wien/?firmaid=c05027eb-3987-4922-94bd-68153edf98c6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
f3bcd5ba-b23a-4cbc-993a-9ea01057bed0,All-Suite Resorts - Österreich GmbH,,Örlachweg 4,6433,Oetz,Örlachweg 4 6433 Oetz,,,,,,tirol,1,https://firmen.wko.at/all-suite-resorts-%c3%96sterreich-gmbh/tirol/?firmaid=f3bcd5ba-b23a-4cbc-993a-9ea01057bed0&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
3ec0cc34-2121-4266-b53a-1935ef943a98,Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB),,Garnisonstraße 5 (AUVA Linz),4020,Linz,Garnisonstraße 5 (AUVA Linz) 4020 Linz,,,,,,oberösterreich,1,https://firmen.wko.at/allgemeine-unfallversicherungs-betriebsgesellschaft-mbhauvb/ober%c3%b6sterreich/?firmaid=3ec0cc34-2121-4266-b53a-1935ef943a98&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
d2a87d3b-73a0-4d69-a8ab-428e273a2db3,Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB),,Dr.-Franz-Rehrl-Platz 5,5020,Salzburg,Dr.-Franz-Rehrl-Platz 5 5020 Salzburg,,,,,,salzburg,1,https://firmen.wko.at/allgemeine-unfallversicherungs-betriebsgesellschaft-mbhauvb/salzburg/?firmaid=d2a87d3b-73a0-4d69-a8ab-428e273a2db3&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
31818652-0c8b-4b5c-ad9c-0cad13636b4a,Alois Köpf GmbH,,Schumanngasse 56/13,1170,Wien,Schumanngasse 56/13 1170 Wien,,,,,,wien,1,https://firmen.wko.at/alois-k%c3%b6pf-gmbh/wien/?firmaid=31818652-0c8b-4b5c-ad9c-0cad13636b4a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
1ef757c7-9f93-4b70-96f1-060985c93aed,Alpen Real Immobilien GmbH,Immobilienverwaltung,Stadtplatz 9,4400,Steyr,Stadtplatz 9 4400 Steyr,07252/45593-0,,,,,oberösterreich,1,https://firmen.wko.at/alpen-real-immobilien-gmbh-immobilienverwaltung/ober%c3%b6sterreich/?firmaid=1ef757c7-9f93-4b70-96f1-060985c93aed&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
9850b2d6-ba5c-4095-b8df-2b52f86737cf,Alpen Real Immobilien GmbH,,Nonntaler Hauptstraße 60,5020,Salzburg,Nonntaler Hauptstraße 60 5020 Salzburg,,,,,,salzburg,1,https://firmen.wko.at/alpen-real-immobilien-gmbh/salzburg/?firmaid=9850b2d6-ba5c-4095-b8df-2b52f86737cf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
03e3157d-cafd-4fb9-88de-07da86c0b48c,Alras Immobilienmanagement und -verwaltungs GmbH,,Feldmühlgasse 22/6,1130,Wien,Feldmühlgasse 22/6 1130 Wien,,,,,,wien,1,https://firmen.wko.at/alras-immobilienmanagement-und-verwaltungs-gmbh/wien/?firmaid=03e3157d-cafd-4fb9-88de-07da86c0b48c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
139b9864-5667-476e-ba72-627f2f3ac5fe,Altmann + Partner Immobilientreuhand GmbH,Altmann + Partner,Lahntal 4,5751,Maishofen,Lahntal 4 5751 Maishofen,+43%206542%2068262%200,info@altmann-partner.at,info@altmann-partner.at,http://www.altmann-partner.at/,http://www.altmann-partner.at/,salzburg,1,https://firmen.wko.at/altmann-partner-immobilientreuhand-gmbh-altmann-partner/salzburg/?firmaid=139b9864-5667-476e-ba72-627f2f3ac5fe&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
b581c94d-f0a1-4ffa-b37d-ceda06f1d024,Altmann + Partner Immobilientreuhand GmbH,Altmann + Partner,Lahntal 121,5751,Maishofen,Lahntal 121 5751 Maishofen,+43%206542%2068262%200,info@altmann-partner.at,info@altmann-partner.at,http://www.altmann-partner.at/,http://www.altmann-partner.at/,salzburg,1,https://firmen.wko.at/altmann-partner-immobilientreuhand-gmbh-altmann-partner/salzburg/?firmaid=b581c94d-f0a1-4ffa-b37d-ceda06f1d024&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
