canonical_key,company_name,aliases,wko_standort_count,states_seen,firmaids,addresses,website,all_websites,email,phones,profile_url
prisma zentrum für standort und stadtentwicklung gmbh,"""PRISMA"" Zentrum für Standort- und Stadtentwicklung GmbH","""PRISMA"" Zentrum für Standort- und Stadtentwicklung GmbH",1,wien,a06bb089-0a09-4f99-9c0d-4b13c7d2db3d,Mariannengasse 10 1090 Wien,http://www.prisma-zentrum.com/,http://www.prisma-zentrum.com/,prisma.wien@prisma-zentrum.com,01/512%2007%2009,https://firmen.wko.at/%22prisma%22-zentrum-f%c3%bcr-standort-und-stadtentwicklung-gmbh/wien/?firmaid=a06bb089-0a09-4f99-9c0d-4b13c7d2db3d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
rottenmanner bauträgergesellschaft gesellschaft m b h,"""Rottenmanner Bauträgergesellschaft"" Gesellschaft m.b.H.","""Rottenmanner Bauträgergesellschaft"" Gesellschaft m.b.H.",1,steiermark,0c727f40-e9da-41ee-820e-66791a8f9a7d,Westrandsiedlung 312 8786 Rottenmann,,,office@rottenmanner.at,036142445-0,https://firmen.wko.at/%22rottenmanner-bautr%c3%a4gergesellschaft%22-gesellschaft-mbh/steiermark/?firmaid=0c727f40-e9da-41ee-820e-66791a8f9a7d&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
smart home bauconsulting gmbh,"""smart home"" bauconsulting GmbH","""smart home"" bauconsulting GmbH",1,vorarlberg,9e0689af-07be-4f22-bb8e-d56273df8722,Wolfurterstraße 15 6923 Lauterach,,,,,https://firmen.wko.at/%22smart-home%22-bauconsulting-gmbh/vorarlberg/?firmaid=9e0689af-07be-4f22-bb8e-d56273df8722&standortid=8&standortname=vorarlberg%20%28bundesland%29&suchbegriff=immobilienverwalter
trend bauträger gesmbh,"""Trend"" Bauträger GesmbH","""Trend"" Bauträger GesmbH",1,kärnten,b2450bb4-0094-46e6-9a3e-d068ed331d4b,Pestalozzistraße 12 9500 Villach,http://www.trend-bt.at/,http://www.trend-bt.at/,office@trend-bt.at,+43%204242%20271%2013%200,https://firmen.wko.at/%22trend%22-bautr%c3%a4ger-gesmbh/k%c3%a4rnten/?firmaid=b2450bb4-0094-46e6-9a3e-d068ed331d4b&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
stadtentwicklungsfonds korneuburg,'STADTENTWICKLUNGSFONDS KORNEUBURG','STADTENTWICKLUNGSFONDS KORNEUBURG',1,niederösterreich,153e5b4f-47bf-4c3e-82b5-453c655bcf30,Hauptplatz 1 2100 Korneuburg,,,immofonds@korneuburg.gv.at,,https://firmen.wko.at/%27stadtentwicklungsfonds-korneuburg%27/nieder%c3%b6sterreich/?firmaid=153e5b4f-47bf-4c3e-82b5-453c655bcf30&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
111 gröbl wohnpark gösting entwicklungs gmbh,111 gröbl wohnpark gösting entwicklungs gmbh,111 gröbl wohnpark gösting entwicklungs gmbh,1,steiermark,96b4bf5e-62c4-40c9-ba09-5dc6a9fbbcd5,Anton-Kleinoscheg-Straße 66a 8051 Graz,,,,,https://firmen.wko.at/111-gr%c3%b6bl-wohnpark-g%c3%b6sting-entwicklungs-gmbh/steiermark/?firmaid=96b4bf5e-62c4-40c9-ba09-5dc6a9fbbcd5&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
1140 wien grundstücks und vermögensverwaltung gmbh,1140 Wien Grundstücks- und Vermögensverwaltung GmbH,1140 Wien Grundstücks- und Vermögensverwaltung GmbH,1,niederösterreich,d028173c-71fb-4901-a955-074e3ba29dc5,1140 Wien Grundstücks- und Vermögensverwaltung GmbH,,,,,https://firmen.wko.at/1140-wien-grundst%c3%bccks-und-verm%c3%b6gensverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=d028173c-71fb-4901-a955-074e3ba29dc5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
3fach immobilien og,3fach Immobilien OG,3fach Immobilien OG,1,wien,6325ad6b-3fdf-4431-a175-13b3a269d1e8,Steinbruchstraße 32 1160 Wien,,,,,https://firmen.wko.at/3fach-immobilien-og/wien/?firmaid=6325ad6b-3fdf-4431-a175-13b3a269d1e8&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
9022 projektmanagement gmbh,9022 Projektmanagement GmbH,9022 Projektmanagement GmbH,1,kärnten,95a5fa97-a8ca-48fb-9f69-7fc01237a732,9022 Projektmanagement GmbH,,,,,https://firmen.wko.at/9022-projektmanagement-gmbh/k%c3%a4rnten/?firmaid=95a5fa97-a8ca-48fb-9f69-7fc01237a732&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
a und k fally immobilienbesitz und verwaltung gmbh,A & K FALLY Immobilienbesitz & Verwaltung GmbH,A & K FALLY Immobilienbesitz & Verwaltung GmbH,1,wien,707fa7e9-6bad-4a76-a9e7-b07ed8077f95,Amalienstraße 19 1130 Wien,http://www.fally.co.at/,http://www.fally.co.at/,hausverwaltung.fally@gmail.com,+43%201%20876%2039%2031,https://firmen.wko.at/a-und-k-fally-immobilienbesitz-und-verwaltung-gmbh-immobilienverwaltung/wien/?firmaid=707fa7e9-6bad-4a76-a9e7-b07ed8077f95&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
a quadrat immobilien gmbh,A-Quadrat Immobilien GmbH,A-Quadrat Immobilien GmbH,1,kärnten,fbd78c41-34e0-4f01-96e3-f7354b83c656,Kasmanhuber Straße 3 9500 Villach,http://www.a2-immo.at/,http://www.a2-immo.at/,office@a2-immo.at,042408488,https://firmen.wko.at/a-quadrat-immobilien-gmbh/k%c3%a4rnten/?firmaid=fbd78c41-34e0-4f01-96e3-f7354b83c656&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
a brandstetter und co kg,A. Brandstetter & Co. KG.,A. Brandstetter & Co. KG.,1,wien,742ec8fe-ba10-448a-b4a5-14175ccd0a48,Hietzinger Hauptstraße 34B/6 1130 Wien,,,%20verwaltung@braunimmobilien.at,01/876%2098%2059-0,https://firmen.wko.at/a-brandstetter-und-co-kg/wien/?firmaid=742ec8fe-ba10-448a-b4a5-14175ccd0a48&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
a1 telekom austria aktiengesellschaft,A1 Telekom Austria Aktiengesellschaft,A1 Telekom Austria Aktiengesellschaft,1,wien,409df50b-0022-4db2-b80a-20a2f9d0851b,Lassallestraße 9 1020 Wien,,,,,https://firmen.wko.at/a1-telekom-austria-aktiengesellschaft/wien/?firmaid=409df50b-0022-4db2-b80a-20a2f9d0851b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
a1real gmbh,A1REAL GmbH,A1REAL GmbH,1,oberösterreich,1b49f1a9-5ef6-4916-864d-70ffff6a82d6,Immobilienmakler Immobilienverwalter 0732 272 500,http://www.a1real.at/,http://www.a1real.at/,office@a1real.at,0732%20272%20500,https://firmen.wko.at/a1real-gmbh-immobilienmakler-immobilienverwalter/ober%c3%b6sterreich/?firmaid=1b49f1a9-5ef6-4916-864d-70ffff6a82d6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
abm real estate gmbh,ABM Real Estate GmbH,ABM Real Estate GmbH,1,steiermark,e5554c93-0c28-4922-b27f-05092a652539,Conrad-von-Hötzendorf-Straße 99 8010 Graz,,,,,https://firmen.wko.at/abm-real-estate-gmbh/steiermark/?firmaid=e5554c93-0c28-4922-b27f-05092a652539&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
abw schuster allgemeine bauträger wohnungseigentum und immobilienverwaltung nfg gmbh und co kg,"ABW - SCHUSTER Allgemeine Bauträger, Wohnungseigentum & Immobilienverwaltung Nfg. GmbH & Co KG","ABW - SCHUSTER Allgemeine Bauträger, Wohnungseigentum & Immobilienverwaltung Nfg. GmbH & Co KG",1,wien,f126d2be-c36f-486e-8446-5db688b4317e,Josefstädter Straße 44 1080 Wien,,,,,https://firmen.wko.at/abw-schuster-allgemeine-bautr%c3%a4ger-wohnungseigentum-und-immobilienverwaltung-nfg-gmbh-und-co-kg/wien/?firmaid=f126d2be-c36f-486e-8446-5db688b4317e&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
acasa immobilienmanagement gmbh,ACASA Immobilienmanagement GmbH,ACASA Immobilienmanagement GmbH,1,kärnten,01551775-1088-431f-b534-6dcda7cad8de,Karfreitstraße 4 9020 Klagenfurt am Wörthersee,,,,,https://firmen.wko.at/acasa-immobilienmanagement-gmbh/k%c3%a4rnten/?firmaid=01551775-1088-431f-b534-6dcda7cad8de&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
adjokat hausverwaltungs gmbh,ADJOKAT Hausverwaltungs GmbH,ADJOKAT Hausverwaltungs GmbH,1,wien,df0e07f7-b2dd-4d7e-a295-d71f0febb06f,Tenschertstraße 12 (Betrieb) 1230 Wien,,,,,https://firmen.wko.at/adjokat-hausverwaltungs-gmbh/wien/?firmaid=df0e07f7-b2dd-4d7e-a295-d71f0febb06f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
aedis hausverwaltung gmbh,Aedis Hausverwaltung GmbH,Aedis Hausverwaltung GmbH,1,wien,42904962-bad7-4286-81e9-df0a0d40f9f5,Kreuzgasse (Hernals und Währing) 40 1180 Wien,,,,,https://firmen.wko.at/aedis-hausverwaltung-gmbh/wien/?firmaid=42904962-bad7-4286-81e9-df0a0d40f9f5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
agimmobilien gmbh,AGImmobilien GmbH,AGImmobilien GmbH,1,niederösterreich,14502ae1-63d2-4523-8209-b51fd20d3672,Klostergasse 15 2340 Mödling,,,,,https://firmen.wko.at/agimmobilien-gmbh/nieder%c3%b6sterreich/?firmaid=14502ae1-63d2-4523-8209-b51fd20d3672&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
agnes kratochwil,Agnes Kratochwil,Agnes Kratochwil,1,wien,f4ccbded-fd97-4013-a3bb-53dbfca965b0,Edelhofgasse 1 1180 Wien,,,,,https://firmen.wko.at/agnes-kratochwil/wien/?firmaid=f4ccbded-fd97-4013-a3bb-53dbfca965b0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
agoreal immobilien gmbh,Agoreal Immobilien GmbH,Agoreal Immobilien GmbH,1,wien,00028044-cbb5-4440-ade4-91a3071f1566,Wiesingerstraße 8/23 1010 Wien,,,agoreal@aon.at,01/512%2020%2000-0,https://firmen.wko.at/agoreal-immobilien-gmbh/wien/?firmaid=00028044-cbb5-4440-ade4-91a3071f1566&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
ahcm immobilienmanagement kg,AHCM Immobilienmanagement KG,AHCM Immobilienmanagement KG,1,salzburg,b5bcb7bf-e2f6-47eb-ab86-de955087c202,Hochlandstraße 23 5162 Obertrum am See,,,,,https://firmen.wko.at/ahcm-immobilienmanagement-kg/salzburg/?firmaid=b5bcb7bf-e2f6-47eb-ab86-de955087c202&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
ai alpenraum immobilien gmbh,AI Alpenraum Immobilien GmbH,AI Alpenraum Immobilien GmbH,1,tirol,b9e282a7-7512-4d00-a8f8-0a1409dd9d83,Weingarten 16 6122 Fritzens,,,,,https://firmen.wko.at/ai-alpenraum-immobilien-gmbh/tirol/?firmaid=b9e282a7-7512-4d00-a8f8-0a1409dd9d83&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
ai immobilienverwertung gmbh,AI Immobilienverwertung GmbH.,AI Immobilienverwertung GmbH.,2,oberösterreich | wien,d8d355d2-e516-4ab3-90e2-2d6ba243cc0c | 29660948-0048-400f-b18d-1f709830583a,Stahlstraße 2-4 4020 Linz | Thomas-Klestil-Platz 13 1030 Wien,http://www.apk.at/aiig,http://www.apk.at/aiig,aiig.immobilien@voest.co.at,+43%20(0732)%206585-3169,https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
aico service gmbh,AICO Service GmbH,AICO Service GmbH,1,kärnten,cda1677d-cbc0-45ae-98c4-6cc47eec1589,Johann-Offner-Straße 1 9400 Wolfsberg,,,,,https://firmen.wko.at/aico-service-gmbh/k%c3%a4rnten/?firmaid=cda1677d-cbc0-45ae-98c4-6cc47eec1589&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter
aigner hausverwaltung gmbh,Aigner Hausverwaltung GmbH,Aigner Hausverwaltung GmbH,1,oberösterreich,a48fbc8f-85a8-454d-b244-c52cf4c63b64,Sonnenweg 3 4820 Bad Ischl,,,,,https://firmen.wko.at/aigner-hausverwaltung-gmbh/ober%c3%b6sterreich/?firmaid=a48fbc8f-85a8-454d-b244-c52cf4c63b64&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter
ajas immo gmbh,AJAS - Immo GmbH,AJAS - Immo GmbH,1,vorarlberg,5ce60322-2f9d-4d9f-b56f-10b10b388afc,Kalkofenweg 6 6840 Götzis,,,,,https://firmen.wko.at/ajas-immo-gmbh/vorarlberg/?firmaid=5ce60322-2f9d-4d9f-b56f-10b10b388afc&standortid=8&standortname=vorarlberg%20%28bundesland%29&suchbegriff=immobilienverwalter
albin schwarz,Albin Schwarz,Albin Schwarz,1,steiermark,cf97c4bc-44cb-4e49-84b2-afa3d734130e,Hofgasse 8 8010 Graz,,,,,https://firmen.wko.at/albin-schwarz/steiermark/?firmaid=cf97c4bc-44cb-4e49-84b2-afa3d734130e&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
alexander georg frieders,Alexander Georg Frieders,Alexander Georg Frieders,1,wien,5500e6a1-8796-426e-a608-d11efb113a4d,Hörlgasse 18/6 1090 Wien,,,,,https://firmen.wko.at/alexander-georg-frieders/wien/?firmaid=5500e6a1-8796-426e-a608-d11efb113a4d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
alexander michael vollmann,Alexander Michael Vollmann,Alexander Michael Vollmann,1,wien,49d87944-0362-41ad-8d00-c2c24c783da8,Meytensgasse 16/5 1130 Wien,,,,,https://firmen.wko.at/alexander-michael-vollmann/wien/?firmaid=49d87944-0362-41ad-8d00-c2c24c783da8&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
alfons metzger hausverwaltung immobilien management gmbh,Alfons Metzger Hausverwaltung Immobilien Management GmbH,Alfons Metzger Hausverwaltung Immobilien Management GmbH,1,wien,26665eff-d512-444b-90cb-317fd16c7ef5,Gumpendorfer Straße 72 1060 Wien,,,,,https://firmen.wko.at/alfons-metzger-hausverwaltung-immobilien-management-gmbh/wien/?firmaid=26665eff-d512-444b-90cb-317fd16c7ef5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
alfred herbert fritz,Alfred Herbert Fritz,Alfred Herbert Fritz,1,wien,e82af938-7cb4-42eb-a066-0643f8f6c039,Feldgasse (Josefstadt) 3 1080 Wien,http://www.fritz-immobilien.at/,http://www.fritz-immobilien.at/,office@fritz-immobilien.at,(+43-1)%20890%2050%2000,https://firmen.wko.at/alfred-herbert-fritz-alfred-h-fritz-immobilien/wien/?firmaid=e82af938-7cb4-42eb-a066-0643f8f6c039&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
alfred matejka immobilienverwaltung gesellschaft m b h,Alfred Matejka Immobilienverwaltung Gesellschaft m.b.H.,Alfred Matejka Immobilienverwaltung Gesellschaft m.b.H.,1,wien,204a2358-cfd9-497f-a006-d3a96701f072,Getreidemarkt 14 1010 Wien,,,,,https://firmen.wko.at/alfred-matejka-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=204a2358-cfd9-497f-a006-d3a96701f072&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
alfred xaver kiesling,Alfred Xaver Kiesling,Alfred Xaver Kiesling,1,wien,c05027eb-3987-4922-94bd-68153edf98c6,Migschitzgasse 9 1230 Wien,http://www.kiesling-immobilien.at/,http://www.kiesling-immobilien.at/,alfred@kiesling-immobilien.at,06641645458,https://firmen.wko.at/alfred-xaver-kiesling-immobilien/wien/?firmaid=c05027eb-3987-4922-94bd-68153edf98c6&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
all suite resorts österreich gmbh,All-Suite Resorts - Österreich GmbH,All-Suite Resorts - Österreich GmbH,1,tirol,f3bcd5ba-b23a-4cbc-993a-9ea01057bed0,Örlachweg 4 6433 Oetz,,,,,https://firmen.wko.at/all-suite-resorts-%c3%96sterreich-gmbh/tirol/?firmaid=f3bcd5ba-b23a-4cbc-993a-9ea01057bed0&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter
allgemeine unfallversicherungs betriebsgesellschaft m b h auvb,Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB),Allgemeine Unfallversicherungs- Betriebsgesellschaft m.b.H.(AUVB),2,oberösterreich | salzburg,d2a87d3b-73a0-4d69-a8ab-428e273a2db3 | 3ec0cc34-2121-4266-b53a-1935ef943a98,Dr.-Franz-Rehrl-Platz 5 5020 Salzburg | Garnisonstraße 5 (AUVA Linz) 4020 Linz,,,,,https://firmen.wko.at/allgemeine-unfallversicherungs-betriebsgesellschaft-mbhauvb/salzburg/?firmaid=d2a87d3b-73a0-4d69-a8ab-428e273a2db3&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
alois köpf gmbh,Alois Köpf GmbH,Alois Köpf GmbH,1,wien,31818652-0c8b-4b5c-ad9c-0cad13636b4a,Schumanngasse 56/13 1170 Wien,,,,,https://firmen.wko.at/alois-k%c3%b6pf-gmbh/wien/?firmaid=31818652-0c8b-4b5c-ad9c-0cad13636b4a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
alpen real immobilien gmbh,Alpen Real Immobilien GmbH,Alpen Real Immobilien GmbH,2,oberösterreich | salzburg,9850b2d6-ba5c-4095-b8df-2b52f86737cf | 1ef757c7-9f93-4b70-96f1-060985c93aed,Nonntaler Hauptstraße 60 5020 Salzburg | Stadtplatz 9 4400 Steyr,,,,07252/45593-0,https://firmen.wko.at/alpen-real-immobilien-gmbh/salzburg/?firmaid=9850b2d6-ba5c-4095-b8df-2b52f86737cf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
alras immobilienmanagement und verwaltungs gmbh,Alras Immobilienmanagement und -verwaltungs GmbH,Alras Immobilienmanagement und -verwaltungs GmbH,1,wien,03e3157d-cafd-4fb9-88de-07da86c0b48c,Feldmühlgasse 22/6 1130 Wien,,,,,https://firmen.wko.at/alras-immobilienmanagement-und-verwaltungs-gmbh/wien/?firmaid=03e3157d-cafd-4fb9-88de-07da86c0b48c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
altmann partner immobilientreuhand gmbh,Altmann + Partner Immobilientreuhand GmbH,Altmann + Partner Immobilientreuhand GmbH,2,salzburg,139b9864-5667-476e-ba72-627f2f3ac5fe | b581c94d-f0a1-4ffa-b37d-ceda06f1d024,Lahntal 4 5751 Maishofen | Lahntal 121 5751 Maishofen,http://www.altmann-partner.at/,http://www.altmann-partner.at/,info@altmann-partner.at,+43%206542%2068262%200,https://firmen.wko.at/altmann-partner-immobilientreuhand-gmbh-altmann-partner/salzburg/?firmaid=139b9864-5667-476e-ba72-627f2f3ac5fe&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter
alwog allgemeine wohnbaugesellschaft m b h,Alwog-Allgemeine Wohnbaugesellschaft m.b.H.,Alwog-Allgemeine Wohnbaugesellschaft m.b.H.,1,steiermark,add5c503-f1ba-4b5e-9811-2c6c38d3cb6f,Naglergasse 10 8010 Graz,,,alwog@aon.at,+43%20(0316)%2032%2025%2039,https://firmen.wko.at/alwog-allgemeine-wohnbaugesellschaft-mbh/steiermark/?firmaid=add5c503-f1ba-4b5e-9811-2c6c38d3cb6f&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter
ambacher real estate gmbh,Ambacher Real Estate GmbH,Ambacher Real Estate GmbH,1,wien,1ff97577-93ea-4e64-b538-0843abd79b60,Stiglitzgasse 8 1130 Wien,http://www.ambacher.net/,http://www.ambacher.net/,eva.ambacher@ambacher.net,+43%20699%2010%2032%2072%2033,https://firmen.wko.at/ambacher-real-estate-gmbh-ambacher-real-estate-gmbh/wien/?firmaid=1ff97577-93ea-4e64-b538-0843abd79b60&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter
