company_name,wko_rows,states,places,karriere_url,karriere_name,karriere_match_score,karriere_emp_min,karriere_emp_max,karriere_employee_evidence,karriere_jobs,karriere_location_hit
Feldstein Immobilien GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,True
Fidelius Immobilien & Services GmbH,1,salzburg,5082 Grödig,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Franz Schnugg,1,salzburg,5020 Salzburg,https://www.karriere.at/f/franz-dax,Franz Dax GmbH,71.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Frieda Rustler Gebäudeverwaltung GmbH & Co KG,6,kärnten; oberösterreich; salzburg; steiermark; tirol; wien,1150 Wien | 4020 Linz | 5020 Salzburg | 6065 Thaur | 8010 Graz | 9020 Klagenfurt am Wörthersee,https://www.karriere.at/f/geb%C3%A4udeverwaltung-kienzl,Gebäudeverwaltung Kienzl GmbH,82.9,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Friedrich Zagler,1,salzburg,5162 Obertrum am See,https://www.karriere.at/f/sadleder-friedrich,Sadleder Friedrich KG,82.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,47,False
Friesacher Immobilien GmbH,1,salzburg,5081 Anif,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Gangl & Partner OG,1,salzburg,5081 Anif,https://www.karriere.at/f/s3-partner,S3+Partner KG,82.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,23,False
Gertraud Brigitte Ramerstorfer,1,salzburg,5023 Salzburg,,,,,,,,
GU Bauconsulting KG,1,salzburg,5020 Salzburg,https://www.karriere.at/f/hp-bauconsulting,HP Bauconsulting GmbH,89.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Ha-Part Immobilien GmbH,1,salzburg,5151 Nußdorf am Haunsberg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Happy Homes Plus GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/bi-plus,BI plus GmbH,72.7,11,30,Anzahl der Mitarbeiter*innen 11 - 30,23,True
Hartl & Partner Immobilientreuhand GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/hartl-kg,Hartl & Co KG,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,16,False
Haus & Grund Immobilien Management GmbH,2,oberösterreich; salzburg,4020 Linz | 5020 Salzburg,https://www.karriere.at/f/haus-grund-immobilien-management,Haus & Grund Immobilien Management GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
Hechenberger GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/hechenberger-g%C3%BCnter,Hechenberger Günter OG,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Helmut Berger Immobilien u. Hausverwaltungen GmbH,1,salzburg,5743 Krimml,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,False
Herbert Sampl,2,salzburg,0662 231096 | 5582 St.Michael/Lungau,https://www.karriere.at/f/herbert-baldia,Herbert Baldia KG,74.1,101,500,Anzahl der Mitarbeiter*innen 101 - 500,15,False
Hermann Rieß GmbH,1,salzburg,0664 44 25 368,https://www.karriere.at/f/regger-hermann,Regger Hermann,80.0,,,,0,False
HGB Immobilien GmbH,1,salzburg,5721 Piesendorf,https://www.karriere.at/f/b3-immobilien,B3 Immobilien GmbH,88.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
"HGI Handels-, Gewerbe- und Industrieplanungsgesellschaft m.b.H.",1,salzburg,5101 Bergheim,https://www.karriere.at/f/h-b-handels-gmbh,h & b handels gmbh,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,False
HLV Immobilien GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/uhl-immobilien,Uhl Immobilien GmbH,92.9,1,10,Anzahl der Mitarbeiter*innen 1 - 10,15,False
HVKA Hausverwaltung Kammerer GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
HVKA Home Value Kammerer GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/home-36,HOME 36 GmbH,72.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,True
HÖS Heimat Österreich Service GesmbH,1,salzburg,5102 Anthering,https://www.karriere.at/f/h%C3%B6s-heimat-%C3%B6sterreich-service,HÖS - Heimat Österreich Service GesmbH,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,False
I & Brand Immobilien OG,1,salzburg,5020 Salzburg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,True
IBT Verwaltung GmbH,1,salzburg,0662 882392 12,https://www.karriere.at/f/ibt-verwaltung-salzburg,IBT Verwaltung GmbH,100.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
IMMO - CONSULT Treuhand und Beratung GmbH,1,salzburg,5081 Anif,https://www.karriere.at/f/wl-consult,WL CONSULT GMBH,82.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,False
IMMO Oberndorfer Fazlali GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/oberndorfer,Oberndorfer GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
IMMO Schieferer GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/immo-oberndorfer-fazlali-schieferer,IMMO Oberndorfer Fazlali Schieferer GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Immo-Pro Immobilien GmbH,7,kärnten; salzburg; steiermark; tirol; wien,1010 Wien | 5020 Salzburg | 6020 Innsbruck | 6322 Kirchbichl | 8010 Graz | 8700 Leoben | 9500 Villach,https://www.karriere.at/f/immo-pro-immobilien-gmbh,ImmoPro Immobilien GmbH,97.3,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,True
Immobilien Kroy OG,1,salzburg,5020 Salzburg,https://www.karriere.at/f/kmr-immobilien,KMR Immobilien GmbH,89.7,,,,13,True
Immobilien Ortner KG,1,salzburg,0662 641 645,https://www.karriere.at/f/ortner,ORTNER GmbH,100.0,51,100,Anzahl der Mitarbeiter*innen 51 - 100,62,False
Immobilienbüro Franz F. Hofmann Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/franz-l%C3%B6schnig-gesellschaft,Franz Löschnig Gesellschaft m.b.H.,84.2,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,True
Immobilientreuhand Max Medig & Partner Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/s-a-immobilientreuhand,S&A Immobilientreuhand GmbH,91.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Immobilienverwaltung Schobesberger GmbH,1,salzburg,0043 (0)662 630093,https://www.karriere.at/f/iv-immobilienverwaltung,IV Immobilienverwaltung GmbH,93.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,False
IMMOVEWA GmbH,1,salzburg,5450 Werfen,,,,,,,,
Ingrid Ursula Kammerer,1,salzburg,5020 Salzburg,https://www.karriere.at/f/kammerer-andreas,Kammerer Andreas,68.4,1,10,Anzahl der Mitarbeiter*innen 1 - 10,23,True
IPC Project Consulting Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/wr-consulting,WR Consulting GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,True
IVM Immobilien Verwaltung & Management GmbH,1,salzburg,5204 Straßwalchen,https://www.karriere.at/f/ig-immobilien-management,IG Immobilien Management GmbH,93.3,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,False
Johann Grubinger Consulting e.U.,1,salzburg,5303 Thalgau,https://www.karriere.at/f/wr-consulting,WR Consulting GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,False
KAPPACHER-SELINA Hausverwaltung GmbH,1,salzburg,5600 St.Johann/Pongau,https://www.karriere.at/f/kappacher-selina-hausverwaltung-gmbh,KAPPACHER-SELINA Hausverwaltung GmbH,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,False
Klaus Josef Angerer,1,salzburg,5020 Salzburg,,,,,,,,
Klebl Immobilien GmbH,3,niederösterreich; salzburg; wien,1010 Wien | 2345 Brunn am Gebirge | 5020 Salzburg,https://www.karriere.at/f/k%C3%B6ll-immobilien,KÖLL Immobilien GmbH,90.3,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
KOHLFÜRST Consulting Ges.m.b.H.,1,salzburg,5400 Hallein,https://www.karriere.at/f/wr-consulting,WR Consulting GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,False
Leitgöb Hausverwaltung GmbH,2,salzburg,5020 Salzburg | 5760 Saalfelden,https://www.karriere.at/f/leitg%C3%B6b-hausverwaltung,Leitgöb Hausverwaltung GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Leopold Peer,1,salzburg,5020 Salzburg,https://www.karriere.at/f/tr%C3%BCnkel-leopold,Trünkel Leopold GmbH,73.7,101,500,Anzahl der Mitarbeiter*innen 101 - 500,5,False
Ludwig Haigermoser,1,salzburg,5400 Hallein,,,,,,,,
Mag. Eva Kaserer Immobilien und Hausverwaltung GmbH & Co. KG,1,salzburg,5020 Salzburg,https://www.karriere.at/f/mag-eva-kaserer-immobilien-hausverwaltung,Mag Eva Kaserer Immobilien & Hausverwaltung GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,10,True
Mag. Gerald Scharler,1,salzburg,5500 Bischofshofen,https://www.karriere.at/f/mag-harald-schuster,Mag. Harald Schuster,73.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,47,False
Mag. Klaus Winter,1,salzburg,5020 Salzburg,https://www.karriere.at/f/mag-klaus-berger-notar,Mag. Klaus Berger Notar,72.0,,,,47,True
Mag. Pia Christine Jacoby,1,salzburg,5020 Salzburg,,,,,,,,
Margret Maria Bergmann,1,salzburg,5630 Bad Hofgastein,https://www.karriere.at/f/c-bergmann,C. Bergmann KG,88.9,,,,2,False
Marlies Reitstätter,1,salzburg,5751 Maishofen,,,,,,,,
McArthurGlen Management Gesellschaft m.b.H.,2,burgenland; salzburg,5071 Wals-Siezenheim | 7111 Parndorf,https://www.karriere.at/f/mcarthurglen-management-parndorf,McArthurGlen Management Gesellschaft m.b.H.,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
mehr:wert Hausverwaltung GmbH,1,salzburg,5760 Saalfelden,https://www.karriere.at/f/isw-hausverwaltung,ISW Hausverwaltung GmbH,87.5,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
MERWEDE GmbH,1,salzburg,5743 Krimml,,,,,,,,
Niki Immobilien KG,1,salzburg,5061 Elsbethen,https://www.karriere.at/f/kir-immobilien,KIR Immobilien GmbH,89.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
"Norbert Sendlhofer, BA MSc MBA",1,salzburg,5452 Pfarrwerfen,https://www.karriere.at/f/sendlhofer-design,Sendlhofer Design GmbH,74.1,1,10,Anzahl der Mitarbeiter*innen 1 - 10,14,False
OM Objektmanagement GmbH,2,salzburg; wien,1100 Wien | 5020 Salzburg,https://www.karriere.at/f/om-objektmanagement,OM Objektmanagement GmbH,100.0,101,500,Anzahl der Mitarbeiter*innen 101 - 500,13,True
Optimus-Beteiligungsgesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/hawle-beteiligungsgesellschaft,Hawle Beteiligungsgesellschaft m.b.H.,90.9,,,,1,True
Paul Josef Herzog,1,salzburg,5760 Saalfelden,https://www.karriere.at/f/herzog-bau,Herzog Bau GesmbH,75.0,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,False
PFG Liegenschaftsbewirtschaftungs GmbH &Co KG,2,salzburg; wien,1010 Wien | 5071 Wals-Siezenheim,,,,,,,,
PM 8 GmbH,1,salzburg,5302 Henndorf am Wallersee,,,,,,,,
Poetsch Immobilien GmbH,3,oberösterreich; salzburg,4950 Altheim | 5020 Salzburg | 5321 Koppl,https://www.karriere.at/f/poetsch-immobilien,Poetsch Immobilien GmbH,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
Porsche Immobilien Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/porsche-immobilien,Porsche Immobilien Gesellschaft m.b.H.,100.0,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,True
PR Immobilien GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/pr-immobilien,PR Immobilien GmbH,100.0,,,,0,True
PRIMO IMMOBILIEN HAUSVERWALTUNG GESELLSCHAFT M.B.H.,1,salzburg,5081 Anif,https://www.karriere.at/f/primo,Primo GmbH,100.0,51,100,Anzahl der Mitarbeiter*innen 51 - 100,5,False
Real-Finanz-Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/ka-finanz,KA Finanz AG,80.0,101,500,Anzahl der Mitarbeiter*innen 101 - 500,10,True
Realbüro Dr. Schmid Gesellschaft m.b.H.,1,salzburg,5020 Salzburg,https://www.karriere.at/f/schmid-1913,Schmid 1913 GmbH,70.6,1,10,Anzahl der Mitarbeiter*innen 1 - 10,14,True
REMplus GmbH,1,salzburg,5733 Bramberg am Wildkogel,,,,,,,,
Reset Gruppe GmbH,1,salzburg,5600 Sankt Johann im Pongau,https://www.karriere.at/f/mf-gruppe,MF GRUPPE,80.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,False
RG Beteiligungs GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/zellulosed%C3%A4mmstoffproduktion-cph-beteiligungs-gmbh-co-kg,Zellulosedämmstoffproduktion CPH Beteiligungs GmbH & Co KG,88.9,1,10,Anzahl der Mitarbeiter*innen 1 - 10,15,False
Saalfeldner Bauträger GmbH,1,salzburg,5760 Saalfelden,https://www.karriere.at/f/s1-bautr%C3%A4ger,S1 Bauträger GmbH,85.7,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,False
Salzburg Wohnbau GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/salzburg-wohnbau,Salzburg Wohnbau GmbH,100.0,101,500,Anzahl der Mitarbeiter*innen 101 - 500,13,True
SCHNELLINGER Immobilientreuhänder GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/schnellinger-immobilientreuh%C3%A4nder-salzburg,SCHNELLINGER Immobilientreuhänder GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Schwaiger Planungs GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/p-p-planungs-gmbh-co-kg,P & P Planungs GmbH,72.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Schwarz Immobilientreuhand GmbH,1,salzburg,5202 Neumarkt am Wallersee,https://www.karriere.at/f/gmk-immobilientreuhand,GMK Immobilientreuhand GmbH,90.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
Selina Verwaltung und Gebäudemanagement GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/mc-geb%C3%A4udemanagement,MC Gebäudemanagement GmbH,91.9,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
SES Center Management GmbH,8,kärnten; niederösterreich; oberösterreich; salzburg; steiermark; tirol; wien,1190 Wien | 2700 Wiener Neustadt | 3500 Krems an der Donau | 4910 Ried im Innkreis | 5020 Salzburg | 6020 Innsbruck | 8041 Graz | 9500 Villach,https://www.karriere.at/f/ses-center-management-wiener-neustadt,SES Center Management GmbH,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,69,True
Sieglinde Zarnhofer,1,salzburg,5580 Tamsweg,,,,,,,,
SITUP Management KG,1,salzburg,5300 Hallwang,https://www.karriere.at/f/rk-management,rk-management GmbH,87.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,5,False
Steiner & Wanner Wohnbau Gesellschaft mbH,1,salzburg,5550 Radstadt,https://www.karriere.at/f/%C3%B6wg-wohnbau,ÖWG Wohnbau,77.8,101,500,Anzahl der Mitarbeiter*innen 101 - 500,13,False
Stiller & Hohla Immobilientreuhänder GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/stiller-hohla-immobilientreuh%C3%A4nder,Stiller & Hohla Immobilientreuhänder GmbH,100.0,101,500,Anzahl der Mitarbeiter*innen 101 - 500,13,True
Stricker Beteiligungs GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/shi-beteiligungs-gmbh,SHI Beteiligungs GmbH,85.7,,,,0,True
SWB Real GmbH,1,salzburg,5580 Tamsweg,https://www.karriere.at/f/sb-real,SB REAL GmbH,93.3,,,,1,False
TFM Bau GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/tfm-bau,TFM Bau GmbH,100.0,31,50,Anzahl der Mitarbeiter*innen 31 - 50,13,True
UK Immobilien GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,100.0,,,,0,True
VALENCE Residential Development GmbH,1,salzburg,5163 Mattsee,https://www.karriere.at/f/wk-development,WK Development GmbH,88.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
VerwaltungsGmbH Pruckner,2,oberösterreich; salzburg,4203 Altenberg bei Linz | 5020 Salzburg,https://www.karriere.at/f/felbermair-errichungs-verwaltungsgmbh,Felbermair Errichungs- & VerwaltungsgmbH,76.9,70,70,über 70 Mitarbeiter,69,True
VO & RMI Immobilien GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/uk-immobilien,UK Immobilien GmbH,87.0,,,,0,True
Voggenberger Immobilien GmbH,1,salzburg,5082 Grödig,https://www.karriere.at/f/voggenberger-immobilien,VOGGENBERGER Immobilien GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
WAG Wohnungsanlagen Gesellschaft m.b.H.,7,oberösterreich; salzburg; steiermark; wien,1100 Wien | 4400 Steyr | 5020 Salzburg | 8020 Graz | 8570 Voitsberg | 8750 Judenburg | 8793 Trofaiach,https://www.karriere.at/f/wag-wohnungsanlagen,WAG Wohnungsanlagen Gesellschaft m.b.H.,100.0,,,,9,True
Wohnpark Liefering GmbH,1,salzburg,5020 Salzburg,https://www.karriere.at/f/fc-liefering,FC Liefering GmbH,85.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,23,True
Wolff & Galen Immobilientreuhänder GmbH,1,salzburg,5026 Salzburg,https://www.karriere.at/f/jt-immobilientreuh%C3%A4nder,JT Immobilientreuhänder GmbH,93.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Wolfgang Strasser,1,salzburg,5340 Sankt Gilgen,https://www.karriere.at/f/strasser-co,Strasser GmbH & Co. KG,80.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,69,False
ÖBB-Immobilienmanagement Gesellschaft mbH,8,kärnten; niederösterreich; oberösterreich; salzburg; steiermark; tirol; wien,1020 Wien | 2700 Wiener Neustadt | 3100 St.Pölten | 4020 Linz | 5020 Salzburg | 6020 Innsbruck | 8020 Graz | 9500 Villach,https://www.karriere.at/f/zum-immobilienmanagement,ZUM Immobilienmanagement GmbH,90.9,11,30,Anzahl der Mitarbeiter*innen 11 - 30,13,True
"""Rottenmanner Bauträgergesellschaft"" Gesellschaft m.b.H.",1,steiermark,8786 Rottenmann,https://www.karriere.at/f/alt-neu-bautr%C3%A4gergesellschaft,Alt & Neu Bauträgergesellschaft mbH,77.8,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,False
111 gröbl wohnpark gösting entwicklungs gmbh,1,steiermark,8051 Graz,https://www.karriere.at/f/111-gr%C3%B6bl-wohnpark-g%C3%B6sting-entwicklungs-gmbh,111 gröbl wohnpark gösting entwicklungs gmbh,100.0,,,,13,True
ABM Real Estate GmbH,1,steiermark,8010 Graz,https://www.karriere.at/f/ivam-real-estate,IVAM Real Estate,90.3,1,10,Anzahl der Mitarbeiter*innen 1 - 10,13,True
Albin Schwarz,1,steiermark,8010 Graz,https://www.karriere.at/f/w-schwarz,W. Schwarz Gesellschaft m.b.H.,70.0,11,30,Anzahl der Mitarbeiter*innen 11 - 30,15,True
Alwog-Allgemeine Wohnbaugesellschaft m.b.H.,1,steiermark,8010 Graz,https://www.karriere.at/f/gemeinn%C3%BCtzige-wohnbaugesellschaft-villach-villach,Gemeinnützige Wohnbaugesellschaft mbH Villach,72.3,51,100,Anzahl der Mitarbeiter*innen 51 - 100,13,True
AMON GmbH,1,steiermark,8020 Graz,https://www.karriere.at/f/wilhelm-amon,AMON'S DELICIOUS CATERING GmbH,100.0,1,10,Anzahl der Mitarbeiter*innen 1 - 10,2,True
Anna Isabella Hoffmann-Gudehus,1,steiermark,8042 Graz,https://www.karriere.at/f/hoffmann-group,Hoffmann Group,72.7,1,10,Anzahl der Mitarbeiter*innen 1 - 10,69,True
Anton Wolfgang Habersack,1,steiermark,8670 Krieglach,,,,,,,,
APIS Immobilienservice e.U.,1,steiermark,8062 Kumberg,https://www.karriere.at/f/p17-immobilienservice,P17 Immobilienservice GmbH,89.5,,,,0,False
