company_name,website,domain,http_status,pages_crawled,employee_best_numeric_mention,employee_evidence_contexts,mentions_count
Anker - Immobilien Gesellschaft m.b.H.,http://www.anker-immobilien.at/de/home,anker-immobilien.at,200,https://www.anker-immobilien.at:443/home | https://www.anker-immobilien.at:443/#unternehmen | https://www.anker-immobilien.at:443/home#team,,,0
Anna Isabella Hoffmann-Gudehus,http://www.hoffmann-immobilien.at/,hoffmann-immobilien.at,200,https://hoffmann-immobilien.at/ | https://hoffmann-immobilien.at/unternehmen/,,,0
AP Immobilienberatung GmbH,http://www.ap-immobilien.at/,ap-immobilien.at,ERR,,,,0
APCOA Austria GmbH,http://www.apcoa.at/,apcoa.at,200,https://www.apcoa.at/ | https://www.apcoa.at/karriere,5000,"5000 [exact] https://www.apcoa.at/karriere :: fältig wie die Welt des Parkens. Ob Parking, Charging, Technology oder Urban Solutions: Bei APCOA findet jeder seinen Platz. Als Europas Mobilitätsdienstleister Nr. 1 bewirtschaften wir mit 5.000 Mitarbeiter:innen in 12 europäischen Ländern über 1,6 Millionen Stellplätze an mehr als 13.000 Standorten. Wir bauen bei APCOA eine Kultur auf, in der wir gemeinsam wachsen und großartige Menschen (wie du) i",1
Apleona Real Estate AT GmbH,https://www.realestate.apleona.at/,realestate.apleona.at,,,,,0
APPM - PROPERTY MANAGEMENT GMBH,http://www.hv13.at/,hv13.at,200,https://www.hv13.at/,,,0
AREALIS Liegenschaftsmanagement GmbH,http://www.arealis.at/,arealis.at,200,https://www.arealis.at/en/startseite-en/ | https://www.arealis.at/en/jobs-en/ | https://www.arealis.at/en/company/,,,0
Arealita Immobilientreuhand und Sachverständigen GmbH,https://www.arealita.at/,arealita.at,200,https://www.arealita.at/ | https://www.arealita.at/jobs/ | https://www.arealita.at/ueber-uns/,,,0
AREV Immobilien Gesellschaft m.b.H.,http://www.arev.at/,arev.at,200,https://www.arev.at/ | https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt | https://www.arev.at/aktuell/weihnachtsfeier-2025 | https://www.arev.at/aktuell/punschtrinken-in-der-europaeischen-weihnachtsstadt | https://www.arev.at/ueber-uns | https://www.arev.at/karriere,70,"70 [exact] https://www.arev.at/aktuell/langjaehrige-mitarbeiter-innen-wurden-geehrt :: m Innkreis zusammen, um im Restaurant Alexandra exklusiv und ausgiebig Weihnachten zu feiern. Die AREV ist stolz darauf, so viele langjährige Mitarbeiter:innen in ihren Reihen zu haben! Von 70 Mitarbeiter:innen durften wir alleine in 2025 zwölf Kolleg:innen ehren für ihre langjährige Tätigkeit bei der AREV: 5 Jahre Teil des Teams sind: Florian Frauenhuber Bianca Graf Jelena Nedic Lukas Radlinger 1",1
AREVIT Immobilien-Development GmbH,http://www.arevit.at/,arevit.at,ERR,,,,0
ARIGHO Immobilien OG,http://www.arigho.at/,arigho.at,200,https://www.arigho.at/ | https://www.arigho.at/index.php/geschichte | https://www.arigho.at/index.php/team,,,0
ART Immobilien e.U.,http://www.art-immobilien.at/,art-immobilien.at,200,https://www.art-immobilien.at:443/ | https://www.art-immobilien.at:443/team | https://www.art-immobilien.at:443/ueber-uns | https://www.art-immobilien.at:443/karriere,,,0
ARTEX Immobilien GmbH,https://www.artex-immobilien.at/,artex-immobilien.at,200,https://www.artex-immobilien.at/ | https://www.artex-immobilien.at/unternehmen/team,,,0
ARWAG Immobilientreuhand Gesellschaft m.b.H.,http://www.arwag.at/,arwag.at,200,https://www.arwag.at/ | https://www.arwag.at/ueber-uns/ | https://www.arwag.at/ueber-uns/#jobs,,,0
Aschbacher Immobilientreuhänder OG,http://www.aschbacher-immobilien.at/,aschbacher-immobilien.at,200,https://www.aschbacher-immobilien.at/de/willkommen | https://www.aschbacher-immobilien.at/de/ueber-uns,,,0
at home Immobilien-GmbH,http://www.at-home.co.at/,at-home.co.at,200,https://athome.at/ | https://athome.at/ueber-uns/,,,0
AUREA Hausverwaltung KG,http://www.aurea-hausverwaltung.at/,aurea-hausverwaltung.at,200,https://www.aurea-hausverwaltung.at/,,,0
Avon Immobilien GmbH,https://www.avon-immobilien.at/,avon-immobilien.at,200,https://avon-immobilien.at/ | https://avon-immobilien.at/team/,,,0
Barbara Lipovsky,http://www.ihrpartner.eu/,ihrpartner.eu,ERR,,,,0
Barbara Rappitsch,https://www.immohaus-wolfsberg.at/,immohaus-wolfsberg.at,200,https://www.immohaus-wolfsberg.at/ | https://www.immohaus-wolfsberg.at/uber-uns | https://www.immohaus-wolfsberg.at/team,,,0
Barta Immobilientreuhand GmbH,http://www.kib.at/barta/,kib.at,,,,,0
Bauland Immobilienhandels & Verwaltungsgesellschaft m.b.H.,http://www.bauland-immobilien.at/,bauland-immobilien.at,200,https://www.bauland-immobilien.com/ | https://www.bauland-immobilien.com/ueber-uns/,,,0
BAUMEGGER UND PARTNER OG,http://www.immobilien-baumegger.at/,immobilien-baumegger.at,200,https://www.immobilien-baumegger.at/ | https://www.immobilien-baumegger.at/about/,,,0
be real Immobilienmanagement GmbH,http://www.bereal-immobilien.at/,bereal-immobilien.at,200,https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/unternehmensservice | https://www.bereal-immobilien.at/karriere | https://www.bereal-immobilien.at/team,,,0
Bernhard & Töchter Immobilien GmbH,http://www.immo-bernhard.at/,immo-bernhard.at,200,https://immo-bernhard.at/,,,0
Best in Parking Garagen GmbH & Co KG,http://www.bestinparking.at/,bestinparking.at,200,https://www.bestinparking.com/en/at | https://www.bestinparking.com/en/group/company | https://career.bestinparking.com/stellenangebote.html,,,0
Bettina Thurner,https://thurner-verwaltung.at/,thurner-verwaltung.at,200,https://thurner-verwaltung.at/,,,0
Bewog Immobilien Gesellschaft m.b.H.,http://www.bewog.at/,bewog.at,200,https://bewog.at/ | https://bewog.at/uber-uns/ | https://bewog.at/team/ | https://bewog.at/jobs-2/,14,"14 [exact] https://bewog.at/uber-uns/ :: it über 30 Jahren kümmert sich BEWOG Immobilien um seine Kundinnen und Kunden Wichtige Milestones Aktuell betreut BEWOG Immobilien 220 Objekte mit 230.000 Quadratmetern Fläche. Das Team mit 14 MitarbeiterInnen verwaltet klassische Wiener Zinshäuser, Neubauten, Gewerbeimmobilien sowie Eigentumswohnungen. 2022 Im November bezieht das Team von BEWOG Immobilien das neue Innenstadtbüro in der Kantgass",1
Birgit Reingruber,https://www.immobilien-hausverwaltung.at/,immobilien-hausverwaltung.at,200,https://www.immobilien-hausverwaltung.at/,,,0
Birgit Waibel,https://waibel-immobilien.at/,waibel-immobilien.at,200,https://waibel-immobilien.at/at/index.php,,,0
Bischof Immobilien Ges.m.b.H.,http://www.ibi.at/,ibi.at,200,https://ibi-immobilien.at/ | https://ibi-immobilien.at/team/,,,0
Bischof Immobilien GmbH,http://www.bischofimmo.at/,bischofimmo.at,200,https://www.bischofimmo.at/ | https://www.bischofimmo.at/ueber-uns/,,,0
Bittendorfer Immobilien e. U.,http://www.bittendorfer.at/,bittendorfer.at,200,https://bittendorfer.at/ | https://bittendorfer.at/ueber-uns/ | https://bittendorfer.at/team/ | https://bittendorfer.at/ueber-uns/ | https://bittendorfer.at/team/,,,0
BKS Immobilien-Service Gesellschaft m.b.H.,http://www.bks-immo.at/,bks-immo.at,ERR,,,,0
BOE Baumanagement Gesellschaft m.b.H.,https://www.boe.at/,boe.at,200,https://www.boe.at/ | https://www.boe.at/offene-stellen/ | https://www.boe.at/ueber-uns/,,,0
BOE Gebäudemanagement Gesellschaft m.b.H.,http://www.boe-parking.at/,boe-parking.at,200,https://www.boe-parking.at/,,,0
Brehm Immobilien GmbH,https://www.brehm-immobilien.at/,brehm-immobilien.at,200,https://www.brehm-immobilien.at/ | https://www.brehm-immobilien.at/immobilienmakler-wien-brehm/ | https://www.brehm-immobilien.at/job-openings/,2018,4 [exact] https://www.brehm-immobilien.at/immobilienmakler-wien-brehm/ :: konzessionierten Baumeistergewerbes 2014 Gründung der Brehm Immobilien Gmbh und Eintritt von den ersten beiden Mitarbeiterinnen in das Unternehmen 2015 Vergrößerung des Teams auf insgesamt 4 Mitarbeiterinnen 2018 Verstärkung des Wohnungssanierungsbereichs 2019 Neben dem Wohnungsverkauf verstärken wir unser Engagement auch in der Wohnungsanierung und professionellen Einreichplanung von Wohnungen || 2018 [exact] https://www.brehm-immobilien.at/immobilienmakler-wien-brehm/ :: onzessionierten Baumeistergewerbes 2014 Gründung der Brehm Immobilien Gmbh und Eintritt von den ersten beiden Mitarbeiterinnen in das Unternehmen 2015 Vergrößerung des Teams auf insgesamt 4 Mitarbeiterinnen 2018 Verstärkung des Wohnungssanierungsbereichs 2019 Neben dem Wohnungsverkauf verstärken wir unser Engagement auch in der Wohnungsanierung und professionellen Einreichplanung von Wohnungen. Bei,2
Bressan Immobilien GmbH,http://www.bressan-immobilien.at/,bressan-immobilien.at,200,https://www.bressan-immobilien.at/ | https://www.bressan-immobilien.at/about/,,,0
Brichard Immobilien GmbH,http://www.brichard.at/,brichard.at,200,https://www.brichard.at/ | https://www.brichard.at/ueber-uns/ | https://www.brichard.at/ueber-uns/team/ | https://www.brichard.at/ueber-uns/firmengeschichte/ | https://www.brichard.at/ueber-uns/karriere-jobangebote/ | https://www.brichard.at/great-place-to-work-2025-team-macht-den-unterschied/,49,"49 [exact] https://www.brichard.at/ueber-uns/team/ :: es Wettbewerbs „Great Place to Work“ werden jährlich die jeweils besten Arbeitgeber eines Landes ausgezeichnet. Brichard Immobilien wurde bereits 2013, in der Kategorie Kleinunternehmen (20-49 Mitarbeiter), als erstes Immobilienunternehmen Wiens, für seine Leistungen im Bereich Personal ausgezeichnet. Im Jahr 2018 erreichten wir sogar den 1. Platz österreichweit. Am 7. April 2020 durften wir || 45 [exact] https://www.brichard.at/ueber-uns/team/ :: , was gerade in einem Dienstleistungsunternehmen besonders wichtig ist. Teamgeist und Weiterbildung – für eine gute Hausverwaltung selbstverständlich Der Verantwortungsbereich der insgesamt 45 Mitarbeiterinnen und Mitarbeiter ist großzügig abgesteckt. Damit wird das Selbstwertgefühl gestärkt und die Qualität der Arbeit massiv verbessert. Werte wie Glaubwürdigkeit, Respekt, Fairness, Stolz und Tea || 10 [exact] https://www.brichard.at/great-place-to-work-2025-team-macht-den-unterschied/ :: ernehmenskultur Starke Führung & klare Vision Agile Innovations- & Fehlerkultur Mitarbeiterbindung & Talentförderung Engagement & Nachhaltigkeit Während im Österreich-Durchschnitt nur 5 von 10 Beschäftigten gerne zur Arbeit kommen, sind es bei den Besten Arbeitgebern 9 von 10 Mitarbeitenden.“ Quelle: Great Place to Work Österreich, Blogartikel „Österreichs Beste Arbeitgeber 2025 – Mit ausgezei",3
Brugger & Brugger ImmoConsulting GmbH,https://www.immo-consulting.at/,immo-consulting.at,200,https://www.immo-consulting.at/ | https://www.immo-consulting.at/ueber-uns/,,,0
Brun Immobilien GmbH & Co KG,https://immobilien.brun.at/,immobilien.brun.at,,,,,0
BS Real 360 GmbH,https://www.bsreal.at/,bsreal.at,200,https://www.bsreal.at/,,,0
Bundesimmobiliengesellschaft m.b.H.,http://www.big.at/,big.at,200,https://www.big.at/ | https://www.big.at/ueber-uns | https://www.big.at/ueber-uns/geschichte-zukunft | https://www.big.at/presse-news/kurzprofil | https://www.big.at/karriere | https://www.big.at/karriere/die-big-als-arbeitgeberin,1200,"1200 [over] https://www.big.at/presse-news/kurzprofil :: des Landes. Das Portfolio der BIG umfasst Universitäten, Schulen und Spezialimmobilien, in der ARE sind Büro-, Gewerbe- und Wohnobjekte gebündelt. Insgesamt beschäftigt der Konzern aktuell über 1.200 Mitarbeiter*innen. Wirtschaftsstandort Österreich* INVESTITIONEN PRO JAHR IN MIO. EUR 0 ARBEITSPLÄTZE 0 WERTSCHÖPFUNG IN ÖSTERREICH IN MIO. EUR 0 BEAUFTRAGTE UNTERNEHMEN BAUBRANCHE 0 * Quelle: Wirtschaftsfor || 1200 [exact] https://www.big.at/presse-news/kurzprofil :: Landes. Das Portfolio der BIG umfasst Universitäten, Schulen und Spezialimmobilien, in der ARE sind Büro-, Gewerbe- und Wohnobjekte gebündelt. Insgesamt beschäftigt der Konzern aktuell über 1.200 Mitarbeiter*innen. Wirtschaftsstandort Österreich* INVESTITIONEN PRO JAHR IN MIO. EUR 0 ARBEITSPLÄTZE 0 WERTSCHÖPFUNG IN ÖSTERREICH IN MIO. EUR 0 BEAUFTRAGTE UNTERNEHMEN BAUBRANCHE 0 * Quelle: Wirtschaftsfor",2
BUWOG - Bauen und Wohnen Gesellschaft mbH,http://www.buwog.at/,buwog.at,200,https://www.buwog.at/ | https://karriere.buwog.at/,,,0
BUWOG Süd GmbH,http://www.esg-villach.at/,esg-villach.at,ERR,,,,0
BUX Hausverwaltung GmbH,https://www.bux-hausverwaltung.at/,bux-hausverwaltung.at,200,https://www.bux-hausverwaltung.at/ | https://www.bux-hausverwaltung.at/team-philosophie/,,,0
CBRE GmbH,http://www.cbre.at/,cbre.at,200,https://www.cbre.at/ | https://www.cbre.at/careers | https://www.cbre.at/ueber-uns/kultur-und-geschichte | https://www.cbre.at/ueber-uns,155000,"155000 [exact] https://www.cbre.at/ueber-uns :: heutige Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstütz || 90 [exact] https://www.cbre.at/ueber-uns :: Entscheidungen bis hin zur Neugestaltung der Räume von morgen – wir entfalten unser Potenzial in komplexen und sich ständig verändernden Umgebungen. 600 Niederlassungen 100+ Länder 155.000 Mitarbeiter:innen 90+ Fortune 100-Kund:innen Mit umfassender Marktkenntnissen , erstklassigen Daten und eigener Technologie, können wir mit unserer multidimensionalen Perspektive Unternehmen dabei unterstützen,",2
CCI Immobilienentwicklung GmbH,http://www.forliving.at/,forliving.at,200,https://www.forliving.at:443/ | https://www.forliving.at:443/unternehmen,,,0
CHORA Immobilienverwaltung GmbH,http://www.chora.at/,chora.at,200,https://chora.at/ | https://chora.at/ueber-uns/,,,0
"Christian Kaspar, MSc MEng",https://mission2zero.eu/,mission2zero.eu,200,https://mission2zero.at,,,0
Christian Peter Hammerl,http://www.ith.co.at/,ith.co.at,200,https://www.ith.co.at// | https://www.ith.co.at/content/firmenprofil.aspx,,,0
Christian Stefan Kutrowatz,http://www.kutrowatz.at/,kutrowatz.at,200,http://kutrowatz.at/,,,0
Christiane Höscheler,https://www.hoescheler-immobilien.at/,hoescheler-immobilien.at,200,https://hoescheler-immobilien.at/ | https://hoescheler-immobilien.at/info/,,,0
City Real Immobilien Vermittlungs- und Verwaltungsgesellschaft m.b.H.,http://www.cityreal.at/,cityreal.at,,,,,0
COLLIERS Immobilienverwaltung GmbH,https://www.colliers.com/de-at/dienstleistungen/property-management-services,colliers.com,200,https://www.colliers.com/de-at/dienstleistungen/property-management-services | https://www.colliers.com/de-at/team | https://www.colliers.com/de-at/about | https://www.colliers.com/de-at/careers | https://www.colliers.com/de-at/team/hannes-ruff | https://www.colliers.com/de-at/team/camilla-ruff,,,0
CURA Immobilien OG,http://www.curaimmo.at/,curaimmo.at,200,https://www.curaimmo.at/ | https://www.curaimmo.at/team/,,,0
Daria Marlene Sieber,http://www.sieber-hausverwaltung.at/,sieber-hausverwaltung.at,200,https://www.sieber-hausverwaltung.at/,,,0
Daum Immobilien GmbH,http://www.daum-immobilien.at/,daum-immobilien.at,200,https://www.daum-immobilien.at/ | https://www.daum-immobilien.at/das-unternehmen/ | https://www.daum-immobilien.at/jobs/,,,0
"Delta Immobilien - Verwaltungs-, Verwertungs- und Vermittlungsgesellschaft m.b.H.",http://www.delta-immobilien.at/,delta-immobilien.at,200,https://delta-immobilien.at/ | https://delta-immobilien.at/team/ | https://delta-immobilien.at/karriere/ | https://delta-immobilien.at/delta-immobilien-ihre-verlaessliche-hausverwaltung-in-wien-und-in-graz/ | https://delta-immobilien.at/karriere/,,,0
DENZEL Immobilien GmbH,http://www.denzel-immobilien.at/,denzel-immobilien.at,200,https://www.denzel-immobilien.at/ | https://www.denzel-immobilien.at/hier-finden-sie-die-richtigen-ansprechpartnerinnen-fuer-ihre-anliegen,,,0
Desiree Kröpl,http://dk-immobilien.at/,dk-immobilien.at,200,https://www.dk-immobilien.at/ | https://www.dk-immobilien.at/firma/kontakt/,,,0
DeZt Immobilien Real Estate Management GmbH,http://www.dezt.at/,dezt.at,200,https://dezt.de/ | https://dezt.de/werde-teil-des-teams/,,,0
DHS Immobilien GmbH,https://www.dhs-immobilien.at/,dhs-immobilien.at,200,https://www.dhs-immobilien.at/,,,0
DI Czerny Immobilien GmbH,http://www.czerny-immobilien.at/,czerny-immobilien.at,200,https://www.czerny-immobilien.at/ | https://www.czerny-immobilien.at/unternehmen-2,,,0
Die Hausverwalter Pro Immo GesmbH,http://www.diehausverwalter.at/,diehausverwalter.at,200,https://diehausverwalter.at/ | https://diehausverwalter.at/team/,,,0
Die Maklerei Immobilien GmbH,http://www.diemaklerei.immo/,diemaklerei.immo,200,https://www.diemaklerei.immo/ | https://www.diemaklerei.immo/ueber-uns,,,0
DIGI Real Holding GmbH,http://www.digiland1.com/,digiland1.com,200,https://digiland1.com/,,,0
"Dipl.-Ing. Heinrich Eller, MSc",http://eller.eu/,eller.eu,ERR,,,,0
Dipl.-Ing. Reinhard Josef Stockinger,http://www.stockinger-bau.at/,stockinger-bau.at,200,http://www.stockinger-bau.at/,,,0
Dipl.-Ing. Roland Spieß,http://immo.spiess-vienna.at/,immo.spiess-vienna.at,ERR,,,,0
Dkfm. Dr. Stefan Duschek,http://www.duschek.at/,duschek.at,200,https://duschek.at/,,,0
Dkfm. Viktor Maier & Dr. Peter Maier Gesellschaft m.b.H.,http://www.hausverwalter.at/,hausverwalter.at,200,https://www.hausverwalter.at/,,,0
DMK Immobilien GmbH,https://www.dmk-immo.at/,dmk-immo.at,200,https://www.dmk-immo.at/,,,0
Domizil Immobilientreuhänder GmbH,http://www.michelatsch.at/,michelatsch.at,200,http://www.michelatsch.at/ | http://www.michelatsch.at/unternehmen/philosophie/ | http://www.michelatsch.at/unternehmen/philosophie/ | http://www.michelatsch.at/unternehmen/bm-michelatsch/ | http://www.michelatsch.at/unternehmen/die-michelatsch-gruppe/ | http://www.michelatsch.at/unternehmen/infos-formulare/,,,0
DOMUS IMMOBILIEN KG,http://www.domus-immo.at/,domus-immo.at,200,https://www.domus-immo.at | https://www.domus-immo.at/ueber-uns | https://www.domus-immo.at/karriere,,,0
Donau Realitäten GmbH,http://www.donau-chemie.com/,donau-chemie.com,200,https://www.donau-chemie.com/de | https://www.donau-chemie.com/de/unternehmen/ueber-uns,,,0
Doris Etzelsdorfer,http://www.immobilien-fleck.at/,immobilien-fleck.at,200,https://www.immobilien-fleck.at/ | https://www.immobilien-fleck.at/ueber-uns.html,,,0
Doris Machold,http://www.machold-hausverwaltung.at/,machold-hausverwaltung.at,200,http://www.machold-hausverwaltung.at/,,,0
Dr. Alexandra Gabriel Realitätenvermittlungsgesellschaft m.b.H.,http://www.gabriel.at/,gabriel.at,200,https://www.gabriel.at:443/ | https://www.gabriel.at:443/unternehmen,,,0
Dr. Andrea Hinteregger,http://www.hinteregger-real.at/,hinteregger-real.at,200,https://hinteregger-real.at/ | https://hinteregger-real.at/team-kontakt/,,,0
Dr. Böck Immobilien Treuhand GmbH,http://www.hausverwaltung-boeck.at/,hausverwaltung-boeck.at,200,https://www.hausverwaltung-boeck.at/ | https://www.hausverwaltung-boeck.at/ueber-uns-team/,,,0
Dr. Eric Agstner,http://www.agstner.at/,agstner.at,200,http://www.agstner.at/ | http://www.agstner.at/team.html,,,0
Dr. Friedrich Noszek GmbH,http://www.immo-noszek.at/,immo-noszek.at,ERR,,,,0
Dr. iur. Klemens Braunisch,http://www.reescd.at/,reescd.at,200,https://reescd.at/ | https://reescd.at/#unternehmensberater,,,0
"Dr. Moll & Punt OHG,Immobilienverwaltung OHG",http://www.mollundpunt.at/,mollundpunt.at,ERR,,,,0
Dr. Neller Immobilien Consulting GmbH.,http://www.neller-immo.at/,neller-immo.at,200,https://www.neller-immo.at/ | https://www.neller-immo.at/neller/de/ueberuns | https://www.neller-immo.at/neller/de/ueberuns/standorteteams | https://www.neller-immo.at/neller/de/ueberuns/jobs,,,0
Dr. Robert Semelmayer KG,http://www.semelmayer.at/,semelmayer.at,,,,,0
"Dr. Roell Hausverwaltungs-, Baubetreuungs- und Realitätengesellschaft m.b.H.",http://www.roell.at/,roell.at,200,https://roell.at/ | https://roell.at/team/ | https://roell.at/die-kanzlei/,,,0
"Dr. Rudolf Galler, Immobilientreuhand GmbH",http://www.dr-galler.at/,dr-galler.at,200,https://www.dr-galler.at/,,,0
DS Realtreuhand GmbH,http://www.ds-realtreuhand.at/,ds-realtreuhand.at,200,https://www.ds-realtreuhand.at/ | https://www.ds-realtreuhand.at/ueber-uns.html | https://www.ds-realtreuhand.at/ueber-uns/jobs.html | https://www.ds-realtreuhand.at/vermittlung/suchprofil-erstellen.html,,,0
Dörfler Hausverwaltung GmbH,http://www.doerfler-immobilien.at/,doerfler-immobilien.at,200,https://doerfler-immobilien.at/,,,0
EDR Immobilienverwaltung GmbH,http://www.edr.or.at/,edr.or.at,200,https://www.edr.or.at/,,,0
Egger Estate Management GmbH,https://www.eggerem.at/,eggerem.at,200,https://eggerem.at/ | https://eggerem.at/Team,,,0
Eigentum Immobilienverwaltungs Gesellschaft m.b.H.,http://www.eiv.at/,eiv.at,200,https://www.eiv.at/ | https://www.eiv.at/ueber-uns/team,,,0
ELAG Immobilien AG,https://www.elag.at/,elag.at,200,https://www.elag.at/ | https://www.elag.at/site/de/unternehmen,,,0
Eleon Immobilien Management e.U.,https://eleon.at/,eleon.at,200,https://www.eleon.at/ | https://www.eleon.at/#ueber-uns,,,0
Elfriede Erlach,http://www.hverlach.at/,hverlach.at,200,https://www.hverlach.at/ | https://www.hverlach.at/ueber-uns/,,,0
EPI Erich Podstatny e.U.,http://www.epi.co.at/,epi.co.at,200,https://www.epi.co.at:443/ | https://www.epi.co.at:443/geschichte | https://www.epi.co.at:443/team | https://www.epi.co.at:443/karriere,9,9 [exact] https://www.epi.co.at:443/geschichte :: ensphilosophie haben wir uns zu einem zentralen Immobiliendienstleister in Österreich entwickelt. Die Gruppe besitzt über 40 eigene Liegenschaften in Wien und Wien Umgebung. Derzeit bewegen 9 Mitarbeiter Immobilien. Impressum | Datenschutz | Website powered by Justimmo / Immobiliensoftware und Maklerwebsites Cookie Einstellungen Wir verwenden Cookies um Einstellungen zu speichern. Nähere In,1
Erich Rist Gesellschaft m.b.H.,http://iws-rist.at/,iws-rist.at,200,https://www.iws-rist.at/ | https://www.iws-rist.at/unternehmen.htm | https://www.iws-rist.at/team.htm,,,0
Ernst Karl Plech,http://www.plech.at/,plech.at,200,https://www.plech.at:443/ | https://www.plech.at:443/ueber-uns | https://www.plech.at:443/kontakt,,,0
Erste Group Immorent GmbH,https://www.erstegroupimmorent.com/,erstegroupimmorent.com,200,https://www.erstegroupimmorent.com/de/home | https://www.erstegroupimmorent.com/de/home#ueber-uns,,,0
Essam Faltas,http://www.faltas.at/,faltas.at,200,https://www.faltas.at/,,,0
"Europe Holding Investing, Managing & Participating GmbH",http://www.europe-holding.eu/,europe-holding.eu,200,http://www.europe-holding.eu/ | http://www.europe-holding.eu/index.php/ueber-uns | http://www.europe-holding.eu/index.php/ueber-uns/geschichte | http://www.europe-holding.eu/index.php/ueber-uns/teamstaerke,,,0
"Europe Plan Architects, Engineers & Experts GmbH",http://www.europe-plan.eu/,europe-plan.eu,200,https://www.europe-plan.eu/,,,0
"Europe Real Consulting, Developing & Marketing GmbH",http://www.europe-real.eu/,europe-real.eu,200,https://www.europe-real.eu:443/ | https://www.europe-real.eu:443/ueber-uns | https://www.europe-real.eu:443/geschichte,,,0
Facima Immobilien Management GmbH,http://www.facima.at/,facima.at,200,https://www.facima.at/,,,0
Falkner & Payr Immobilien OG,http://www.fpimmo.at/,fpimmo.at,200,https://fpimmo.at/ | https://fpimmo.at/about/,,,0
FAPO Immobilien Consulting GmbH,https://fapo.immobilien/,fapo.immobilien,200,https://www.fapo.immobilien/,,,0
Faritsch Immobilien GmbH & Co KG,http://www.immo-faritsch.at/,immo-faritsch.at,200,https://www.grafimmotreuhand.at/ | https://www.grafimmotreuhand.at/,,,0
Favorite Immobilientreuhand GmbH,http://www.favorite-immo.at/,favorite-immo.at,200,https://www.favorite-immo.at/ | https://www.favorite-immo.at/team,,,0
Fellmann Liegenschaftsverwaltungs GmbH,http://www.fellmann.at/,fellmann.at,200,https://fellmann.at/ | https://fellmann.at/#unserTeam,,,0
Ferdinand Stubenvoll,http://www.stubenvollimmobilien.at/,stubenvollimmobilien.at,200,https://www.stubenvollimmobilien.at:443/ | https://www.stubenvollimmobilien.at:443/unternehmen | https://www.stubenvollimmobilien.at:443/team,,,0
Findler & Span Immobilientreuhand GmbH,http://www.findler-span.at/,findler-span.at,200,https://www.findler-span.at | https://www.findler-span.at/team,,,0
Florian Franz Helmut Apfelbeck,https://apfelbeck-verwaltung.at/,apfelbeck-verwaltung.at,200,https://apfelbeck-verwaltung.at/ | https://apfelbeck-verwaltung.at/#ueber-uns,,,0
