candidate_key,company_name,states,places,websites,wko_urls,search_hits,relevant_hits,max_employee_signal,max_relevant_employee_signal,strong_31plus_signals,strong_30_or_below_signals,evidence_1_score,evidence_1_source_score,evidence_1_url,evidence_1_title,evidence_1_snippet,evidence_1_employee_signals,evidence_2_score,evidence_2_source_score,evidence_2_url,evidence_2_title,evidence_2_snippet,evidence_2_employee_signals,evidence_3_score,evidence_3_source_score,evidence_3_url,evidence_3_title,evidence_3_snippet,evidence_3_employee_signals,evidence_4_score,evidence_4_source_score,evidence_4_url,evidence_4_title,evidence_4_snippet,evidence_4_employee_signals,evidence_5_score,evidence_5_source_score,evidence_5_url,evidence_5_title,evidence_5_snippet,evidence_5_employee_signals
sped_04f2e87346c92b,Gerner Spedition & Transport GmbH,Salzburg,5112 Lamprechtshausen,,https://firmen.wko.at/gerner-spedition-und-transport-gmbh/salzburg/?firmaid=06be525c-ed38-4bef-91ae-6d6576da1ebb&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_16b45d03a160b1,H & R Speditions- u. TransportGmbH,Oberösterreich,4693 Desselbrunn,,https://firmen.wko.at/h-und-r-speditions-u-transportgmbh/ober%c3%b6sterreich/?firmaid=ffa12d75-80cf-49cc-b5bd-e06ff65033d7&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_1cd71a8eda9c62,Helmut Hölbling Spedition GmbH,Salzburg; Steiermark,5302 Henndorf am Wallersee | 8130 Frohnleiten,,https://firmen.wko.at/helmut-h%c3%b6lbling-spedition-gmbh/salzburg/?firmaid=baf7a2c5-c581-4a59-b5b6-1a210f158115&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/helmut-h%c3%b6lbling-spedition-gmbh/steiermark/?firmaid=38586046-86c9-4ad3-83b1-a37d1d57a000&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur,10,10,,,0,0,57,25,https://www.bing.com/ck/a?!&&p=4f20a83741a8b14c754728c3af976f73680451400eaba6f70d09fd52d5fe4d44JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=26096229-82fa-636e-008f-75ef8365625f&u=a1aHR0cHM6Ly9kZS5tLndpa2lwZWRpYS5vcmcvd2lraS9IZWxtdXQ&ntb=1,Helmut – Wikipedia,"Helmut – mit den Varianten Hellmut, Helmuth, Hellmuth, Helmudt (rar) – ist ein fast ausschließlich in Deutschland und Österreich …",,45,25,https://www.bing.com/ck/a?!&&p=36014889b7873847ac94b15b379bd323141a4d4b1cb95e7e9505e6286fc37bc9JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=26096229-82fa-636e-008f-75ef8365625f&u=a1aHR0cHM6Ly93d3cuaGVsbXV0bGFuZy5jb20v&ntb=1,Helmut Lang,"Helmut Lang offers contemporary luxury fashion for women and men, featuring refined essentials, premium denim, modern tailoring, …",,45,25,https://www.bing.com/ck/a?!&&p=81013f949b2e4ba72c4a379135310d178683f576728ba49d163ce21ce4a92991JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=26096229-82fa-636e-008f-75ef8365625f&u=a1aHR0cHM6Ly9lbi5tLndpa2lwZWRpYS5vcmcvd2lraS9IZWxtdXQ&ntb=1,Helmut - Wikipedia,"Helmut is a German masculine given name. Variants include Hellmut, Helmuth, and Hellmuth. [1] From old German, the first element …",,45,25,https://www.bing.com/ck/a?!&&p=785aa1a7a1563ca818846cb44feab7dd3ed2fd1b783db1421b627393a0e083e7JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=26096229-82fa-636e-008f-75ef8365625f&u=a1aHR0cHM6Ly93d3cuYmVoaW5kdGhlbmFtZS5jb20vbmFtZS9oZWxtdXQ&ntb=1,"Meaning, origin and history of the name Helmut","26. Mai 2026 · Derived from the Old German element helm ""helmet"" (or perhaps heil ""healthy, whole"") combined with muot ""mind, …",,45,25,https://www.bing.com/ck/a?!&&p=a73279650b9815aa660bdb806f9f453efe405c3720bc9140194a09fd5af22362JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=26096229-82fa-636e-008f-75ef8365625f&u=a1aHR0cHM6Ly93d3cuaGVsbXV0bGFuZy5jb20vbWVucy1zaG9wLWFsbC8&ntb=1,Men’s Collection | Helmut Lang Official Site,"Explore the men’s collection from Helmut Lang—jackets, tees, sweaters, denim, pants, accessories, and modern wardrobe essentials.",
sped_9376ccaee56800,IC Cargo GmbH,Niederösterreich,1300 Wien-Flughafen,,https://firmen.wko.at/ic-cargo-gmbh/nieder%c3%b6sterreich/?firmaid=6ed38bee-882d-4ca0-b659-37ce01e5c284&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_8d3d4847dd79d7,iph papier & print handels gmbh,Burgenland,2413 Edelstal,,https://firmen.wko.at/iph-papier-und-print-handels-gmbh/burgenland/?firmaid=ea3e9f7b-1226-4a4b-b746-109280924d29&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_cf45781259aa09,K & R Transport Management GmbH,Steiermark,8401 Kalsdorf b.Graz,,https://firmen.wko.at/k-und-r-transport-management-gmbh/steiermark/?firmaid=c7f454a5-79e0-4e78-b4ce-79e1f59598ae&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_5bc269aa640e04,KRAFTUM GmbH,Wien,1040 Wien,,https://firmen.wko.at/kraftum-gmbh/wien/?firmaid=577fd2c5-73d3-4852-bb50-2ea996cfc471&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_e7f8b30fa0b9bf,LOGSPED Speditionsgesellschaft m.b.H.,Niederösterreich; Oberösterreich,2230 Gänserndorf | 2320 Schwechat | 2401 Fischamend | 4063 Hörsching,http://www.logsped.com/,https://firmen.wko.at/logsped-speditionsgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=309e2649-5877-486e-804b-a76533db355d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/logsped-speditionsgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=b716e474-1afe-490b-b7ba-e049fc9ee2ab&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/logsped-speditionsgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=bf825510-ce6f-44d7-be31-055a7996489c&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/logsped-speditionsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=7de71b27-7b09-43a1-8d6d-9fa4a1665c9c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_cd6be1fea73bca,MALE GmbH,Wien,1040 Wien,,https://firmen.wko.at/male-gmbh/wien/?firmaid=d12fa5be-cb5b-4e32-ba8a-9eb9475d2f74&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur,10,9,,,0,0,65,25,https://www.bing.com/ck/a?!&&p=8df8673af4a57d34d4543e07c219feec9f9bf494be2ad5cca3c4ae6050aa6e15JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1f9b6e38-b716-68a5-39c5-79feb6166938&u=a1aHR0cHM6Ly9lbi5tLndpa2lwZWRpYS5vcmcvd2lraS9NYWxl&ntb=1,Male - Wikipedia,"Usage In humans, the word male can be used in the context of gender, such as for gender role or gender identity of a man or boy. [8] …",,65,25,https://www.bing.com/ck/a?!&&p=b4e7557da6a1be33d78f79031132d79cf12172b55afab8530f670df21ba10c50JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1f9b6e38-b716-68a5-39c5-79feb6166938&u=a1aHR0cHM6Ly93d3cubWVycmlhbS13ZWJzdGVyLmNvbS9kaWN0aW9uYXJ5L21hbGU&ntb=1,MALE Definition & Meaning - Merriam-Webster,"Vor 6 Tagen · The meaning of MALE is of, relating to, or being the sex that typically has the capacity to produce relatively small, …",,65,25,https://www.bing.com/ck/a?!&&p=c04f8046a3a4a637ffabe52ed59cb3bebe4cddeae5447e8aa319d66c8fc0cf52JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1f9b6e38-b716-68a5-39c5-79feb6166938&u=a1aHR0cHM6Ly9lbi5tLndpa2lwZWRpYS5vcmcvd2lraS9NYW4&ntb=1,Man - Wikipedia,"A man is an adult male human. [a][2][3] Before adulthood, a male child or adolescent is referred to as a boy. Like most other male …",,65,25,https://www.bing.com/ck/a?!&&p=f240eb52563ab54763102931da4c48e7ef5e56760df606f8dcd4b2eb4f5f292bJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1f9b6e38-b716-68a5-39c5-79feb6166938&u=a1aHR0cHM6Ly9kaWN0aW9uYXJ5LmNhbWJyaWRnZS5vcmcvZGljdGlvbmFyeS9lbmdsaXNoL21hbGU&ntb=1,MALE | English meaning - Cambridge Dictionary,MALE definition: 1. belonging or relating to men or boys: 2. belonging or relating to the sex that fertilizes eggs…. Learn more.,,65,25,https://www.bing.com/ck/a?!&&p=05bcd60a5e4a81d2bf9c806b89c5fddbe59d3bf85086becadea546b57d56fe3cJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1f9b6e38-b716-68a5-39c5-79feb6166938&u=a1aHR0cHM6Ly93d3cuaGVhbHRobGluZS5jb20vaGVhbHRoL21lbnMtaGVhbHRoL21hbGUtZ2VuaXRhbGlh&ntb=1,"Male Genitalia : Anatomy, Function, and More - Healthline",5. Juni 2020 · The male genitalia consists of many different parts. We'll discuss the anatomy and function of each.,
sped_53ca9f635f557f,Medlog Medizinische Logistik und Service GmbH,Niederösterreich; Salzburg,2345 Brunn am Gebirge | 5071 Wals,,https://firmen.wko.at/medlog-medizinische-logistik-und-service-gmbh/nieder%c3%b6sterreich/?firmaid=2356cb77-966f-4827-872c-50c29bae145a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/medlog-medizinische-logistik-und-service-gmbh/salzburg/?firmaid=3541fedc-725b-4a31-a0b9-35742a7a667f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur,10,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sped_db3b96932605b5,MRW Logistics GmbH,Burgenland; Wien,1230 Wien | 7052 Müllendorf,http://www.maillog.at/,https://firmen.wko.at/mrw-logistics-gmbh-logistik-und-fulfillment/wien/?firmaid=76e7857b-ebe9-4e91-9543-42be108240a2&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur | https://firmen.wko.at/mrw-logistics-gmbh/burgenland/?firmaid=480af48e-2897-4166-a8c5-bfdbf626c18e&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur,7,7,,,0,0,65,25,https://www.bing.com/ck/a?!&&p=11b5f72f3e76102f31bfd5113ed428075caab2a3dea70e0a2e01970e2ddd4f80JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=0a694563-5ea6-6303-02a9-52a55f526223&u=a1aHR0cHM6Ly9tcnd2ZS5jb20v&ntb=1,MRW Venezuela,"A lo largo de 2025, en MRW hemos inaugurado 19 nuevas agencias, reforzando nuestra presencia en los estados Lara, Anzoátegui, …",,65,25,https://www.bing.com/ck/a?!&&p=5e95f16317254c805d2982ad87e7d2120416d45351e073dbdf9fe01227131eb4JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=0a694563-5ea6-6303-02a9-52a55f526223&u=a1aHR0cHM6Ly93d3cuYWdlbmNpYXMuY29tLnZlL1Jhc3RyZW8vTVJXLw&ntb=1,MRW - Rastreo de Paquetes - Agencias,"¿Como rastrear paquetes de MRW? Para realizar un rastreo o tracking de su paquete, primero debe obtener el nro de ""Tracking"" de …",,65,25,https://www.bing.com/ck/a?!&&p=10ab0270bb3fb70251a71eea85033c1b3da9110cdf107ca16dee16d79ecefe4fJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=0a694563-5ea6-6303-02a9-52a55f526223&u=a1aHR0cHM6Ly9tcnd2ZS5jb20vbWktZW52aW8&ntb=1,MRW Venezuela,Encuentra tu agencia más cercana ¡No te será dificil! Llegamos a 3600 poblaciones Utiliza el mapa para encontrar tu agencia MRW …,,65,25,https://www.bing.com/ck/a?!&&p=c21ffcb21be7f15d1701272a6fb8d7827be1908da375dcfbcd6065068fade92aJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=0a694563-5ea6-6303-02a9-52a55f526223&u=a1aHR0cDovL3d3dy5zZW1ydy5jb20v&ntb=1,MRW,Sitios Oficiales www.mrw.com.ve www.semrw.com www.mrwve.com Llamada gratuita Atencion al cliente 0800304000 …,,65,25,https://www.bing.com/ck/a?!&&p=bde6569490b8fc147dd03fde5f46fbe34fce98648bfaa85e4107242f749ac0dbJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=0a694563-5ea6-6303-02a9-52a55f526223&u=a1aHR0cHM6Ly93d3cuYWdlbmNpYXMuY29tLnZlL1N1Y3Vyc2FsZXMvTVJXLw&ntb=1,MRW - Agencias en el pais,MRW - Agencias en el pais Seleccione el Estado Elija el estado que desea consultar para ver la lista de sucursales disponibles.,
sped_d90b980238bc86,NUON Logistik GmbH,Steiermark,8020 Graz,,https://firmen.wko.at/nuon-logistik-gmbh/steiermark/?firmaid=d9772dd4-eeb1-4c2c-9dc1-e2d2267f3569&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur,10,10,,,0,0,65,25,https://www.bing.com/ck/a?!&&p=794c83da8f18150b11d5a2aa636b88f321536583929f6bad662ab91425df1f87JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1a3f2d28-350f-65ca-1e09-3aee3478647b&u=a1aHR0cHM6Ly9jbG91ZC5udW9uLmNhL251b24vaW5kZXguaHRtbA&ntb=1,The DICOM Cloud for - Nuon Imaging,The DICOM Cloud for Medical Images and Documents Email Password Login,,65,25,https://www.bing.com/ck/a?!&&p=b7082a9fb4deb027cb7b57fd0d12f4e868da848476e8b5d3870687a96a9656a8JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1a3f2d28-350f-65ca-1e09-3aee3478647b&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvTnVvbl8oRFZEX3RlY2hub2xvZ3kp&ntb=1,Nuon (DVD technology ) - Wikipedia,"Nuon (stylized as NUON) is a technology developed by VM Labs that adds features to a DVD player. In addition to viewing DVDs, …",,65,25,https://www.bing.com/ck/a?!&&p=3602209f301be55ab1273645906c3bd7d155ce7d2baf2f41a97e8d69fbe923b6JmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1a3f2d28-350f-65ca-1e09-3aee3478647b&u=a1aHR0cHM6Ly9udW9uLmNvL3NvbHV0aW9ucy9lbnRlcnByaXNl&ntb=1,Enterprise Control Plane — One Standard for Every Application - nuon …,Nuon for the Enterprise Every vendor deploys differently. Every enterprise deploys differently. You need one standard. Nuon is an …,,65,25,https://www.bing.com/ck/a?!&&p=503ffda2b41890eb41a8c3287e0209b5980c991f02c97d2fe9cddc3f5d75883cJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1a3f2d28-350f-65ca-1e09-3aee3478647b&u=a1aHR0cHM6Ly9jbG91ZC5udW9uLmNhL2luZGV4Lmh0bWw&ntb=1,Nuon Imaging - The DICOM Cloud for,The DICOM Cloud for Medical Images and Documents Email Password Login,,65,25,https://www.bing.com/ck/a?!&&p=1a1123866f3970e3e4f4f15810c61c4b1eda3abca5bf5f71f5e17b47dedede7fJmltdHM9MTc4ODEzNDQwMA&ptn=3&ver=2&hsh=4&fclid=1a3f2d28-350f-65ca-1e09-3aee3478647b&u=a1aHR0cHM6Ly93d3cubnVvbm1lZGljYWwuY29tLw&ntb=1,Nuon Medical | Advanced Skincare Technology Solutions,"Nuon Medical integrates phototherapy, PEMF, and smart delivery tech into skincare packaging—clinically aligned tools that enhance …",
