no	company_name	strict_class	standort_count	states_seen	website	karriere_exact	karriere_min	karriere_max	direct31	group31	borderline	adjacent_hint	strict_evidence_short
26	Salzburg Wohnbau GmbH	A_TARGET_30_PLUS	1	salzburg	http://www.salzburg-wohnbau.at/	yes	101	500	2	1	0	yes	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/salzburg-wohnbau|exact normalized legal-name match || DIRECT|official website|50|50|https://www.salzburg-wohnbau.at/unternehmensgruppe/|r Hausbetreuung, Wohnungssanierung, Wartung und Instandhaltung der Liegenschaften bis hin zur Planung, Ausschreibung und Organisation von Neubauprojekten un
27	SEE.HAUS Weiden Betriebs GmbH	A_TARGET_30_PLUS	1	burgenland		yes	51	100	1	0	0	no	DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/see-haus-weiden-betriebs-gmbh|exact normalized legal-name match
28	SES Center Management GmbH	A_TARGET_30_PLUS	8	kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | wien		yes	31	50	1	0	0	yes	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/ses-center-management-wiener-neustadt|exact normalized legal-name match
29	Siemens Aktiengesellschaft Österreich	A_TARGET_30_PLUS	1	wien		yes	501		1	0	0	no	DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/siemens-%C3%B6sterreich|exact normalized legal-name match
30	Steirische Wirtschaftsförderungsgesellschaft m.b.H.	A_TARGET_30_PLUS	1	steiermark	http://impulszentren.at/	no			1	0	0	no	DIRECT|official website|180|180|https://www.sfg.at/ansiedeln-und-vernetzen/impulszentren/|SFG. Weitere Informationen Impulszentrum Grambach Das Impulszentrum Grambach ist ein attraktiver Standort für Wachstumsbetriebe im Hochtechnologiebereich. 31 hochinnovative Unternehmen mit rund 180 MitarbeiterInnen bilden hier einen starken Innovationsmotor. Weitere Inf
31	Stiller & Hohla Immobilientreuhänder GmbH	A_TARGET_30_PLUS	1	salzburg	http://www.stiller-hohla.at/	yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/stiller-hohla-immobilientreuh%C3%A4nder|exact normalized legal-name match
32	Supernova Invest GmbH	A_TARGET_30_PLUS	1	steiermark		yes	51	100	1	0	0	no	DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/supernova-invest|exact normalized legal-name match
33	TFM Bau GmbH	A_TARGET_30_PLUS	1	salzburg	https://tfm-bau.at/	yes	31	50	1	0	0	no	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/tfm-bau|exact normalized legal-name match
34	UBM Development AG	A_TARGET_30_PLUS	2	tirol | wien	http://www.ubm.at/	yes	101	500	1	0	0	no	DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/ubm-development|exact normalized legal-name match
35	Wirtschaftsagentur Burgenland GmbH	A_TARGET_30_PLUS	1	burgenland		yes	31	50	1	0	0	yes	DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/wirtschaftsagentur-burgenland|exact normalized legal-name match
36	WSE Wiener Standortentwicklung GmbH	A_TARGET_30_PLUS	1	wien		yes	51	100	1	0	0	no	DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/wse-wiener-standortentwicklung|exact normalized legal-name match
37	ZIMA Objektmanagement GmbH	A_TARGET_30_PLUS	1	tirol	http://www.zima.at/	no			1	1	0	no	DIRECT|official website|180|180|https://zima.at/unternehmen/uber-zima/|htwohnungen Kauf / Miete Kundenportal Unternehmen Über ZIMA News / Presse Karriere Grundstücksankauf Kontakt 50 Jahre Vertrauen Über 50 Jahre Vertrauen Mehr als 10.000 realisierte Wohnungen 180 Mitarbeiter an sechs Standorten Immobilienentwicklung aus Leidenschaft Geschäftsmodell Broschür
38	Bundesimmobiliengesellschaft m.b.H.	B_LIKELY_30_PLUS_GROUP	21	kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | vorarlberg | wien	http://www.big.at/	no			0	1	0	yes	GROUP|official website|1200|1200|https://www.big.at/presse-news/kurzprofil|des Landes. Das Portfolio der BIG umfasst Universitäten, Schulen und Spezialimmobilien, in der ARE sind Büro-, Gewerbe- und Wohnobjekte gebündelt. Insgesamt beschäftigt der Konzern aktuell über 1.200 Mitarbeiter*innen. Wirtschaftsstandort Österreich* INVESTITIONEN PRO JAHR IN MIO. EUR
39	Frieda Rustler Gebäudeverwaltung GmbH & Co KG	B_LIKELY_30_PLUS_GROUP	6	kärnten | oberösterreich | salzburg | steiermark | tirol | wien	http://www.rustler.eu/	no			0	1	0	no	GROUP|official website|900|900|https://rustler.eu/|bhängigen und marktführenden Immobiliendienstleister entwickelt. 1935 von Frieda Rustler gegründet, erbringen wir für Sie, als eigentümergeführtes Familienunternehmen, gemeinsam mit unseren über 900 MitarbeiterInnen in Österreich, Deutschland, Serbien, Ungarn, Rumänien und der Ukraine immobilienbezogene Dien
40	IMMOcontract Real Estate Management GmbH	B_LIKELY_30_PLUS_GROUP	6	kärnten | niederösterreich | oberösterreich | steiermark | wien	http://www.donath.at/	yes			0	1	0	no	GROUP|official website|80|80|https://www.immocontract.at/karriere|rtungsplattform bei kununu als Top Company 2026 erfüllt uns mit großer Freude, da sie ein deutlicher Beweis für die hohe Motivation und den außergewöhnlichen Zusammenhalt unseres Team sind. ca. 80 Mitarbeiter > 18 Standorte > 6 offene Positionen Aktuelle Jobangebote Werden Sie Teil unseres erf
41	ista Österreich GmbH	B_LIKELY_30_PLUS_GROUP	1	wien	http://www.ista.at/	yes			0	1	0	no	GROUP|official website|6150|6150|https://www.ista.com/at/ueberuns/|weltweit 450.000 Besitzer:innen und 14 Millionen Gebäuden und Wohnungen gehen, in denen unsere Produkte und Services heute eingesetzt werden. Zahlen und Fakten der weltweiten ista-Standorte 6.150 Mitarbeiter 3,7 Mio. t vermiedene CO₂- Emissionen 43 Mio. funkende Geräte 60 Mio. Geräte 14 Mio. 
42	LIM-MANAGEMENT GmbH	B_LIKELY_30_PLUS_GROUP	1	wien	http://www.lim-management.at/	yes	11	30	0	1	1	no	GROUP|official website|50|50|https://www.lim-management.at/|bündeln wir alle unsere Immobilienkompetenzen unter einem Dach. Genauer: an unserem Standort in der Albertgasse. Die Limberg-Gruppe besteht aus mehreren eigenständigen Unternehmen, in denen mehr als 50 Mitarbeiter aus den unterschiedlichen Immobiliendisziplinen zusammenarbeiten. In der Limberg-Grupp
43	Realverwaltung GmbH	B_LIKELY_30_PLUS_GROUP	1	kärnten	http://stefan.rutter@rutter.at/	yes			0	1	0	no	GROUP|official website|100|100|https://rutter.at/|d nachhaltigen Handelsimmobilien. Das Portfolio umfasst mehr als 40 Retail Parks und Shopping Center mit einer vermietbaren Fläche von über 600.000 m². zahlen & fakten 2 Eigentümer 30 Jahre 100 Mitarbeiter 40 Retail Parks & Shopping Center 600.000 M² Retail - Fläche 1 MRD. Transaktions- Volumen RUTTER IMMOBIL
44	Salinen Immobilien Gesellschaft m.b.H.	B_LIKELY_30_PLUS_GROUP	1	oberösterreich	http://www.salinen.com/	no			0	1	0	no	GROUP|official website|580|580|https://www.salinen.com/de/unternehmen/salinen-gruppe/salinen-austria-ag/|en der Österreichischen Salinen Aktiengesellschaft, zu der ebenfalls die Salzwelten GmbH , die Salinen Beteiligungs GmbH und die Salinen Immobilien Gesellschaft m.b.H. gehören. Aktuell sind 580 Mitarbeiterinnen und Mitarbeiter in Österreich und den acht V
45	STRABAG Property and Facility Services GmbH	B_LIKELY_30_PLUS_GROUP	1	wien	http://www.strabag-pfs.at/	no			0	1	0	yes	GROUP|official website|1400|1400|https://www.strabag-pfs.com/at/ueber-uns-at|nftsorientiert. Unsere größte Stärke? Qualifizierte Mitarbeitende, die täglich ihr Know-how und ihre Leidenschaft für innovative Gebäudelösungen einbringen. STRABAG PFS Österreich in Zahlen Mehr als 1.400 Beschäftigte Gesamtleistung € 97,2 Mio. (Stand 2025) 9 Bundesländer 11 Standor
46	Verein zur Förderung der Expertis Gruppe - BBRZ BFI FAB	B_LIKELY_30_PLUS_GROUP	1	oberösterreich	http://www.expertis.at/	no			0	1	0	no	GROUP|official website|3300|3300|https://www.expertis-gruppe.at|g, Integration und Rehabilitation ermöglichen wir Menschen ein selbstbestimmtes Leben und sichern den Fachkräftebedarf der Wirtschaft.“ Struktur und Organisation 138 Standorte in Österreich 3.300 Mitarbeiter:innen 3 strategische Geschäftsbereiche 450 europäische Netzwerkpartner:innen Menschen un
47	WESIAK Gesellschaft m.b.H.	B_LIKELY_30_PLUS_GROUP	1	steiermark	http://www.wesiak.com/	yes	11	30	0	1	1	no	GROUP|official website|40|40|https://www.wesiak.com/|ch Sachverständige. → 04 Wir kaufen an Wir kaufen Ihre Immobilie direkt an. → Unternehmen 01 Über uns 47 Jahre Wesiak Group — Werte, Team, Geschichte. → 02 Team Die Menschen hinter Wesiak — über 40 Mitarbeiter:innen. → 03 Karriere Offene Stellen & Initiativbewerbung. → 04 Referenzen Ausgewählte realisierte
48	"Die Kärntner"-Wohnbau und Hausverwaltungsgesellschaft m.b.H.	C_BORDERLINE_20_30	1	kärnten		yes	11	30	0	0	1	yes	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/die-k%C3%A4rntner-wohnbau-und-hausverwaltungsgesmbh|exact normalized legal-name match
49	"Hausverwaltung Franz Dangl" Gesellschaft m.b.H.	C_BORDERLINE_20_30	1	wien	http://www.franz-dangl-gmbh.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/hausverwaltung-franz-dangl|exact normalized legal-name match
50	Alpen Real Immobilien GmbH	C_BORDERLINE_20_30	2	oberösterreich | salzburg		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/alpen-real-immobilien|exact normalized legal-name match
51	Bank Austria Real Invest Asset Management GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	yes	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/bank-austria-real-invest-asset-management|exact normalized legal-name match
52	convival Immobilien GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/convival-immobilien|exact normalized legal-name match
53	Dr. Martin Schober Immobilienverwaltung GmbH	C_BORDERLINE_20_30	1	niederösterreich		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/hausverwaltung-dr-martin-und-dr-georg-schober|exact normalized legal-name match
54	Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/dr-peter-dirnbacher-immobilientreuhand|exact normalized legal-name match
55	FLE GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/fle|exact normalized legal-name match
56	Franz Kramas Gebäudeverwaltung G.m.b.H.	C_BORDERLINE_20_30	1	wien	http://www.kramas.at/	no			0	0	1	no	BORDER|official website|25|25|https://www.kramas.at/|sichtigung der in unseren Unternehmens-Leitsätzen hervorgehobenen modernen Dienstleistungsangebote auf. Im Sinne und zum Nutzen unserer KundInnen arbeiten alle unsere Abteilungen und unsere rund 25 MitarbeiterInnen so eng zusammen, damit kundenseitig ein vernetztes Dienstleistungsangebot genutzt werden kan
57	GOLDBECK Parking GmbH	C_BORDERLINE_20_30	1	niederösterreich		yes	11	30	0	0	1	yes	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/goldbeck-parking|exact normalized legal-name match
58	GSA Wohnbauträger GmbH	C_BORDERLINE_20_30	1	oberösterreich		yes	11	30	0	0	1	yes	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/gsa-wohnbautr%C3%A4ger|exact normalized legal-name match
59	Gutwerk Immobilien Treuhand GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/gutwerk-immobilien-treuhand|exact normalized legal-name match
60	Hammerl Immobilien Management GmbH	C_BORDERLINE_20_30	1	wien	http://hammerl.at/	no			0	0	1	no	BORDER|official website|22|22|https://www.hammerl.at/unternehmen|5 Immobilien betreute Fläche: ca. 210.000 Quadratmeter Mehrparteienhäuser nach WEG, Mischhäuser, Zinshäuser, Gewerbeimmobilien Ihr Partner für Wien, Burgenland und Niederösterreich Team von 22 MitarbeiterInnen, die sich um Ihre Anliegen kümmern Zweier-Team für jedes Haus - damit ist jederzeitig
61	Haus & Grund Immobilien Management GmbH	C_BORDERLINE_20_30	2	oberösterreich | salzburg		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/haus-grund-immobilien-management|exact normalized legal-name match
62	IBT Verwaltung GmbH	C_BORDERLINE_20_30	1	salzburg	http://www.ibt.ag/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/ibt-verwaltung-salzburg|exact normalized legal-name match
63	IM-Quadrat Immobilien Vermittlung & Verwaltung GmbH	C_BORDERLINE_20_30	2	oberösterreich | wien	https://www.im-quadrat.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/im-quadrat|exact normalized legal-name match
64	Immobilien Verwaltung Klagenfurt GmbH	C_BORDERLINE_20_30	1	kärnten	https://www.klagenfurt-wohnen.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/immobilien-verwaltung-klagenfurt-klagenfurt-am-w%C3%B6rthersee|exact normalized legal-name match
65	Immobilientreuhand Kluger GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/immobilientreuhand-kluger|exact normalized legal-name match
66	IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.	C_BORDERLINE_20_30	1	burgenland		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/ivb-immobilienvermarktung-bautr%C3%A4ger|exact normalized legal-name match
67	KALA Immobilienmanagement GmbH	C_BORDERLINE_20_30	2	oberösterreich | wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/kala-immobilienmanagement-gmbh|exact normalized legal-name match
68	KIBB Immobilien GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/kibb-immobilien|exact normalized legal-name match
69	Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.	C_BORDERLINE_20_30	1	wien	http://www.hallas.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/ludwig-hallas-immobilienverwaltung|exact normalized legal-name match
70	Palladio Immobilien GmbH	C_BORDERLINE_20_30	1	wien	http://www.palladio-immobilien.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/palladio-immobilien|exact normalized legal-name match
71	Raiffeisen Realitäten Betreuung Tirol GmbH	C_BORDERLINE_20_30	1	tirol		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/raiffeisen-realit%C3%A4ten-betreuung-tirol|exact normalized legal-name match
72	Realkanzlei Ferdinand König Gesellschaft m.b.H.	C_BORDERLINE_20_30	2	niederösterreich | wien	http://www.koenigimmobilien.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/realkanzlei-ferdinand-k%C3%B6nig-gesellschaft-m-b-h|exact normalized legal-name match
73	Regelsberger Liegenschaftsverwaltungs GmbH	C_BORDERLINE_20_30	1	wien	http://www.rlvg.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/regelsberger-liegenschaftsverwaltungs-gmbh|exact normalized legal-name match
74	Reinberg & Partner Immobilienberatung GmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/reinberg-partner-immobilienberatung|exact normalized legal-name match
75	Reischauer Consulting GmbH	C_BORDERLINE_20_30	1	oberösterreich	https://www.reischauer.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/reischauer-consulting|exact normalized legal-name match
76	Schantl ITH Immobilientreuhand GmbH	C_BORDERLINE_20_30	1	steiermark		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/schantl-ith-immobilientreuhand|exact normalized legal-name match
77	Schönberg Immobilientreuhand GmbH	C_BORDERLINE_20_30	1	steiermark	http://www.schoenberg-immobilien.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/sch%C3%B6nberg-immobilientreuhand|exact normalized legal-name match
78	U.M. Bau AG	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/u-m-bau|exact normalized legal-name match
79	Ulreich VerwaltungsGmbH	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/ulreich-verwaltungs-gmbh|exact normalized legal-name match
80	Venta Immobilien Service GmbH	C_BORDERLINE_20_30	1	steiermark		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/venta-immobilien-service|exact normalized legal-name match
81	VIVIR Holding GmbH	C_BORDERLINE_20_30	1	oberösterreich	http://www.vivir-holding.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/vivir-holding|exact normalized legal-name match
82	WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.	C_BORDERLINE_20_30	1	wien		yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/wariwoda-richter-immobilientreuhandgesellschaft|exact normalized legal-name match
83	WEGRAZ Gesellschaft für Stadterneuerung und Assanierung m.b.H.	C_BORDERLINE_20_30	1	steiermark	http://www.wegraz.at/	yes	11	30	0	0	1	no	BORDER|karriere.at exact employer|11|30|https://www.karriere.at/f/wegraz-gesellschaft-f%C3%BCr-stadterneuerung-und-assanierung|exact normalized legal-name match
84	Weinberger Biletti Immobilien GmbH	C_BORDERLINE_20_30	1	wien	http://www.wbi.wien/	no			0	0	1	no	BORDER|official website|23|23|https://wbi.wien/team/|. Leidenschaft & Hausverstand Weinberger Biletti ist eine der ältesten privaten Hausverwaltungen in Wien und wird in dritter Generation von Marko Weinberger und Angelika Weinberger geführt. 23 Mitarbeiterinnen und Mitarbeiter verwalten vorrangig Wohnungseigentumsanlagen in Wien und Niederösterreich. Wir sc
