canonical_key,company_name,aliases,wko_standort_count,states_seen,firmaids,addresses,website,all_websites,email,phones,profile_url,size_class_strict,size_reason_strict,adjacent_non_core_hint,karriere_exact_match,karriere_url,karriere_emp_min,karriere_emp_max,website_valid_mentions,wko_valid_mentions,direct_31plus_sources,group_31plus_sources,borderline_sources,strict_evidence,manual_review_required,size_class_strict_v2,size_reason_strict_v2,direct_31plus_sources_v2,group_31plus_sources_v2,borderline_sources_v2,strict_evidence_v2,agent_class,group_key,scope,decision_reason,agent_evidence_url,confidence,sales_include,process_sales_include,process_fit_class,process_fit_reason
ig immobilien management gmbh,IG Immobilien Management GmbH,IG Immobilien Management GmbH,1,wien,c4d3400e-4a70-4a48-845a-99d6d37c175f,Olympiaplatz 2 1020 Wien,http://www.ig-immobilien.com/,http://www.ig-immobilien.com/,sabine.zwierschitz@ig-immobilien.com,+43%20(0)1%20532%2001%2040,https://firmen.wko.at/ig-immobilien-management-gmbh/wien/?firmaid=c4d3400e-4a70-4a48-845a-99d6d37c175f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/ig-immobilien-management,51,100,"130 [approx] https://www.ig-immobilien.com/ueber-uns/das-unternehmen :: d 1,1 Milliarden Euro Asset-Klassen: Büroobjekte, Logistikimmobilien, zwei innerstädtische Einkaufszentren, hochwertige Wohnungen, attraktive Geschäftsflächen und fünf Hotelimmobilien Team: rund 130 Mitarbeiter:innen Vermietungsgrad: durchschnittlich rund 91 Prozent Konsolidierter Umsatz im Geschäftsjahr 2025: rund 86 Millionen Euro (IG Immobilien- und BLM-Gruppe) Hier können Sie Einblick nehmen in unse || 130 [exact] https://www.ig-immobilien.com/ueber-uns/das-unternehmen :: Milliarden Euro Asset-Klassen: Büroobjekte, Logistikimmobilien, zwei innerstädtische Einkaufszentren, hochwertige Wohnungen, attraktive Geschäftsflächen und fünf Hotelimmobilien Team: rund 130 Mitarbeiter:innen Vermietungsgrad: durchschnittlich rund 91 Prozent Konsolidierter Umsatz im Geschäftsjahr 2025: rund 86 Millionen Euro (IG Immobilien- und BLM-Gruppe) Hier können Sie Einblick nehmen in unse",,1,1,0,"DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/ig-immobilien-management|exact normalized legal-name match || GROUP|official/group website|130|130|https://www.ig-immobilien.com/ueber-uns/das-unternehmen|d 1,1 Milliarden Euro Asset-Klassen: Büroobjekte, Logistikimmobilien, zwei innerstädtische Einkaufszentren, hochwertige Wohnungen, attraktive Geschäftsflächen und fünf Hotelimmobilien Team: rund 130 Mitarbeiter:innen Vermietungsgrad: durchschnittlich rund 91 Prozent Konsolidierter Umsatz im Geschäftsjahr 2025: rund 86 Millionen Euro (IG Immobilien- und BLM-Gruppe) Hier können Sie Einblick nehmen in unse",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,1,0,"DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/ig-immobilien-management|exact normalized legal-name match || GROUP|official website|130|130|https://www.ig-immobilien.com/ueber-uns/das-unternehmen|d 1,1 Milliarden Euro Asset-Klassen: Büroobjekte, Logistikimmobilien, zwei innerstädtische Einkaufszentren, hochwertige Wohnungen, attraktive Geschäftsflächen und fünf Hotelimmobilien Team: rund 130 Mitarbeiter:innen Vermietungsgrad: durchschnittlich rund 91 Prozent Konsolidierter Umsatz im Geschäftsjahr 2025: rund 86 Millionen Euro (IG Immobilien- und BLM-Gruppe) Hier können Sie Einblick nehmen in unse",A_CORE_30_PLUS_DIRECT,IG Immobilien Management GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
immobilienkanzlei mag wolf dietrich schneeweiss e u,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,1,wien,bf8a27a4-170f-47d6-a58d-fd3966bdfeea,Rathausplatz 4 1010 Wien,,,office@schneeweiss.at,01/402%2031%2069,https://firmen.wko.at/immobilienkanzlei-mag-wolf-dietrich-schneeweiss-eu/wien/?firmaid=bf8a27a4-170f-47d6-a58d-fd3966bdfeea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/immobilienkanzlei-mag-wolf-dietrich-schneeweiss,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/immobilienkanzlei-mag-wolf-dietrich-schneeweiss|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/immobilienkanzlei-mag-wolf-dietrich-schneeweiss|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
immobilienverwaltung mag alois rosenberger gmbh,Immobilienverwaltung Mag. Alois Rosenberger GmbH,Immobilienverwaltung Mag. Alois Rosenberger GmbH,1,wien,6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92,Berggasse 31 1090 Wien,https://www.iv-ro.at/,https://www.iv-ro.at/,office@iv-rgz.at,+43%2013324398 | +43%206765227103,https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,no,,,,"40 [over] https://iv-ro.at/unternehmen/ :: auigkeit, Unabhängigkeit, Transparenz, Dokumentation unseres Handelns und Freundlichkeit. Eigentümergeführtes Unternehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit über 15 MitarbeiterInnen können Sie sich sicher sein, dass Sie sich immer höchste Qualität und kurze Ko || 15 [over] https://iv-ro.at/unternehmen/ :: nternehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit über 15 MitarbeiterInnen können Sie sich sicher sein, dass Sie sich immer höchste Qualität und kurze Kommunikationswege zu erwarten haben. Wir legen bei der Auswahl unserer Mitarbeiter größten Wert auf fachliche Ex || 40 [exact] https://iv-ro.at/unternehmen/ :: eit, Unabhängigkeit, Transparenz, Dokumentation unseres Handelns und Freundlichkeit. Eigentümergeführtes Unternehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit über 15 MitarbeiterInnen können Sie sich sicher sein, dass Sie sich immer höchste Qualität und kurze Ko || 15 [exact] https://iv-ro.at/unternehmen/ :: ehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit über 15 MitarbeiterInnen können Sie sich sicher sein, dass Sie sich immer höchste Qualität und kurze Kommunikationswege zu erwarten haben. Wir legen bei der Auswahl unserer Mitarbeiter größten Wert auf fachliche Ex",,1,0,0,"DIRECT|official website|40|40|https://iv-ro.at/unternehmen/|auigkeit, Unabhängigkeit, Transparenz, Dokumentation unseres Handelns und Freundlichkeit. Eigentümergeführtes Unternehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit über 15 MitarbeiterInnen können Sie sich sicher sein, dass Sie sich immer höchste Qualität und kurze Ko",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,"DIRECT|official website|40|40|https://iv-ro.at/unternehmen/|auigkeit, Unabhängigkeit, Transparenz, Dokumentation unseres Handelns und Freundlichkeit. Eigentümergeführtes Unternehmen Mehr als 90 Jahre Erfahrung Tochterfirmen Zentreal und Ginschl GmbH Über 40 MitarbeiterInnen Unser Team Wir sind immer für Sie zur Stelle! Als eigentümergeführtes Unternehmen mit über 15 MitarbeiterInnen können Sie sich sicher sein, dass Sie sich immer höchste Qualität und kurze Ko",A_CORE_30_PLUS_DIRECT,Immobilienverwaltung Mag. Alois Rosenberger GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
imv immobilien management gmbh,IMV Immobilien Management GmbH,IMV Immobilien Management GmbH,4,niederösterreich | steiermark | wien,8a39d3d5-cfe4-4789-bbbf-1aeed095c331 | 005dd5bb-9688-4d9f-8867-92afaead6372 | 55f92d28-945e-4a96-aaf6-9fecdb14e641 | d6d4e90e-d7ee-46c1-92dd-03f32b46122c,"0316 90 303 | Hochstraße 1 2380 Perchtoldsdorf | Wiener Gasse 20, Tür 4 2380 Perchtoldsdorf | Paulanergasse 15 1040 Wien",http://www.imv.co.at/,http://www.imv.co.at/,office@imv.co.at,0316%2090%20303,https://firmen.wko.at/imv-immobilien-management-gmbh/steiermark/?firmaid=8a39d3d5-cfe4-4789-bbbf-1aeed095c331&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/imv-immobilien-management,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/imv-immobilien-management|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/imv-immobilien-management|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,IMV Immobilien Management GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
international campus austria gmbh,International Campus Austria GmbH,International Campus Austria GmbH,1,wien,09505220-ff99-4ca6-843c-4dbfdcd07ada,Muthgasse 109 1190 Wien,,,,,https://firmen.wko.at/international-campus-austria-gmbh/wien/?firmaid=09505220-ff99-4ca6-843c-4dbfdcd07ada&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/international-campus-austria,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/international-campus-austria|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/international-campus-austria|exact normalized legal-name match,E_ADJACENT_30_PLUS,International Campus Austria GmbH,adjacent,"final agent audit: 101-500 employer, but student-housing development/operator platform rather than classic external Hausverwaltung",https://www.karriere.at/f/international-campus-austria,high,no,yes,ADD_TO_SALES_POOL,"large student-housing operator with tenant, property and facility operations"
kappacher selina hausverwaltung gmbh,KAPPACHER-SELINA Hausverwaltung GmbH,KAPPACHER-SELINA Hausverwaltung GmbH,1,salzburg,5415d9e1-c8a8-4f86-ac2a-bf21d780840a,Bundesstraße 2 5600 St.Johann/Pongau,https://www.kappacher-selina.at/,https://www.kappacher-selina.at/,office@kappacher-selina.at,+43%206412%206072-0,https://firmen.wko.at/kappacher-selina-hausverwaltung-gmbh-immobilientreuh%c3%a4nder/salzburg/?firmaid=5415d9e1-c8a8-4f86-ac2a-bf21d780840a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/kappacher-selina-hausverwaltung-gmbh,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/kappacher-selina-hausverwaltung-gmbh|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/kappacher-selina-hausverwaltung-gmbh|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,SELINA/Kappacher group,core,31-50 direct employer evidence; primary legal target in SELINA group,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
mcarthurglen management gesellschaft m b h,McArthurGlen Management Gesellschaft m.b.H.,McArthurGlen Management Gesellschaft m.b.H.,2,burgenland | salzburg,c68fab59-adde-430d-b054-1eb93956904f | ac4b6d51-9f80-4b78-9858-e3dd873bfab4,Kasernenstraße 1 5071 Wals-Siezenheim | Designer Outlet Straße 1 7111 Parndorf,,,office@mcarthurglen.at,02166/36%2014,https://firmen.wko.at/mcarthurglen-management-gesellschaft-mbh/salzburg/?firmaid=c68fab59-adde-430d-b054-1eb93956904f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/mcarthurglen-management-parndorf,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/mcarthurglen-management-parndorf|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/mcarthurglen-management-parndorf|exact normalized legal-name match,E_ADJACENT_30_PLUS,McArthurGlen Management Gesellschaft m.b.H.,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,"shopping-centre management with tenant, service-charge, facility and operational workflows"
pmv immobilien management gmbh,PMV Immobilien Management GmbH,PMV Immobilien Management GmbH,4,kärnten | niederösterreich | wien,c4916f64-6ef3-4734-bb82-7f766585b87d | a4302778-6d36-4b34-87cd-d36fed8e76c6 | 63d2ff36-2d86-4a01-92d0-4697fc86a87d | b7d547fd-1606-41ca-8510-d2c5c3a4025e,"Liebermannstraße, F 05/Top 102 2345 Brunn am Gebirge | Bahnhofstraße 16 9800 Spittal/Drau | Arsenal 1/VI 1030 Wien | Paulanergasse 15 1040 Wien",,,,,https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/pmv-immobilien-management,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/pmv-immobilien-management|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/pmv-immobilien-management|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,PMV Immobilien Management GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
porsche immobilien gesellschaft m b h,Porsche Immobilien Gesellschaft m.b.H.,Porsche Immobilien Gesellschaft m.b.H.,1,salzburg,3aca3e73-9ff6-46d0-8b65-21435521cb21,Louise-Piëch-Straße 2 5020 Salzburg,,,,,https://firmen.wko.at/porsche-immobilien-gesellschaft-mbh/salzburg/?firmaid=3aca3e73-9ff6-46d0-8b65-21435521cb21&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/porsche-immobilien,51,100,,,1,0,0,DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/porsche-immobilien|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|51|100|https://www.karriere.at/f/porsche-immobilien|exact normalized legal-name match,E_ADJACENT_30_PLUS,Porsche Immobilien Gesellschaft m.b.H.,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,"large in-house real-estate/facility operator with maintenance, contractor and property administration processes"
reiwag facility services gmbh,REIWAG Facility Services GmbH,REIWAG Facility Services GmbH,1,wien,ccd49180-ebb3-460d-a3e1-c311d3b25cf9,Burggasse 60 1070 Wien,http://www.reiwag.com/,http://www.reiwag.com/,office@reiwag.at,+43%2001%205239300-451,https://firmen.wko.at/reiwag-facility-services-gmbh/wien/?firmaid=ccd49180-ebb3-460d-a3e1-c311d3b25cf9&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,yes,yes,https://www.karriere.at/f/reiwag-facility-services,501,,3500 [exact] https://www.reiwag.com/ :: aubere Arbeit Gebäudereinigung Bleiben Sie gesund Raum- und Oberflächendesinfektion Alles unter Kontrolle Technisches Facility Management Interessiert? Jetzt anfragen! REIWAG Group 7 Länder 3.500 MitarbeiterInnen >2000 KundInnen über 7 Mio. m² betreute Flächen High Tech im modernen Facility Management Eine Drohne mit Wärmebildkamera wurde für die Überprüfung von Dächern und hohen Gebäude gekauft und,,1,1,0,DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/reiwag-facility-services|exact normalized legal-name match || GROUP|official/group website|3500|3500|https://www.reiwag.com/|aubere Arbeit Gebäudereinigung Bleiben Sie gesund Raum- und Oberflächendesinfektion Alles unter Kontrolle Technisches Facility Management Interessiert? Jetzt anfragen! REIWAG Group 7 Länder 3.500 MitarbeiterInnen >2000 KundInnen über 7 Mio. m² betreute Flächen High Tech im modernen Facility Management Eine Drohne mit Wärmebildkamera wurde für die Überprüfung von Dächern und hohen Gebäude gekauft und,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,1,0,DIRECT|karriere.at exact employer|501||https://www.karriere.at/f/reiwag-facility-services|exact normalized legal-name match || GROUP|official website|3500|3500|https://www.reiwag.com/|aubere Arbeit Gebäudereinigung Bleiben Sie gesund Raum- und Oberflächendesinfektion Alles unter Kontrolle Technisches Facility Management Interessiert? Jetzt anfragen! REIWAG Group 7 Länder 3.500 MitarbeiterInnen >2000 KundInnen über 7 Mio. m² betreute Flächen High Tech im modernen Facility Management Eine Drohne mit Wärmebildkamera wurde für die Überprüfung von Dächern und hohen Gebäude gekauft und,E_ADJACENT_30_PLUS,REIWAG Facility Services GmbH,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,large facility/property services operator with recurring back-office and building processes
salzburg wohnbau gmbh,Salzburg Wohnbau GmbH,Salzburg Wohnbau GmbH,1,salzburg,73b2127c-dd25-4908-a82e-82bf680f9849,Bruno-Oberläuter-Platz 1 5020 Salzburg,http://www.salzburg-wohnbau.at/,http://www.salzburg-wohnbau.at/,office@salzburg-wohnbau.at,+43%20(662)%202066-0,https://firmen.wko.at/salzburg-wohnbau-gmbh-immobilientreuh%c3%a4nder-immobilienmakler-immobilienverwalter/salzburg/?firmaid=73b2127c-dd25-4908-a82e-82bf680f9849&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,yes,yes,https://www.karriere.at/f/salzburg-wohnbau,101,500,"190 [approx] https://www.salzburg-wohnbau.at/unternehmensgruppe/ :: innerhalb der Unternehmensgruppe und mit den Beteiligungsunternehmen können Synergien gezielt genutzt und Kompetenzen optimal gebündelt werden. Die Unternehmensgruppe beschäftigt insgesamt rund 190 Mitarbeiter. Inklusive Hausbesorger und Hausbetreuer sind mehr als 360 Fachkräfte im Einsatz. Gemeinsam bündeln wir unsere Kompetenzen, um innovative, nachhaltige und zukunftsfähige Lösungen für Wohnen || 50 [approx] https://www.salzburg-wohnbau.at/unternehmensgruppe/ :: r Hausbetreuung, Wohnungssanierung, Wartung und Instandhaltung der Liegenschaften bis hin zur Planung, Ausschreibung und Organisation von Neubauprojekten und Maßnahmen für Gebäudesanierung. Rund 50 Mitarbeiter betreuen aktuell mehr als 250 Objekte (Kommunalbauten, Wohnanlagen) in fast jeder zweiten Gemeinde im Bundesland Salzburg. Wohnbau Bayern 2017 wurde die Wohnbau Bayern GmbH als eigenständig || 190 [exact] https://www.salzburg-wohnbau.at/unternehmensgruppe/ :: rhalb der Unternehmensgruppe und mit den Beteiligungsunternehmen können Synergien gezielt genutzt und Kompetenzen optimal gebündelt werden. Die Unternehmensgruppe beschäftigt insgesamt rund 190 Mitarbeiter. Inklusive Hausbesorger und Hausbetreuer sind mehr als 360 Fachkräfte im Einsatz. Gemeinsam bündeln wir unsere Kompetenzen, um innovative, nachhaltige und zukunftsfähige Lösungen für Wohnen || 50 [exact] https://www.salzburg-wohnbau.at/unternehmensgruppe/ :: sbetreuung, Wohnungssanierung, Wartung und Instandhaltung der Liegenschaften bis hin zur Planung, Ausschreibung und Organisation von Neubauprojekten und Maßnahmen für Gebäudesanierung. Rund 50 Mitarbeiter betreuen aktuell mehr als 250 Objekte (Kommunalbauten, Wohnanlagen) in fast jeder zweiten Gemeinde im Bundesland Salzburg. Wohnbau Bayern 2017 wurde die Wohnbau Bayern GmbH als eigenständig",,2,1,0,"DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/salzburg-wohnbau|exact normalized legal-name match || DIRECT|official website|50|50|https://www.salzburg-wohnbau.at/unternehmensgruppe/|r Hausbetreuung, Wohnungssanierung, Wartung und Instandhaltung der Liegenschaften bis hin zur Planung, Ausschreibung und Organisation von Neubauprojekten und Maßnahmen für Gebäudesanierung. Rund 50 Mitarbeiter betreuen aktuell mehr als 250 Objekte (Kommunalbauten, Wohnanlagen) in fast jeder zweiten Gemeinde im Bundesland Salzburg. Wohnbau Bayern 2017 wurde die Wohnbau Bayern GmbH als eigenständig || GROUP|official/group website|190|190|https://www.salzburg-wohnbau.at/unternehmensgruppe/|innerhalb der Unternehmensgruppe und mit den Beteiligungsunternehmen können Synergien gezielt genutzt und Kompetenzen optimal gebündelt werden. Die Unternehmensgruppe beschäftigt insgesamt rund 190 Mitarbeiter. Inklusive Hausbesorger und Hausbetreuer sind mehr als 360 Fachkräfte im Einsatz. Gemeinsam bündeln wir unsere Kompetenzen, um innovative, nachhaltige und zukunftsfähige Lösungen für Wohnen",yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,2,1,0,"DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/salzburg-wohnbau|exact normalized legal-name match || DIRECT|official website|50|50|https://www.salzburg-wohnbau.at/unternehmensgruppe/|r Hausbetreuung, Wohnungssanierung, Wartung und Instandhaltung der Liegenschaften bis hin zur Planung, Ausschreibung und Organisation von Neubauprojekten und Maßnahmen für Gebäudesanierung. Rund 50 Mitarbeiter betreuen aktuell mehr als 250 Objekte (Kommunalbauten, Wohnanlagen) in fast jeder zweiten Gemeinde im Bundesland Salzburg. Wohnbau Bayern 2017 wurde die Wohnbau Bayern GmbH als eigenständig || GROUP|official website|190|190|https://www.salzburg-wohnbau.at/unternehmensgruppe/|innerhalb der Unternehmensgruppe und mit den Beteiligungsunternehmen können Synergien gezielt genutzt und Kompetenzen optimal gebündelt werden. Die Unternehmensgruppe beschäftigt insgesamt rund 190 Mitarbeiter. Inklusive Hausbesorger und Hausbetreuer sind mehr als 360 Fachkräfte im Einsatz. Gemeinsam bündeln wir unsere Kompetenzen, um innovative, nachhaltige und zukunftsfähige Lösungen für Wohnen",A_CORE_30_PLUS_DIRECT,Salzburg Wohnbau GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
ses center management gmbh,SES Center Management GmbH,SES Center Management GmbH,8,kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | wien,79f71352-b685-432e-bc8b-21f56895e524 | b9c7fe9a-a792-49a3-8df8-231312aa3186 | cdbdbe84-149e-4576-8ff1-0ec660f03ca5 | fcc9dfb3-82a2-460f-a41c-5dba43757d8e | 32f9e4a7-36b5-4b71-9511-32e150dee304 | 77d7eab6-87f4-4bba-992b-1ec2c25830fd | d6a641e3-f559-481a-973a-176b11168c75 | 24d7a194-daba-416f-85f1-03a3d6643d9a,Söllheimer Straße 4 5020 Salzburg | Ostbahnstraße 3 (Einkaufszentrum Murpark) 8041 Graz | Wiener Straße 91 3500 Krems an der Donau | Zehnergürtel 12-24 2700 Wiener Neustadt | Kärntner Straße 34 9500 Villach | Museumstraße 38 6020 Innsbruck | Weberzeile 1 4910 Ried im Innkreis | Grinzinger Straße 112 1190 Wien,,,,,https://firmen.wko.at/ses-center-management-gmbh/salzburg/?firmaid=79f71352-b685-432e-bc8b-21f56895e524&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,yes,yes,https://www.karriere.at/f/ses-center-management-wiener-neustadt,31,50,,,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/ses-center-management-wiener-neustadt|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|31|50|https://www.karriere.at/f/ses-center-management-wiener-neustadt|exact normalized legal-name match,E_ADJACENT_30_PLUS,SES Center Management GmbH,adjacent,30+ scale confirmed but business is adjacent/internal/FM/development/commercial rather than classic external Hausverwaltung,,high,no,yes,ADD_TO_SALES_POOL,"multi-site shopping-centre management with tenant, facility and commercial administration workflows"
stiller und hohla immobilientreuhänder gmbh,Stiller & Hohla Immobilientreuhänder GmbH,Stiller & Hohla Immobilientreuhänder GmbH,1,salzburg,7a1bd960-03ae-4c71-a887-9adeda32eef0,Joseph-Messner-Straße 8-14 5020 Salzburg,http://www.stiller-hohla.at/,http://www.stiller-hohla.at/,office@stiller-hohla.at,0662/65%2085%200,https://firmen.wko.at/stiller-und-hohla-immobilientreuh%c3%a4nder-gmbh/salzburg/?firmaid=7a1bd960-03ae-4c71-a887-9adeda32eef0&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,no,yes,https://www.karriere.at/f/stiller-hohla-immobilientreuh%C3%A4nder,101,500,,,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/stiller-hohla-immobilientreuh%C3%A4nder|exact normalized legal-name match,yes,A_TARGET_30_PLUS,Strict 31+ standalone/employer evidence,1,0,0,DIRECT|karriere.at exact employer|101|500|https://www.karriere.at/f/stiller-hohla-immobilientreuh%C3%A4nder|exact normalized legal-name match,A_CORE_30_PLUS_DIRECT,Stiller & Hohla Immobilientreuhänder GmbH,core,agent review confirmed direct 30+ employer / official operational scale,,high,yes,yes,PRIMARY_CORE,existing agent-first core target
