company_name,agent_class,group_key,states_seen,wko_standort_count,website,size_class_strict_v2,decision_reason,agent_evidence_url,confidence
Stiller & Hohla Immobilientreuhänder GmbH,A_CORE_30_PLUS_DIRECT,Stiller & Hohla Immobilientreuhänder GmbH,salzburg,1,http://www.stiller-hohla.at/,A_TARGET_30_PLUS,agent review confirmed direct 30+ employer / official operational scale,,high
ZIMA Objektmanagement GmbH,B_CORE_30_PLUS_GROUP,ZIMA group,tirol,1,http://www.zima.at/,A_TARGET_30_PLUS,group clearly 30+; standalone Hausverwaltung entity not isolated,,high
Frieda Rustler Gebäudeverwaltung GmbH & Co KG,B_CORE_30_PLUS_GROUP,Rustler group,kärnten | oberösterreich | salzburg | steiermark | tirol | wien,6,http://www.rustler.eu/,B_LIKELY_30_PLUS_GROUP,Rustler group 30+ and core property management,,high
IMMOcontract Real Estate Management GmbH,A_CORE_30_PLUS_DIRECT,IMMOcontract Real Estate Management GmbH,kärnten | niederösterreich | oberösterreich | steiermark | wien,6,http://www.donath.at/,B_LIKELY_30_PLUS_GROUP,agent review found direct 57-65 employee evidence,,high
LIM-MANAGEMENT GmbH,B_CORE_30_PLUS_GROUP,LIM group,wien,1,http://www.lim-management.at/,B_LIKELY_30_PLUS_GROUP,group >30; standalone entity not separately proven,,high
Salinen Immobilien Gesellschaft m.b.H.,B_CORE_30_PLUS_GROUP,Salinen Immobilien Gesellschaft m.b.H.,oberösterreich,1,http://www.salinen.com/,B_LIKELY_30_PLUS_GROUP,baseline strict signal retained unless agent override,,medium
Verein zur Förderung der Expertis Gruppe - BBRZ BFI FAB,B_CORE_30_PLUS_GROUP,Verein zur Förderung der Expertis Gruppe - BBRZ BFI FAB,oberösterreich,1,http://www.expertis.at/,B_LIKELY_30_PLUS_GROUP,baseline strict signal retained unless agent override,,medium
WESIAK Gesellschaft m.b.H.,B_CORE_30_PLUS_GROUP,WESIAK group,steiermark,1,http://www.wesiak.com/,B_LIKELY_30_PLUS_GROUP,group 40+ and core Hausverwaltung,,high
"""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.",D_CORE_RECALL_11_30,"""Die Kärntner""-Wohnbau und Hausverwaltungsgesellschaft m.b.H.",kärnten,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",D_CORE_RECALL_11_30,"""Hausverwaltung Franz Dangl"" Gesellschaft m.b.H.",wien,1,http://www.franz-dangl-gmbh.at/,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Alpen Real Immobilien GmbH,D_CORE_RECALL_11_30,Alpen Real Immobilien GmbH,oberösterreich | salzburg,2,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
convival Immobilien GmbH,D_CORE_RECALL_11_30,convival Immobilien GmbH,wien,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Dr. Martin Schober Immobilienverwaltung GmbH,D_CORE_RECALL_11_30,Dr. Martin Schober Immobilienverwaltung GmbH,niederösterreich,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,D_CORE_RECALL_11_30,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,wien,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Franz Kramas Gebäudeverwaltung G.m.b.H.,C_CORE_20_PLUS_RANGE,Franz Kramas Gebäudeverwaltung G.m.b.H.,wien,1,http://www.kramas.at/,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
GOLDBECK Parking GmbH,D_CORE_RECALL_11_30,GOLDBECK Parking GmbH,niederösterreich,1,,C_BORDERLINE_20_30,baseline strict signal retained unless agent override,,medium
Gutwerk Immobilien Treuhand GmbH,D_CORE_RECALL_11_30,Gutwerk Immobilien Treuhand GmbH,wien,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Hammerl Immobilien Management GmbH,C_CORE_20_PLUS_RANGE,Hammerl Immobilien Management GmbH,wien,1,http://hammerl.at/,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
Haus & Grund Immobilien Management GmbH,C_CORE_20_PLUS_RANGE,Haus & Grund Immobilien Management GmbH,oberösterreich | salzburg,2,,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
IBT Verwaltung GmbH,D_CORE_RECALL_11_30,IBT Verwaltung GmbH,salzburg,1,http://www.ibt.ag/,C_BORDERLINE_20_30,baseline strict signal retained unless agent override,,medium
Immobilien Verwaltung Klagenfurt GmbH,C_CORE_20_PLUS_RANGE,Immobilien Verwaltung Klagenfurt GmbH,kärnten,1,https://www.klagenfurt-wohnen.at/,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
Immobilientreuhand Kluger GmbH,D_CORE_RECALL_11_30,Immobilientreuhand Kluger GmbH,wien,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,D_CORE_RECALL_11_30,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,burgenland,1,,C_BORDERLINE_20_30,baseline strict signal retained unless agent override,,medium
KALA Immobilienmanagement GmbH,D_CORE_RECALL_11_30,KALA Immobilienmanagement GmbH,oberösterreich | wien,2,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",D_CORE_RECALL_11_30,"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",wien,1,http://www.hallas.at/,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Palladio Immobilien GmbH,D_CORE_RECALL_11_30,Palladio Immobilien GmbH,wien,1,http://www.palladio-immobilien.at/,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Raiffeisen Realitäten Betreuung Tirol GmbH,C_CORE_20_PLUS_RANGE,Raiffeisen Realitäten Betreuung Tirol GmbH,tirol,1,,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
Ulreich VerwaltungsGmbH,D_CORE_RECALL_11_30,Ulreich VerwaltungsGmbH,wien,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Venta Immobilien Service GmbH,D_CORE_RECALL_11_30,Venta Immobilien Service GmbH,steiermark,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,D_CORE_RECALL_11_30,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,wien,1,,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Weinberger Biletti Immobilien GmbH,C_CORE_20_PLUS_RANGE,Weinberger Biletti Immobilien GmbH,wien,1,http://www.wbi.wien/,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
Weinberger Biletti Immobilien Graz GmbH,C_CORE_20_PLUS_RANGE,Weinberger Biletti Immobilien Graz GmbH,steiermark,1,http://www.weinberger-biletti.at/,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
Woge Realitäten Gesellschaft m.b.H.,D_CORE_RECALL_11_30,Woge Realitäten Gesellschaft m.b.H.,wien,1,https://www.hausverwaltungwoge.at/,C_BORDERLINE_20_30,core Hausverwaltung with credible 11-30 / team-scale signal; retained for sales recall,,high
Wohnbau 2000 Gesellschaft mbH,C_CORE_20_PLUS_RANGE,Wohnbau 2000 Gesellschaft mbH,oberösterreich,1,http://www.wohnbau2000.at/,C_BORDERLINE_20_30,agent review confirmed roughly 20-30 / exact 20-30 operational size,,high
ARWAG Immobilientreuhand Gesellschaft m.b.H.,B_CORE_30_PLUS_GROUP,ARWAG group,wien,1,http://www.arwag.at/,U_NOT_PROVEN,ARWAG group has 30+ visible scale; direct entity is property management,,high
be real Immobilienmanagement GmbH,D_CORE_RECALL_11_30,be real Immobilienmanagement GmbH,wien,1,http://www.bereal-immobilien.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
BUWOG - Bauen und Wohnen Gesellschaft mbH,B_CORE_30_PLUS_GROUP,BUWOG group,kärnten | salzburg | steiermark | wien,4,http://www.buwog.at/,U_NOT_PROVEN,large housing/property-management group; core operational target,,high
COLLIERS Immobilienverwaltung GmbH,B_CORE_30_PLUS_GROUP,Colliers Austria,wien,1,https://www.colliers.com/de-at/dienstleistungen/property-management-services,U_NOT_PROVEN,direct property-management entity sits inside large Colliers Austria group,,high
Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,A_CORE_30_PLUS_DIRECT,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,salzburg,1,,U_NOT_PROVEN,agent-first recall found direct 30+ evidence missed by strict parser,,high
Immobilien Treuhand Hanke & Bodner KG,D_CORE_RECALL_11_30,Immobilien Treuhand Hanke & Bodner KG,kärnten,1,https://www.spittaler-hausverwaltung.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
Ing. Werner Wilhelm Bayer,D_CORE_RECALL_11_30,Ing. Werner Wilhelm Bayer,burgenland,1,http://www.svbayer.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
Kaiserer Immobilien und Hausverwaltungs GmbH,D_CORE_RECALL_11_30,Kaiserer Immobilien und Hausverwaltungs GmbH,tirol,1,http://www.kaiserer.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
Leitgöb Hausverwaltung GmbH,B_CORE_30_PLUS_GROUP,Leitgöb Wohnbau group,salzburg,2,,U_NOT_PROVEN,standalone 1-10 but parent Leitgöb Wohnbau employer 31-50; group-level sales target,https://www.karriere.at/f/leitg%C3%B6b-wohnbau-bautr%C3%A4ger,high
NV Immobilien GmbH,D_CORE_RECALL_11_30,NV Immobilien GmbH,niederösterreich | wien,3,,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
OM Objektmanagement GmbH,A_CORE_30_PLUS_DIRECT,OM Objektmanagement GmbH,salzburg | wien,2,,U_NOT_PROVEN,agent-first recall found direct 30+ evidence missed by strict parser,,high
Pusta & Partner HausverwaltungsGmbH,D_CORE_RECALL_11_30,Pusta & Partner HausverwaltungsGmbH,wien,1,https://www.pusta-partner.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,C_CORE_20_PLUS_RANGE,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,tirol,1,,U_NOT_PROVEN,Herold reports 21-50 employees for the operating Hausverwaltung,https://www.herold.at/gelbe-seiten/bruck-am-ziller/4mP8b/puehringer-hausverwaltung-und-immobilien/,high
RES Immobilienverwaltung GmbH,D_CORE_RECALL_11_30,RES Immobilienverwaltung GmbH,wien,1,http://www.res.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
Sabo+Mandl & Tomaschek Immobilien GmbH,A_CORE_30_PLUS_DIRECT,Sabo+Mandl & Tomaschek Immobilien GmbH,wien,1,https://www.smt-immobilien.at/,U_NOT_PROVEN,agent-first recall found direct 30+ evidence missed by strict parser,,high
SERIA Immobilien & Treuhand GmbH,D_CORE_RECALL_11_30,SERIA Immobilien & Treuhand GmbH,steiermark,1,http://www.seria.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
WAG Wohnungsanlagen Gesellschaft m.b.H.,A_CORE_30_PLUS_DIRECT,WAG Wohnungsanlagen Gesellschaft m.b.H.,oberösterreich | salzburg | steiermark | wien,7,http://www.wag.at/,U_NOT_PROVEN,agent-first recall found direct 30+ evidence missed by strict parser,,high
WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,D_CORE_RECALL_11_30,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,niederösterreich | oberösterreich | wien,4,https://wevig.at/,U_NOT_PROVEN,agent-first team/company-size evidence makes this a worthwhile recall target despite no hard 30+ proof,,high
Wohnfit Hausverwaltungs GmbH,B_CORE_30_PLUS_GROUP,teamneunzehn group,wien,1,,U_NOT_PROVEN,direct Immobilienverwaltung entity is owned partly by teamneunzehn.at Hausverwaltung; related employer group is 101-500,https://www.karriere.at/f/teamneunzehn-at-immobilienmanagement,high
