company_name	website	standort_count	states_seen	name_signals
Hagg VISA Hausverwaltung GmbH	http://www.hagg-visa.at/	1	kärnten	hausverwaltung
Hannelore Mayr HausverwaltungsGmbH		1	wien	hausverwaltung
Hausverwaltung 4you GmbH		1	wien	hausverwaltung
Hausverwaltung Con.Ti KG		1	kärnten	hausverwaltung
Hausverwaltung Dr. Brandstetter GmbH	http://www.hv-brandstetter.at/	1	wien	hausverwaltung
Hausverwaltung Dr. TÜRR GmbH		1	wien	hausverwaltung
Hausverwaltung Eder GmbH		1	steiermark	hausverwaltung
Hausverwaltung GWP GmbH		1	niederösterreich	hausverwaltung
Hausverwaltung Hackl GmbH	https://hackl-hausverwaltung.at/	1	tirol	hausverwaltung
Hausverwaltung Handschur GmbH		1	niederösterreich	hausverwaltung
Hausverwaltung J. Gombocz & Sohn "Eigentum" Gesellschaft m.b.H.		1	steiermark	hausverwaltung
Hausverwaltung Krause & Co KG	http://www.hausverwaltung-krause.at/	1	wien	hausverwaltung
Hausverwaltung Lusser KG	http://www.hvl.at/	2	wien	hausverwaltung
Hausverwaltung Nigg e.U.		1	niederösterreich	hausverwaltung
Hausverwaltung Obermeier GmbH		1	wien	hausverwaltung
Hausverwaltung Reisch GmbH		1	tirol	hausverwaltung
Hausverwaltung Rosam GmbH	https://www.rosam-hv.at/	1	wien	hausverwaltung
Hausverwaltung Schimmel & Partner GmbH		1	kärnten	hausverwaltung
Hausverwaltung Suppan GmbH		1	steiermark	hausverwaltung
Hausverwaltung und Immobilienmakler Purkarthofer Ges.m.b.H.	https://www.immo-purkarthofer.at/	1	steiermark	hausverwaltung
Hausverwaltung Wohnungs- und Geschäftsvermittlung Dipl.-Ing. Indrak Inh. Erika Rathmann e.U.		1	wien	wohnungs- | hausverwaltung
HAUSVERWALTUNG-REALKANZLEI HAGINGER GESELLSCHAFT M.B.H. & CO.KG.		1	oberösterreich	hausverwaltung
Hausverwaltungsgesellschaft m.b.H.		1	oberösterreich	hausverwaltung
Helmut Berger Immobilien u. Hausverwaltungen GmbH		1	salzburg	hausverwaltung
HEROS Hausverwaltung e.U.		1	wien	hausverwaltung
HV 24 Hausverwaltungs GmbH		1	wien	hausverwaltung
HV Hausverwaltung GmbH		1	steiermark	hausverwaltung
HVKA Hausverwaltung Kammerer GmbH		1	salzburg	hausverwaltung
HZ-Liegenschaftsverwaltungs GmbH & Co KG		1	steiermark	liegenschaftsverwaltung
IC-HAUSVERWALTUNG GmbH	http://www.ic-hv.com/	1	wien	hausverwaltung
IMG Hausverwaltungs GmbH & Co KG		1	vorarlberg	hausverwaltung
IMK-Hausverwaltung GmbH	https://imk-hausverwaltung.at/	1	kärnten	hausverwaltung
IMMO-TEAM Hausverwaltung KG		1	tirol	hausverwaltung
Immobilien & Hausverwaltung Braun GmbH		1	tirol	hausverwaltung
Immobilien Investitionen Liegenschaftsverwaltungsgesellschaft m.b.H.		1	wien	liegenschaftsverwaltung
Immokorrekt Hausverwaltung GmbH		1	tirol	hausverwaltung
ImmoSun Hausverwaltungs GmbH		1	steiermark	hausverwaltung
Immovium Hausverwaltung e.U.		1	niederösterreich	hausverwaltung
ISW Hausverwaltung GmbH		1	tirol	hausverwaltung
Kaiserer Immobilien und Hausverwaltungs GmbH	http://www.kaiserer.at/	1	tirol	hausverwaltung
Kaswurm Immobilien & Wohnbau GmbH		1	wien	wohnbau
Krenn Wohnbauservice KG		1	steiermark	wohnbau
Laimer Hausverwaltung GmbH	http://laimer-hausverwaltung.at/	1	oberösterreich	hausverwaltung
Leitgöb Hausverwaltung GmbH		2	salzburg	hausverwaltung
LESTRA Hausverwaltung GmbH	http://www.lestra.at/	1	oberösterreich	hausverwaltung
Letzbor Hausverwaltungs GmbH		1	oberösterreich	hausverwaltung
LIVEG Liegenschaftsverwaltung GmbH		1	oberösterreich	liegenschaftsverwaltung
Mag. Eva Kaserer Immobilien und Hausverwaltung GmbH & Co. KG		1	salzburg	hausverwaltung
Mag. Fünder Hausverwaltungs GmbH		1	wien	hausverwaltung
Mari Immobilien & Hausverwaltung OG		1	kärnten	hausverwaltung
mehr:wert Hausverwaltung GmbH		1	salzburg	hausverwaltung
Mehrwert Liegenschaftsverwaltung GmbH		1	steiermark	liegenschaftsverwaltung
OCS Hausverwaltungs GmbH		1	oberösterreich	hausverwaltung
Phillipp Immobilien - HausverwaltungGmbH	http://www.phillipp.at/	1	tirol	hausverwaltung
PRIMO IMMOBILIEN HAUSVERWALTUNG GESELLSCHAFT M.B.H.		1	salzburg	hausverwaltung
PROCON Wohnbau GmbH		1	oberösterreich	wohnbau
Pusta & Partner HausverwaltungsGmbH	https://www.pusta-partner.at/	1	wien	hausverwaltung
PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG		1	tirol	hausverwaltung
Radakovits Hausverwaltung GmbH		2	burgenland	hausverwaltung
Rainer Realitätenvermittlungs-, Hausverwaltungs- und Wirtschaftsgüter- verwertungs GmbH		1	wien	hausverwaltung
REAL-WOHNBAUGESELLSCHAFT M.B.H.		1	kärnten	wohnbau
REALITÄTEN - INVEST Immobilientreuhand- und Wohnbaugesellschaft m.b.H	http://www.realitaeten-invest.at/	1	kärnten	wohnbau
Reikersdorfer Hausverwaltung GmbH	http://www.reikersdorfer.at/	2	niederösterreich | oberösterreich	hausverwaltung
Riessbacher Hausverwaltung GmbH	https://www.riessbacher-hausverwaltung.at/	1	wien	hausverwaltung
RIMMO Prime Hausverwaltung Nord GmbH		1	steiermark	hausverwaltung
Roßauer Lände 47-49 Liegenschaftsverwaltungs GmbH		1	wien	liegenschaftsverwaltung
S.O. Hausverwaltung GmbH		1	kärnten	hausverwaltung
Schwechater Wohnbau GmbH		1	niederösterreich	wohnbau
Schönberg Hausverwaltung GmbH		1	kärnten	hausverwaltung
SECURITAS Hausverwaltungs GmbH		1	tirol	hausverwaltung
SELINA Hausverwaltung u. Facility-Management GmbH		1	oberösterreich	hausverwaltung
SIU Liegenschaftsverwaltung GmbH		1	wien	liegenschaftsverwaltung
SKH Hausverwaltung GmbH		1	oberösterreich	hausverwaltung
skpr Hausverwaltung GmbH & Co KG		1	wien	hausverwaltung
Stegbuchner Hausverwaltung GmbH		1	oberösterreich	hausverwaltung
Steiner & Wanner Wohnbau Gesellschaft mbH	http://steiner-wanner.at/	1	salzburg	wohnbau
Steinkogler Wohnbau und Vermietungs GmbH		1	oberösterreich	wohnbau
team19 Wohnservice GmbH		1	wien	wohnservice
Terra Managementberatung und Liegenschaftsverwaltung GmbH		1	wien	liegenschaftsverwaltung
Thurn & Bauer Hausverwaltung GmbH		1	wien	hausverwaltung
TKKT Hausverwaltung KG		1	wien	hausverwaltung
TLV Tiroler Liegenschaftsverwaltung Gesellschaft m.b.H.	http://www.tiroler-liegenschaftsverwaltung.at/	1	tirol	liegenschaftsverwaltung
TOPOS Hausverwaltung GmbH		1	steiermark	hausverwaltung
V2GO - Liegenschaftsverwaltung 2 Go FlexCo		1	wien	liegenschaftsverwaltung
ViennaEstate Hausverwaltung GmbH		1	wien	hausverwaltung
Village Hausverwaltung GesmbH		1	tirol	hausverwaltung
Vita Liegenschaftsverwaltungs GmbH	http://www.vita-immobilien.at/	1	oberösterreich	liegenschaftsverwaltung
vivoreal Hausverwaltung GmbH		1	wien	hausverwaltung
w4 hausverwaltung GmbH		1	niederösterreich	hausverwaltung
WAG Wohnungsanlagen Gesellschaft m.b.H.	http://www.wag.at/	7	oberösterreich | salzburg | steiermark | wien	wohnungsanlagen
WEISS-TESSBACH Hausverwaltung GmbH		1	wien	hausverwaltung
Wimmer Hausverwaltung GmbH		1	oberösterreich	hausverwaltung
WKI Hausverwaltung GmbH		1	kärnten	hausverwaltung
Wohnbauservice Immobiliengesellschaft mit beschränkter Haftung	http://www.wosig.at/	1	oberösterreich	wohnbau
Wohnfit Hausverwaltungs GmbH		1	wien	hausverwaltung
