no,company_name,stage3_scope,stage2_process_fit_class,stage2_size_class,management,immediate_owners,ownership_pct,ultimate_control,ownership_type,primary_dm,primary_dm_role,primary_dm_reason,website,wko_url,source_urls,confidence,review_note,research_complete
11,AREALIS Liegenschaftsmanagement GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Michael Widschwendter MBA MRICS; Ivana Krenstetter,Senioren Residenz Fultererpark Errichtungs- und Verwaltungs GmbH,100% sole shareholder,Fultererpark corporate parent,CORPORATE_GROUP,Michael Widschwendter; Ivana Krenstetter,Geschäftsführer,Corporate owner; Austrian operational leadership preferred,http://www.arealis.at/,https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/270405f | https://firmen.wko.at/arealis-liegenschaftsmanagement-gmbh/wien/?firmaid=bb57aedf-9e61-488c-90ec-341d932136ae&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current parent since February 2025,yes
12,FLE GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Gilles Etrillard; Dr Alexander Klafsky LL.M.,La Financiere Patrimoniale d'Investissement SAS; GHEM Investments S.a.r.l.; Hector Kilcada GmbH; Pyrénées Partners Société civile,Not publicly shown in free EVI,Shareholder consortium,CORPORATE_GROUP,Gilles Etrillard; Alexander Klafsky,Geschäftsführer,Fragmented corporate ownership; local GFs are best supported first outreach,,https://firmen.wko.at/fle-gmbh/wien/?firmaid=7dfc7864-809d-4186-b383-5ae15c289bd3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/296776k | https://firmen.wko.at/fle-gmbh/wien/?firmaid=7dfc7864-809d-4186-b383-5ae15c289bd3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
13,Immobilienverwaltung Mag. Alois Rosenberger GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Mag Alois Rosenberger,Alois Rosenberger,100%,Alois Rosenberger,INDIVIDUAL_FAMILY_CONTROL,Alois Rosenberger,Owner / Geschäftsführer,100% owner-manager,https://www.iv-ro.at/,https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.iv-ro.at/ | https://firmen.wko.at/immobilienverwaltung-mag-alois-rosenberger-gmbh-immobilienverwaltung-rosenberger/wien/?firmaid=6d7c802b-1c76-4ed6-a1ab-7f8eb02b1a92&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Ownership percentage established in public business-registry research; official site corroborates operating identity,yes
14,OM Objektmanagement GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Renate Tomaschek; Petra Antoni,Erste Group Bank AG,100% sole shareholder,Erste Group Bank AG,CORPORATE_GROUP,Renate Tomaschek; Petra Antoni,Geschäftsführerinnen,Bank-owned company; local GFs are operational decision makers,,https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=876f338d-ac6c-492f-955a-75f189c79885&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/67715g | https://firmen.wko.at/om-objektmanagement-gmbh/salzburg/?firmaid=876f338d-ac6c-492f-955a-75f189c79885&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
15,Stadt Wien - Wiener Wohnen Kundenservice GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Mag Angelika Flatz; Marcel Kremmer MSc PM,Stadt Wien,100% sole shareholder,City of Vienna,PUBLIC_STATE,Angelika Flatz; Marcel Kremmer,Geschäftsführer,Municipal ownership; local executive management is actionable layer,,https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=6d3a9567-4ce0-428f-8f49-1cf77a313b02&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/223828i | https://firmen.wko.at/stadt-wien-wiener-wohnen-kundenservice-gmbh/wien/?firmaid=6d3a9567-4ce0-428f-8f49-1cf77a313b02&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
16,Wohnfit Hausverwaltungs GmbH,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Ing Sargon Gecer; Kresimir Azdajic; Markus Ringsmuth,Sargon Gecer; Kresimir Azdajic; teamneunzehn.at Hausverwaltung GmbH,Not publicly shown in free EVI,Owner-managers plus teamneunzehn group,MIXED,Sargon Gecer; Kresimir Azdajic,Gesellschafter / Geschäftsführer,Two individual shareholders also run the company,,https://firmen.wko.at/wohnfit-hausverwaltungs-gmbh/wien/?firmaid=6589f8fb-70b0-49d0-8bf5-9938014d8527&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/580626m | https://firmen.wko.at/wohnfit-hausverwaltungs-gmbh/wien/?firmaid=6589f8fb-70b0-49d0-8bf5-9938014d8527&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
17,at home FM Services GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Alexander Hießböck; Thomas Julian Fischmann MA,at home Immobilien-GmbH,100% sole shareholder,at home group,CORPORATE_GROUP,Alexander Hießböck; Thomas Fischmann,Geschäftsführer,Corporate parent; local GFs are operational targets,,https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/500149p | https://firmen.wko.at/at-home-fm-services-gmbh/wien/?firmaid=1b4d9f0a-4662-4913-8875-01224abd1df4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
18,GBG Gebäude- und Baumanagement Graz GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Mag Günter Hirner,Stadt Graz; Holding Graz – Kommunale Dienstleistungen GmbH,Stadt Graz 99.50%; Holding Graz 0.50%,City of Graz,PUBLIC_STATE,Günter Hirner,Geschäftsführer,Municipal ownership; GF runs the operating company,http://www.gbg.graz.at/,https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.gbg.graz.at/ | https://firmen.wko.at/gbg-geb%c3%a4ude-und-baumanagement-graz-gmbh/steiermark/?firmaid=9e5b77c7-357a-45b6-963e-6e35837325e6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Ownership percentages confirmed in public municipal/company sources,yes
19,Ing. Werner Wilhelm Bayer,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Ing Werner Bayer,Ing Werner Wilhelm Bayer,Sole proprietor,Ing Werner Wilhelm Bayer,SOLE_PROPRIETOR,Werner Bayer,Inhaber,Named sole trader and disclosed business head,http://www.svbayer.at/,https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979 | https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,WKO lists the individual and disclosure names him as business head,yes
20,PMV Immobilien Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Florian Hörmann,PMV Holding GmbH,100% sole shareholder,PMV Holding / IMV-GIM group context,CORPORATE_GROUP,Florian Hörmann,Geschäftsführer,Corporate owner; current operating GF appointed 2026,,https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/332655z | https://firmen.wko.at/pmv-immobilien-management-gmbh/nieder%c3%b6sterreich/?firmaid=c4916f64-6ef3-4734-bb82-7f766585b87d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Same FN as historical EHL Immobilien Management; current PMV name,yes
21,Supernova Invest GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Frank Philipp Albert; Markus Pinggera; Petra Michelatsch,Sunrise Holding GmbH,100% sole shareholder,Supernova / Sunrise group,CORPORATE_GROUP,Markus Pinggera; Petra Michelatsch,Geschäftsführer,Corporate holding owner; Austrian operational executives are outreach targets,,https://firmen.wko.at/supernova-invest-gmbh/steiermark/?firmaid=67cb3908-ab37-401e-bacf-b2226a9e2757&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/423086k | https://firmen.wko.at/supernova-invest-gmbh/steiermark/?firmaid=67cb3908-ab37-401e-bacf-b2226a9e2757&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current sole owner since July 2025,yes
22,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Petra Fröstl; Ing Maximilian Knoblechner,Zürich Versicherungs-Aktiengesellschaft,100%,Zurich Insurance Group,CORPORATE_GROUP,Petra Fröstl; Maximilian Knoblechner,Geschäftsführer,Insurance-group ownership; local property-management GFs are relevant,,https://firmen.wko.at/zurich-immobilien-liegenschaftsverwaltungs-gesmbh/wien/?firmaid=d8edbf56-e59f-44ef-9ac7-3ecc6e1d917a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.zurich.at/ | https://firmen.wko.at/zurich-immobilien-liegenschaftsverwaltungs-gesmbh/wien/?firmaid=d8edbf56-e59f-44ef-9ac7-3ecc6e1d917a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current management/ownership established in public registry research,yes
23,AI Immobilienverwertung GmbH.,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Eva Baumann; Michael Bujatti,APK Versicherung AG,100% sole shareholder,APK group,CORPORATE_GROUP,Eva Baumann; Michael Bujatti,Geschäftsführer,Corporate owner; local GFs are actionable decision layer,http://www.apk.at/aiig,https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/47499b | https://firmen.wko.at/ai-immobilienverwertung-gmbh/ober%c3%b6sterreich/?firmaid=d8d355d2-e516-4ab3-90e2-2d6ba243cc0c&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
24,Dr. Martin Schober Immobilienverwaltung GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Dr Martin Schober,MASCH Verwaltungs GmbH,100% sole shareholder,MASCH Verwaltungs GmbH (Dr Schober is GF but only minority shareholder of parent),CORPORATE_GROUP,Martin Schober,Geschäftsführer,Operational founder/GF; do not infer full ultimate ownership from surname,,https://firmen.wko.at/dr-martin-schober-immobilienverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=42161173-caf0-44f5-96e1-8e79f03c87d6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/524478t | https://firmen.wko.at/dr-martin-schober-immobilienverwaltung-gmbh/nieder%c3%b6sterreich/?firmaid=42161173-caf0-44f5-96e1-8e79f03c87d6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Conservative ultimate-control treatment,yes
25,Immobilien Verwaltung Klagenfurt GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Gerhard Scheucher MBA,Landeshauptstadt Klagenfurt am Wörthersee,100%,City of Klagenfurt,PUBLIC_STATE,Gerhard Scheucher,Geschäftsführer,100% municipal company; current GF is operating decision maker,https://www.klagenfurt-wohnen.at/,https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%c3%a4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.klagenfurt.at/stadtverwaltung/budget-finanzen/staedtische-beteiligungen | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%c3%a4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,City page explicitly lists IVK at 100%,yes
26,"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Martin Fischer,Alexander Schlechta; Martin Fischer; Karl Fischer,Alexander Schlechta 62.5%; Martin Fischer 25%; Karl Fischer 12.5%,Alexander Schlechta,INDIVIDUAL_FAMILY_CONTROL,Alexander Schlechta; Martin Fischer,Majority owner; Geschäftsführer,Majority owner controls; Martin Fischer is operating GF,http://www.hallas.at/,https://firmen.wko.at/ludwig-hallas-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=1488ee5c-9ebe-4391-a73f-50b34e432d8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/92132p | https://firmen.wko.at/ludwig-hallas-immobilienverwaltung-gesellschaft-mbh/wien/?firmaid=1488ee5c-9ebe-4391-a73f-50b34e432d8d&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Percentages from public registry/business-data review; current shareholder names cross-checked in EVI,yes
27,Salzburg Wohnbau GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Dr Georg Grundbichler; Thomas Maierhofer,BAUSPARERHEIM gemeinnützige Wohnungsgenossenschaft; Mag Walter Haas; Sandra Hasenauer; Ing Manfred Sampl,Current free EVI does not show percentages,Current shareholder group,MIXED,Georg Grundbichler; Thomas Maierhofer,Geschäftsführer,Fragmented ownership changed June 2026; current operating GFs are safest outreach,http://www.salzburg-wohnbau.at/,https://firmen.wko.at/salzburg-wohnbau-gmbh-immobilientreuh%c3%a4nder-immobilienmakler-immobilienverwalter/salzburg/?firmaid=73b2127c-dd25-4908-a82e-82bf680f9849&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/212888x | https://firmen.wko.at/salzburg-wohnbau-gmbh-immobilientreuh%c3%a4nder-immobilienmakler-immobilienverwalter/salzburg/?firmaid=73b2127c-dd25-4908-a82e-82bf680f9849&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Uses current June 2026 shareholder list; no stale percentages,yes
