company_name,wko_rows,states,places,websites,domains,phones,emails
"DHL Global Forwarding (Austria) GmbH",7,Kärnten; Niederösterreich; Oberösterreich; Steiermark; Wien,1020 Wien | 1300 Wien-Flughafen | 2401 Fischamend | 4063 Hörsching | 4600 Wels | 8401 Kalsdorf bei Graz | 9020 Klagenfurt/Wörthersee,https://www.dhl.com/,dhl.com,+43503200,
"DSV Air & Sea GmbH",12,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1230 Wien | 1300 Wien-Flughafen | 3151 St.Pölten | 4063 Hörsching | 4910 Ried im Innkreis | 4973 St. Martin im Innkreis | 5020 Salzburg | 5101 Bergheim | 6020 Innsbruck | 6923 Lauterach,https://www.dbschenker.com/at-de,dbschenker.com,+43576800,
"DSV Contract Logistics GmbH",26,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1020 Wien | 1110 Wien | 1300 Wien-Flughafen | 3151 St.Pölten | 4063 Hörsching | 4623 Gunskirchen | 4910 Ried im Innkreis | 5101 Bergheim | 5270 Mauerkirchen | 6020 Innsbruck,https://www.dsv.com/de-at/,dsv.com,+43576800,
"DSV Road Austria AG",17,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1020 Wien | 1110 Wien | 1230 Wien | 3151 St. Pölten | 4063 Hörsching | 4802 Ebensee am Traunsee | 4910 Ried im Innkreis | 4975 Suben | 5020 Salzburg | 5101 Bergheim,https://www.dbschenker.com/at-de,dbschenker.com,+43576800,
"E. Rossik Transport & Logistics GmbH",2,Steiermark; Wien,1230 Wien | 8402 Werndorf,https://www.rossik.eu/,rossik.eu,+4316046600,office@rossik.eu
"FedEx Express Austria GmbH",7,Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg,1300 Wien Flughafen | 4490 Sankt Florian | 5101 Bergheim | 6300 Wörgl | 6912 Hörbranz | 8401 Forst | 8401 Kalsdorf bei Graz,https://www.fedex.com/,fedex.com,+43800123800,
"FRIGOLOGO Lebensmittellogistik GmbH.",4,Niederösterreich; Steiermark,2355 Wiener Neudorf | 2601 Sollenau | 8141 Premstätten | 8501 Lieboch,https://www.frigologo.com/,frigologo.com,+43599110,office@frigologo.com
"Gebrüder Weiss Gesellschaft m.b.H.",36,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1210 Wien | 2326 Maria-Lanzendorf | 2431 Enzersdorf an der Fischa | 2435 Ebergassing | 3380 Pöchlarn | 4020 Linz | 4600 Wels | 5020 Salzburg | 5071 Wals-Siezenheim | 5101 Bergheim,https://www.gw-world.com/,gw-world.com,+4350800,office@gw-world.com
"Gebrüder Weiss Paketdienst Gesellschaft mbH",8,Niederösterreich; Steiermark; Tirol; Wien,1220 Wien | 2100 Leobendorf | 2201 Seyring | 2333 Leopoldsdorf | 3380 Pöchlarn | 6060 Hall in Tirol | 8401 Kalsdorf b.Graz | 8700 Leoben,https://www.gw-world.com/,gw-world.com,+4350800,office@gw-world.com
"General Logistics Systems Austria GmbH",12,Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg,2111 Leobendorf | 2751 Steinabrückl | 3133 Traismauer | 4052 Ansfelden | 5102 Anthering | 6170 Zirl | 6830 Rankweil | 8401 Kalsdorf bei Graz,https://gls-group.eu/,gls-group.eu,+43598761000,service@gls-austria.com
"Hellmann Worldwide Logistics GmbH",6,Niederösterreich; Oberösterreich; Salzburg; Tirol; Wien,1100 Wien | 1300 Wien-Flughafen | 4061 Pasching | 5020 Salzburg | 5071 Wals-Siezenheim | 6330 Kufstein,https://www.hellmann.com/,hellmann.com,+43502500,
"Hödlmayr High & Heavy GmbH",1,Oberösterreich,4311 Schwertberg,https://www.hoedlmayr.com/,hoedlmayr.com,+4372626600,office@hoedlmayr.com
"Hödlmayr International GmbH",1,Oberösterreich,4311 Schwertberg,https://www.hoedlmayr.com/,hoedlmayr.com,+4372626600,office@hoedlmayr.com
"Hödlmayr Logistics GmbH",1,Oberösterreich,4311 Schwertberg,https://www.hoedlmayr.com/,hoedlmayr.com,+4372626600,office@hoedlmayr.com
"Internationale Spedition Schneckenreither Gesellschaft m.b.H.",7,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol,2351 Laxenburg | 4052 Ansfelden | 4600 Wels | 5101 Bergheim | 6020 Innsbruck | 8054 Seiersberg | 9020 Klagenfurt am Wörthersee,https://www.schneckenreither.com/,schneckenreither.com,+4372294380,office@schneckenreither.com
"JCL Logistics Austria GmbH",8,Steiermark; Vorarlberg; Wien,1220 Wien | 6800 Feldkirch | 6830 Rankweil | 6922 Wolfurt | 8401 Kalsdorf b.Graz,https://www.jcl-logistics.com/,jcl-logistics.com,+43557673600,
"Johann Weiss Gesellschaft m.b.H.",7,Niederösterreich; Oberösterreich; Salzburg; Steiermark,2320 Rannersdorf | 2351 Laxenburg | 2351 Wiener Neudorf | 4642 Sattledt | 5020 Salzburg | 8141 Premstätten,https://www.johann-weiss.at/,johann-weiss.at,+43223586100,office@johann-weiss.at
"Kühne + Nagel Gesellschaft m.b.H.",15,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg,1300 Wien-Flughafen | 2201 Hagenbrunn | 2325 Himberg | 2435 Ebergassing | 4020 Linz | 4470 Enns | 4702 Wallern an der Trattnach | 5101 Bergheim | 5301 Eugendorf | 6020 Innsbruck,https://at.kuehne-nagel.com/,kuehne-nagel.com,+43590770,
"Lagermax Logistics Austria GmbH",10,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Wien,1110 Wien | 2431 Enzersdorf an der Fischa | 4020 Linz | 5020 Salzburg | 5162 Obertrum am See | 5222 Munderfing | 8141 Premstätten | 9300 St.Veit/Glan,https://www.lagermax.com/,lagermax.com,+43662832000,office@lagermax.com
"Lagermax Lagerhaus und Speditions Aktiengesellschaft",1,Salzburg,5020 Salzburg,https://www.lagermax.com/,lagermax.com,+43662832000,office@lagermax.com
"Logwin Solutions Austria GmbH",6,Niederösterreich; Oberösterreich; Salzburg; Vorarlberg; Wien,1110 Wien | 2514 Traiskirchen | 4020 Linz | 5020 Salzburg | 6832 Sulz | 6850 Dornbirn,https://www.logwin-logistics.com/,logwin-logistics.com,+43174050,austria@logwin-logistics.com
"LKW WALTER Internationale Transportorganisation AG",2,Niederösterreich,2355 Wiener Neudorf,https://www.lkw-walter.com/,lkw-walter.com,+43577770,info@lkw-walter.com
"Morawa-Berchtold Transporte GmbH",6,Oberösterreich; Salzburg; Tirol,4061 Pasching | 5020 Salzburg | 6020 Innsbruck,https://www.morawa-berchtold.com/,morawa-berchtold.com,+4366246930,office@morawa-berchtold.com
"Nothegger Systemlogistik GmbH",1,Tirol,6380 St. Johann in Tirol,https://www.nothegger.at/,nothegger.at,+43535262500,info@nothegger.at
"Nothegger Transport Logistik GmbH",2,Tirol; Wien,1230 Wien | 6380 St. Johann in Tirol,https://www.nothegger.at/,nothegger.at,+43535262500,info@nothegger.at
"ÖBB-Environmental Services & Logistics GmbH",6,Kärnten; Steiermark; Tirol; Wien,1100 Wien | 1110 Wien | 6300 Wörgl | 8020 Graz | 8950 Stainach-Pürgg | 9586 Fürnitz,https://www.oebb.at/,oebb.at,+43517170,
"ÖBB-Infrastruktur Aktiengesellschaft",6,Kärnten; Oberösterreich; Steiermark; Vorarlberg; Wien,1020 Wien | 1100 Wien | 4600 Wels | 6922 Wolfurt | 8770 Madstein | 9586 Arnoldstein,https://www.oebb.at/,oebb.at,+43517170,
"Quehenberger Logistics GmbH",15,Burgenland; Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Wien,1110 Wien | 1220 Wien | 2401 Fischamend | 2431 Enzersdorf an der Fischa | 3382 Loosdorf | 4060 Leonding | 4470 Enns | 4653 Eberstalzell | 5020 Salzburg | 5101 Bergheim,https://www.quehenberger.com/,quehenberger.com,+43501450,office@quehenberger.com
"Raben Logistics Austria GmbH",17,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1100 Wien | 1110 Wien | 2320 Schwechat | 3130 Oberndorf in der Ebene | 3131 Inzersdorf-Getzersdorf | 4060 Leonding | 4470 Enns | 4600 Wels | 5020 Salzburg | 5101 Bergheim,https://austria.raben-group.com/,raben-group.com,+43507300,office.austria@raben-group.com
"Rail Cargo Austria Aktiengesellschaft",6,Kärnten; Oberösterreich; Salzburg; Steiermark; Wien,1100 Wien | 4020 Linz | 4600 Wels | 5020 Salzburg | 8020 Graz | 9500 Villach,https://www.railcargo.com/,railcargo.com,+43577500,office@railcargo.com
"Rail Cargo Logistics - Austria GmbH",12,Kärnten; Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Vorarlberg; Wien,1020 Wien | 1100 Wien | 3300 Amstetten | 4020 Linz | 4860 Lenzing | 5020 Salzburg | 6020 Innsbruck | 6700 Bludenz | 8020 Graz | 9500 Villach,https://www.railcargologistics.at/,railcargologistics.at,+43577500,office@railcargo.com
"TRANSDANUBIA Speditionsgesellschaft m.b.H.",7,Burgenland; Niederösterreich; Oberösterreich; Steiermark; Wien,1120 Wien | 2353 Guntramsdorf | 4061 Pasching | 7052 Müllendorf | 8142 Wundschuh | 8401 Kalsdorf bei Graz | 8402 Werndorf,https://www.transdanubia.com/,transdanubia.com,+4372297710,service@transdanubia.com
"United Parcel Service Speditionsgesellschaft m.b.H.",6,Niederösterreich; Oberösterreich; Salzburg; Steiermark; Tirol; Wien,1230 Wien | 1300 Flughafen Wien-Schwechat | 4063 Hörsching | 5082 Grödig | 6020 Innsbruck | 8142 Wundschuh,https://www.ups.com/,ups.com,+438003662234,
"Wildenhofer Spedition und Transport GmbH",6,Niederösterreich; Oberösterreich; Salzburg; Tirol,2481 Achau | 4780 Schärding | 5020 Salzburg | 5400 Hallein | 6330 Kufstein,https://www.wildenhofer.at/,wildenhofer.at,+43599900,salzburg@wildenhofer.at
